=  Independiente - Argentinian Primera División 2005 Apertura

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Daniel Mielnicchuk, G, 6'00", 12 04, 01-03-89, Quilmes, None
2, David Abraham, D, 6'02", 13 05, 16-07-86, Chabás, None
3, Carlos Matheu, D, 6'00", 12 11, 13-05-85, Quilmes, None
4, Martín Pautasso, D, 5'09", 11 11, 17-05-79, Justiniano Posse, Gimnasia y Esgrima (LP)
5, Sebastián Carrizo, M, 5'10", 12 01, 25-02-78, San Isidro, Talleres (Córdoba)
6, Matías Manrique, D, 6'01", 11 09, 01-01-80, Mendoza, Arsenal [ARG]
7, Esteban Buján, M, 5'09", 11 09, 13-07-79, Capital Federal, Banfield
8, Lucas Pusineri, M, 5'10", 11 11, 16-06-76, Capital Federal, Saturn Ramenskoe
9, Eduardo Bustos Montoya, F, 5'11", 12 11, 10-03-76, Rosario, Banfield
10, Sergio Agüero, F, 5'08", 11 09, 02-06-88, Capital Federal, None
11, Juan Eluchans, D, 5'10", 10 03, 14-04-80, Tandil, None
13, Lorgio Álvarez, D, 5'10", 12 01, 18-01-77, Santa Cruz de la Sierra, Cerro Porteño
15, Emiliano Armenteros, M, 6'00", 12 06, 18-01-86, Luis Guillón, Banfield
16, Sergio Orteman, M, 5'11", 12 11, 29-09-78, Montevideo, Olimpia [PAR]
17, Jeremías Caggiano, F, 5'10", 12 00, 15-03-83, Mar del Plata, Huracán (Tres Arroyos)
18, Mariano Andrés Herrón, M, 5'05", 10 12, 24-02-78, Buenos Aires, Lleida
19, Nicolás Frutos, F, 6'04", 12 04, 13-05-81, Santa Fé, Gimnasia y Esgrima (LP)
20, Martín Fabro, M, 5'07", 10 01, 19-04-85, Mármol, None
21, Marcelo Méndez, D, 6'01", 12 11, 10-01-81, Montevideo, Atlético Junior
22, Víctor Sosa, F, 5'10", 11 00, 18-01-87, San Martín, None
23, Oscar Ustari, G, 6'00", 12 13, 03-07-86, América, None
24, Tomás Charles, D, 6'00", 11 09, 12-06-85, Villa Domínico, None
25, Bernardo Leyenda, G, 6'00", 12 11, 26-03-80, Capital Federal, Banfield
26, Martín Morello, M, 6'00", 12 11, 13-06-83, San Pedro, None
27, Eduardo Domínguez, D, 6'00", 12 13, 01-09-78, Lanús, Vélez Sarsfield
30, Emanuel Culio, M, 5'09", 11 11, 30-08-84, Mercedes, Alamgro
31, Pablo Torres, F, 5'06", 11 00, 16-06-84, Avellaneda, None
33, César Pereyra, F, 5'07", 10 10, 23-11-81, Villa Ocampo, Unión (Santa Fe)
35, Lucas Biglia, M, 5'03", 09 13, 30-01-86, Mercedes, Argentinos Juniors
36, Fernando Cácares, D, 5'10", 12 01, 07-02-69, San Isidrio, Córdoba
