=  Tiro Federal (Rosario) - Argentinian Primera División 2005 Apertura

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Jorge Vivaldo, G, 6'00", 13 12, 13-01-67, Luján, Chacarita Juniors
2, Ezequiel Luna, D, , , 19-11-86, Villa Gobernador Gálvez, None
3, Luciano De Bruno, M, 5'11", 12 01, 08-06-78, Rosario, Lanús
4, Gabriel Ruiz, D, 5'10", 12 11, 23-01-80, Arrecifes, Newell's Old Boys
5, Diego Erroz, M, 5'10", 11 03, 21-09-78, Berrotarán, Almagro
6, Miguel Ábrigo, D, 6'00", , 29-03-74, Entre Ríos, Oriente Petrolero
7, Adrián Roberto Romero, F, 5'11", 12 00, 13-04-82, Paso de Los Libres, Arsenal [ARG]
8, Rodolfo Aquino, M, 5'09", 11 07, 21-07-74, Rosario, Estudiantes (LP)
9, Daniel Tilger, F, 5'11", 12 04, 03-08-70, Ciudad Evita, Lanús
10, Ezequiel Amaya, F, , , 20-02-78, Cañada de Gómez, Nueva Chiacgo
11, Hernán Buján, M, 5'07", 10 03, 05-12-74, Capital Federal, Olimpo (BB)
12, Pablo Del Vecchio, G, , , 25-07-73, Cañada de Gómez, Platense
13, Leandro Álvarez, D, 5'10", 12 01, 04-06-81, Capital Federal, San Lorenzo
14, Silvio Iuvalé, M, 5'10", 12 01, 07-02-79, Ramallo, Juv. Antoniana (Salta)
15, Adrián Marcelo Romero, D, 5'06", 10 06, 25-06-77, Montevideo, Estudiantes (LP)
16, Mariano Fermani, M, , , 02-04-83, , 
17, Pablo Castella, M, , , 21-07-81, Rosario, Central Córdoba
18, Germán Romero, M, , , 20-02-85, Rosario, None
19, Javier Cámpora, F, 5'09", 11 05, 07-01-80, Rosario, Deportivo Concepción
20, Germán Basualdo, M, 5'06", 10 12, 22-07-80, Capital Federal, Nueva Chicago
21, Leonardo Fernández, G, , , 13-01-74, Avellaneda, Atlético Nacional
22, Fernando Cafasso, D, 5'10", 10 12, 09-02-82, Jacinto Aráoz, Atlético Tucumán
23, Diego Bono, M, , , 02-03-79, Ceres, Newell's Old Boys
24, Fernando Savio, D, 6'01", 13 01, 01-06-78, Montevideo, Rentistas
25, Silbonei Ferreira, G, , , 19-12-80, Tangara de Serra, El Porvenir
26, Límberg Pizarro, M, 5'07", 11 00, 16-07-76, Santa Cruz de la Sierra, Bolívar
27, Alejo Gelatini, M, , , 07-08-83, , 
