=  Belgrano (Córdoba) - Argentinian Primera División 2012/13 Final

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Juan Carlos Olave, ARG, G, 1.84, 78, 21-02-76, Córdoba, Gimnasia y Esgrima (LP)
2, Pablo Rudisi, ARG, D, 1.81, 80, 27-04-89, Córdoba, None
3, Juan Quiroga, ARG, M, 1.79, 78, 20-04-82, Monteguay, Newell's Old Boys
4, Renzo Saravia, ARG, D, 1.78, 73, 16-06-93, Villa de María, None
5, Guillermo Farré, ARG, M, 1.77, 74, 16-03-81, Colón, Central Córdoba
6, Luciano Lollo, ARG, M, 1.83, 80, 29-03-87, Alejo Ledesma, None
7, César Pereyra, ARG, F, 1.68, 71, 23-11-81, Villa Ocampo, Unión (Santa Fe)
9, Fernando Márquez, ARG, F, 1.87, 78, 10-04-87, Santa Fe, Crucero del Norte
10, César Carranza, ARG, F, 1.68, 63, 16-08-80, Capital Federal, Lanús
11, César Mansanelli, ARG, M, 1.76, 75, 29-08-80, Córdoba, Racing (Córdoba)
12, Tobías Figueroa, ARG, F, 1.91, 90, 13-04-92, Mar del Plata, None
13, Víctor Aquino, PAR, F, 1.87, 80, 26-11-85, Asunción, Newell's Old Boys
14, Martín Zapata, ARG, M, 1.66, 65, 18-12-79, Crespo, All Boys
15, Lucas Pittinari, ARG, M, 1.79, 75, 30-11-91, Laborde, None
16, Gastón Suárez, ARG, M, 1.82, 78, 05-04-93, Córdoba, None
18, Iván Etevenaux, ARG, M, 1.70, 67, 20-10-89, Córdoba, None
19, Jorge Velázquez, ARG, M, 1.75, 73, 07-09-82, Vera, Unión (Santa Fe)
20, Pablo Heredia, ARG, G, 1.84, 85, 11-06-90, Rio Grande, None
21, Paul Ramos, ARG, D, 1.72, 71, 22-05-90, Córdoba, None
23, Marcos Rivadero, ARG, M, 1.78, 74, 09-10-92, Córdoba, None
24, Emiliano Rigoni, ARG, M, 1.80, 70, 04-02-93, Colonia Caroya, None
25, Gastón Turus, ARG, D, 1.78, 77, 27-05-80, Colonia Caroya, None
26, Lucas Melano, ARG, F, 1.86, 72, 01-03-93, Hernando, None
27, Giuliano Bardín, ARG, M, 1.76, 66, 16-08-92, Rio Cuarto, None
28, César Rigamonti, ARG, G, 1.86, 78, 07-04-87, San Agustín, None
29, Federico Álvarez, ARG, D, 1.83, 78, 07-08-94, Córdoba, None
30, Sergio Rodríguez, URU, D, 1.85, 83, 05-01-85, Montevideo, Montevideo Wanderers
31, Lucas Zelarrayán, ARG, M, 1.72, 70, 20-06-92, Córdoba, None
32, Esteban González, ARG, M, 1.86, 85, 16-09-78, Córdoba, Tigre
33, Nicolás Ferreyra, ARG, D, 1.93, 82, 30-03-93, Río Cuarto, None
34, Federico Ochoa, ARG, G, , , 10-01-92, , None
35, Guido Herrera, ARG, G, 1.87, 80, 29-02-92, Río Cuarto, None
37, Lucas Aveldaño, ARG, D, 1.85, 83, 19-07-85, Rafaela, Racing Club
41, Juan Eduardo Martín, ARG, F, 1.85, 71, 27-04-82, Leones, Kerkyra
