=  Atlético Rafaela - Argentinian Primera División 2014 Transición

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Esteban Conde, URU, G, 1.87, 85, 04-03-83, Young, Universidad de Chile
2, Mauricio Gómez, URU, D, 1.78, 70, 16-04-92, Artigas, Montevideo Wanderers
3, Lucas Kruspzky, ARG, D, 1.75, 71, 06-04-92, Capital Federal, Arsenal [ARG]
4, Dimas Morales, ARG, D, 1.80, 76, 22-06-94, Rafaela, None
5, Matías Fissore, ARG, M, 1.65, 63, 21-09-90, San Marcos Sud, None
6, Mateo Castellano, ARG, M, 1.80, 78, 12-03-96, Rafaela, Ben Hur (Rafaela)
7, Nicolás Orsini, ARG, F, 1.70, 65, 12-09-94, Rafaela, Tiro Federal (Morteros)
8, Nicolás Royón, URU, F, 1.72, 66, 28-01-91, Las Piedras, Liverpool [URU]
9, Mauro Quiroga, ARG, F, 1.91, 82, 07-12-89, Concepción, Alavés
10, Guillermo Fernández, ARG, M, 1.78, 73, 10-11-91, Granadero Baigorria, Boca Juniors
11, Federico González, ARG, F, 1.78, 79, 01-06-87, Entre Ríos, Independiente
12, Guido Rossetti, ARG, G, 1.80, 76, 12-05-93, Rafaela, None
13, Rodrigo Depetris, ARG, F, 1.72, 69, 05-05-90, San Jorge, None
14, Adrián Bastía, ARG, M, 1.78, 78, 20-12-78, Gobernador Crespo, Colón (Santa Fe)
15, Germán Rodríguez, ARG, M, 1.79, 75, 05-01-90, Rafaela, None
16, Pablo Gaitán, ARG, M, 1.77, 67, 09-05-92, Capitán Bermúdez, None
17, Pablo Pavetti, ARG, M, 1.89, 85, 20-03-91, Rafaela, None
18, Lucas Albertengo, ARG, F, 1.78, 73, 30-01-91, Egusquiza, None
19, Franco Jominy, ARG, F, 1.86, 70, 28-08-94, Cañada de Gómez, None
20, Axel Werner, ARG, G, 1.91, 86, 28-02-96, Rafaela, None
21, Alexis Niz, ARG, D, 1.76, 71, 15-05-88, Rafaela, None
22, Sergio Vittor, ARG, M, 1.89, 86, 09-06-89, Villa Elisa, Argentinos Juniors
23, Marcos Fissore, ARG, D, 1.65, 63, 08-08-92, San Marcos Sud, None
24, Joel Sacks, ARG, D, 1.77, 76, 10-04-89, Rafaela, None
25, Carlos De Giorgi, ARG, G, 1.87, 79, 23-04-84, Córdoba, Central Nort (Salta)
26, Jonathan Ferrari, ARG, D, 1.86, 79, 08-05-87, Capital Federal, Guaratinguetá
27, Rodrigo Colombo, ARG, D, 1.92, 86, 19-11-92, San Marcos Sud, None
28, Juan Eluchans, ARG, M, 1.78, 68, 14-04-80, Tandil, Banfield
29, Wálter Serrano, ARG, M, 1.77, 75, 02-07-86, San Nicolás, None
30, Martín Díaz, URU, D, 1.87, 79, 17-03-88, Montevideo, Montevideo Wanderers
31, Nicolás Canavessio, ARG, D, 1.81, 80, 17-09-93, Rafaela, Ben Hur (Rafaela)
32, Ignacio Pussetto, ARG, F, 1.80, 74, 21-12-95, Cañada Rosquín, None
33, Diego Montiel, ARG, M, 1.69, 70, 22-04-96, Santo Tomé, None
