=  Rosario Central - Argentine Superliga 2017/2018

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Marcelo Miño, ARG, G, 1.86, 82, 21-08-97, Guatimozín, None
2, Fernando Tobio, ARG, D, 1.90, 78, 18-10-89, Ramos Mejía, Palmeiras
3, Elías Gómez, ARG, D, 1.79, 70, 09-06-94, Granadero Baigorria, None
4, Paulo Ferrari, ARG, D, 1.69, 66, 04-01-82, Rosario, River Plate
5, Leonardo Gil, ARG, M, 1.76, 68, 31-05-91, Río Gallegos, Estudiantes (LP)
6, Marcelo Ortíz, ARG, D, 1.86, 80, 13-01-94, Corrientes, Boca Unidos (Corrientes)
7, Nicolás Da Campo, ARG, M, 1.79, 72, 06-08-94, Rosario, None
8, Federico Carrizo, ARG, M, 1.74, 70, 17-05-91, Villa Giardino, Boca Juniors
9, Marco Rubén, ARG, F, 1.79, 72, 26-10-86, Capitán Bermúdez, Dynamo Kyiv
10, Néstor Ortigoza, PAR, M, 1.80, 79, 07-10-84, San Antonio de Padua, Olimpia [PAR]
11, José Luis Fernández, ARG, D, 1.68, 67, 26-10-87, Capital Federal, Godoy Cruz (Mendoza)
12, Emilio Di Fulvio, ARG, G, 1.88, 70, 17-05-95, Carreras, None
13, Luciano Recalde, ARG, D, 1.84, 78, 12-08-95, Granadero Baigorria, None
15, Washington Camacho, URU, M, 1.77, 71, 08-04-86, Montevideo, Racing Club
16, Mauricio Martínez, ARG, D, 1.74, 66, 20-02-93, Santo Tomé, Unión (Santa Fe)
17, Germán Herrera, ARG, F, 1.80, 80, 19-07-83, Santa Fe, Vasco da Gama
19, Joel López, ARG, M, 1.80, 68, 06-01-97, Rosario, None
20, Fernando Zampedri, ARG, F, 1.85, 83, 14-02-88, Chajarí, Atlético Tucumán
22, Diego Becker, ARG, M, 1.69, 66, 24-11-97, Los Quirquinchos, None
23, Pablo Becker, ARG, F, 1.72, 61, 29-04-93, Los Quirquinchos, None
24, Alfonso Parot, CHI, D, 1.80, 74, 15-10-89, Talca, Universidad Católica
25, Maxi González, ARG, M, 1.79, 73, 12-03-94, San Lorenzo, None
26, Óscar Cabezas, COL, D, 1.77, 75, 22-12-96, Tumaco, Patriotas
27, Tomás Zanotti, ARG, D, , , 06-03-97, Villa Cañás, None
28, Agustín Coscia, ARG, F, 1.75, 70, 08-04-97, Rosario, None
29, Andrés Lioi, ARG, M, 1.74, 67, 07-03-97, Rosario, None
30, Jeremias Ledesma, ARG, G, 1.86, 85, 13-02-93, Rosario, None
33, Nicolás Giménez, ARG, D, 1.82, 75, 17-04-97, Granadero Baigorria, None
34, Maximiliano Lovera, ARG, F, 1.70, 65, 09-03-99, Laguna Blanca, None
35, Joaquín Pereyra, ARG, M, 1.81, 73, 01-12-98, Paraná, None
36, Leonel Rivas, ARG, M, 1.72, 62, 04-12-99, Rosario, None
37, Renzo Reynaga, ARG, F, , , 02-06-99, Puerto Deseado, None
38, Nahuel Gómez, ARG, D, 1.78, 74, 23-08-96, Villa Gobernador Gálvez, None
39, Agustín Maziero, ARG, F, 1.79, 75, 27-11-97, Luis Palacios, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
18, Renzo Alfani, ARG, D, 1.86, 79, 18-02-96, Rosario, Villa Dálmine (On Loan)
10, Gustavo Colman, ARG, M, 1.75, 72, 18-04-85, Derqui, 
27, José Leguizamón, PAR, D, 1.78, 80, 23-08-91, Areguá, Olimpia [PAR] (On Loan)
19, Santiago Romero, URU, M, 1.76, 76, 15-02-90, Montevideo, Nacional [URU]
21, Diego Rodríguez, ARG, G, 1.84, 80, 25-06-89, Capital Federal, JEF United (On Loan)
