=  Aldosivi (Mar del Plata) - Argentine Superliga 2018/2019

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Luciano Pocrnjic, ARG, G, 1.90, 86, 04-08-81, Chivet, Newell's Old Boys
2, Jefferson Mena, COL, D, 1.82, 72, 15-06-89, Apartadó, New York C
3, Lucas Kruspzky, ARG, D, 1.75, 71, 06-04-92, Capital Federal, Talleres (Córdoba)
4, Ismael Quilez, ARG, D, 1.79, 76, 02-10-88, Santa Fe, Quilmes
5, Dardo Miloc, ARG, M, 1.77, 76, 16-10-90, La Plata, Atlético Tucumán
6, Leonel Galeano, ARG, D, 1.83, 81, 02-08-91, Miramar, Godoy Cruz (Mendoza)
7, Denis Stracqualursi, ARG, F, 1.90, 85, 20-10-87, Rafaela, Tigre
8, Juan Galeano, ARG, M, 1.77, 71, 03-07-88, Capital Federal, San Martín (Tucumán)
10, Matías Pisano, ARG, F, 1.66, 61, 13-12-91, Capital Federal, Tijuana
11, Cristian Chávez, ARG, F, 1.71, 70, 04-06-87, Lomas de Zamora, Guaraní [PAR]
14, Juan Silva, ARG, M, 1.78, 70, 09-09-97, Rosario, Gimnasia y Esgrima (LP)
15, Fernando Godoy, ARG, M, 1.72, 70, 01-05-90, Capital Federal, Talleres (Córdoba)
16, Leonardo Sánchez, ARG, D, 1.89, 85, 02-08-86, La Plata, Unión (Santa Fe)
17, Ramiro Garay, ARG, M, 1.72, 74, 06-03-97, Castelli, None
18, Javier Iritier, ARG, M, 1.79, 73, 20-12-94, Laferrere, Tigre
19, Facundo Castillón, ARG, F, 1.69, 68, 21-08-86, Rosario, Racing Club
21, Emanuel Iñiguez, ARG, D, 1.77, 74, 16-09-96, General Pirán, None
22, Manuel Capasso, ARG, D, 1.88, 87, 19-04-96, Capital Federal, Defensa y Justicia
23, Lucas Villalba, ARG, D, 1.77, 68, 19-08-94, Florencio Varela, Independiente
25, Nahuel Yeri, ARG, M, 1.75, 76, 25-09-91, Mar del Plata, Banfield
26, Leandro Sapetti, ARG, D, 1.76, 69, 30-01-89, La Plata, Villa Dálmine
27, Lucas Di Yorio, ARG, F, 1.90, 75, 22-11-96, Mar del Plata, None
28, Iván Colman, ARG, M, 1.72, 65, 06-05-95, San Martín, Argentinos Juniors
29, Federico Gino, URU, M, 1.73, 74, 26-02-93, Melo, All Boys
30, Franco Pérez, ARG, M, 1.80, 73, 04-11-98, Necochea, None
31, Luis Ingolotti, ARG, G, 1.84, 72, 14-01-00, Mar del Plata, Platense
32, Emiliano Amor, ARG, D, 1.83, 80, 16-05-95, Capital Federal, Vélez Sarsfield
33, Francisco Leonardo, ARG, F, 1.74, 74, 12-04-96, Mar del Plata, None
35, Fabián Assmann, ARG, G, 1.88, 80, 23-03-86, Zárate, Agropecuario
36, Emiliano Ozuna, ARG, F, 1.66, 60, 09-02-96, Magdalena, Estudiantes (LP)
39, Yoel Juárez, ARG, F, 1.81, 76, 20-03-02, Mar del Plata, None
87, Ezequiel Videla, ARG, M, 1.74, 73, 15-01-88, Cosquín, Guaraní [PAR]
99, Alan Ruiz, ARG, M, 1.83, 74, 19-08-93, La Plata, Sporting CP

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
7, Antonio Medina, ARG, F, 1.73, 69, 18-12-84, Resistencia, Boca Unidos (Corrientes)
9, Fernando Telechea, ARG, F, 1.80, 78, 06-10-81, Balcarce, Santamarina (Tandil)
22, Denis Stracqualursi, ARG, F, 1.90, 85, 20-10-87, Rafaela, Re-Registered (7)
