=  Godoy Cruz (Mendoza) - Argentine Primera División 2021

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Roberto Ramírez, ARG, G, 1.87, 73, 07-07-96, San Martín, None
3, Leonel González, ARG, D, 1.77, 70, 15-03-94, Concordia, Estudiantes (BA)
4, Ezequiel Cirigliano, ARG, M, 1.70, 65, 24-01-92, Caseros, San Luis de Quillota
5, Nelson Acevedo, ARG, M, 1.79, 78, 11-07-88, Resistencia, Unión (Santa Fe)
6, Ian Escobar, ARG, D, 1.72, 63, 09-03-96, Moreno, Talleres (Córdoba)
7, Jeison Chalá, ECU, F, 1.80, 70, 08-12-94, Ibarra, Universidad Católica [ECU]
8, Luciano Pizarro, ARG, M, 1.86, 75, 14-07-97, Godoy Cruz, None
9, Tomás Badaloni, ARG, F, 1.86, 80, 02-05-00, Mendoza, None
10, Valentín Burgoa, ARG, M, 1.74, 64, 16-08-00, Guaymallén, None
11, Martín Ojeda, ARG, M, 1.76, 59, 27-11-98, Gualeguaychú, Racing Club
12, Juan Espínola, PAR, G, 1.86, 100, 20-11-94, Ciudad del Este, Nacional [PAR]
15, Damián Pérez, ARG, D, 1.90, 78, 22-12-88, Lanús, Sporting Gijón
16, Matías Ramírez, ARG, F, 1.75, 72, 14-03-99, Pontevedra, Ferro Carril Oeste
17, Cristian Colmán, PAR, F, 1.83, 79, 26-02-94, San Cosme y Damián, Barcelona [ECU]
19, Manuel Llano, ARG, M, 1.84, 74, 26-08-99, Rosario, Newell's Old Boys
20, Alan Cantero, ARG, M, 1.84, 80, 28-06-98, San Juan, Sportivo Peñarol
21, Andrés Meli, ARG, M, 1.75, 72, 01-09-00, Godoy Cruz, None
22, Gianluca Ferrari, ARG, D, 1.81, 76, 30-06-97, Rosario, San Lorenzo
23, Nelson Ibáñez, ARG, G, 1.85, 86, 19-11-81, Mendoza, Newell's Old Boys
24, Guillermo Ortiz, ARG, D, 1.83, 76, 09-08-92, Rosario, Atlético Tucumán
25, Néstor Breitenbruch, ARG, D, 1.78, 76, 13-09-95, Posadas, Defensa y Justicia
27, Sebastián Lomónaco, ARG, F, 1.78, 73, 17-09-98, Avellaneda, Arsenal [ARG]
28, Elías López, ARG, D, 1.75, 76, 08-07-00, Villa Mercedes, River Plate
29, Nahuel Ulariaga, ARG, F, 1.70, 76, 02-03-02, 25 de Mayo, None
30, Emanuel Quinteros, ARG, M, 1.78, 70, 28-06-00, Luján, None
31, Agustín Álvarez, ARG, D, 1.85, 76, 08-01-00, Unión, None
32, Gonzalo Abrego, ARG, M, 1.84, 75, 07-01-00, Maipú, None
33, Ezequiel Bullaude, ARG, F, 1.84, 73, 26-10-00, Maipú, None
34, Guillermo Pereira, ARG, M, 1.78, 73, 16-01-94, Pergamino, Deportivo Riestra
35, Matías Soria, ARG, G, 1.80, 76, 23-11-01, New York, None
36, Bruno Leyes, ARG, M, 1.73, 69, 30-10-01, Mendoza, None
37, Augusto Aguirre, ARG, D, 1.84, 74, 02-08-99, Corrientes, River Plate
40, Julián García, ARG, M, 1.67, 60, 15-11-99, Tunuyán, None
41, Facundo Altamira, ARG, F, 1.85, 76, 03-08-01, San Martín, None
42, Roberto Colucci, ARG, D, 1.83, 80, 09-02-01, Mendoza, None
45, Leandro Soria, ARG, F, 1.75, 70, 29-10-04, New York, None
77, Matías González, ARG, M, 1.80, 72, 07-03-99, Mendoza, None
