=  Brisbane Roar - Australian A-League 2012/13

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Michael Theo, AUS, G, 1.86, 93, 11-02-81, Melbourne, Norwich C
2, Matthew Smith, AUS, D, 1.80, 73, 15-10-82, Chichester, Brisbane Strikers
3, Shane Stefanutto, AUS, D, 1.77, 78, 12-01-80, Atherton, North Queensland Fury
4, Matthew Jurman, AUS, D, 1.90, 84, 08-12-89, Wollongong, Sydney FC
5, Ivan Franjić, AUS, D, 1.80, 77, 10-09-87, Melbourne, Oakleigh Cannons
7, Besart Berisha, ALB, F, 1.85, 76, 29-07-85, Priština, Arminia Bielefeld
8, Massimo Murdocca, AUS, M, 1.65, 60, 02-09-84, Carlton, Fawkner-Whittlesea
9, Stefan Nijland, NED, F, 1.87, 77, 10-08-88, Hoogezand- Sappermeer, PSV Eindhoven
10, Henrique, BRA, M, 1.67, 62, 09-05-85, São Paulo, América Mineiro
11, Ben Halloran, AUS, M, 1.80, 73, 14-06-92, Cairns, Gold Coast U
12, Julius Davies, SLE, F, 1.65, 64, 04-09-94, Monrovia, Melbourne Victory
13, Jade North, AUS, D, 1.80, 78, 07-01-82, Taree, Consadole Sapporo
14, Steven Luštica, AUS, M, 1.72, 68, 12-04-91, Canberra, Hajduk Split
15, James Donachie, AUS, D, 1.88, 84, 14-05-93, Sunnybank, QAS
16, Do Dong-Hyun, KOR, F, 1.73, 60, 19-11-93, , Kyung Hee Univ
17, Mitch Nichols, AUS, M, 1.81, 75, 05-01-89, Southport [AUS], Palm Beach
18, Luke Brattan, AUS, M, 1.75, 65, 08-03-90, Hull, Rochedale R
19, Jack Hingert, AUS, D, 1.76, 71, 26-09-90, London, Dandenong Thunder
20, Matt Acton, AUS, G, 1.85, 89, 03-06-92, Townsville, QAS
21, James Meyer, AUS, M, 1.78, 71, 28-05-86, Sydney, Eastern Suburbs
22, Thomas Broich, GER, M, 1.82, 76, 29-01-81, Munich, Nürnberg
23, Anthony Proia, AUS, F, 1.78, 78, 16-03-94, Fairfield, AIS
25, George Lambadaridis, AUS, M, 1.85, 69, 23-04-92, Melbourne, Club Brugge
26, Corey Brown, AUS, D, 1.74, 69, 07-01-94, Brisbane, AIS
29, Kwame Yeboah, AUS, F, 1.82, 74, 06-06-94, Gold Coast, Gold Coast U

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
13, Yuji Takahashi, JPN, D, 1.79, 66, 11-04-93, Shiga, Kyoto Sanga
14, Rocky Visconte, AUS, M, 1.79, 72, 22-04-90, Adelaide, Western Sydney W
29, Nicholas Fitzgerald, AUS, F, 1.75, 69, 13-02-92, Wahroonga, Central Coast Mariners
6, Erik Paartalu, AUS, M, 1.92, 85, 03-05-86, Sydney, Tianjin Teda
