=  Newcastle United Jets - Australian A-League 2022/2023

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Jack Duncan, AUS, G, 1.90, 79, 19-04-93, Hobart, Al-Qadsiah
2, Dane Ingham, NZL, D, 1.86, 70, 08-06-99, Lismore, Perth Glory
3, Jason Hoffman, AUS, D, 1.86, 75, 28-01-89, Newcastle [AUS], Melbourne C
4, Manabu Saito, JPN, F, 1.65, 54, 04-04-90, Kawasaki, Suwon Samsung Bluewings
5, Matthew Jurman, AUS, D, 1.90, 84, 08-12-89, Wollongong, Xanthi
6, Brandon O'Neill, AUS, M, 1.79, 78, 12-04-94, Perth, Perth Glory
7, Trent Buhagiar, AUS, F, 1.78, 65, 27-02-98, Gosford, Sydney FC
8, Beka Dartsmelia, GEO, M, 1.77, 65, 21-03-00, -, Locomotive Tbilisi
9, Beka Mikeltadze, GEO, F, 1.85, 80, 26-11-97, Kutaisi, Xanthi
10, Reno Piscopo, AUS, M, 1.75, 70, 27-05-98, Melbourne, Wellington Phoenix
11, Jaushua Sotirio, AUS, F, 1.75, 71, 11-10-95, Sydney, Wellington Phoenix
14, Mohamed Al-Taay, AUS, M, 1.72, 72, 15-06-00, Sydney, Western Sydney W
17, Kosta Grozos, AUS, M, 1.78, 72, 10-08-00, Kingsgrove, Western Sydney W
18, Daniel Stynes, AUS, F, 1.84, 70, 29-08-98, Perth, Perth Glory
19, Callum Timmins, AUS, M, 1.82, 72, 23-12-99, Birmingham, Perth Glory
20, Michael Weier, AUS, G, 1.98, 85, 27-01-97, Brisbane, Hume C
22, Phillip Čančar, CRO, D, 1.86, 75, 11-05-01, Wollongong, Livingston
25, Carl Jenkinson, ENG, D, 1.85, 77, 08-02-92, Buckhurst Hill, Nottingham F
26, Archie Goodwin, AUS, F, -, -, 07-11-04, Newcastle [AUS], None
30, Noah James, AUS, G, 1.85, 78, 14-02-01, New Lambton Heights, None
31, Moonib Adus, AUS, M, -, -, 13-01-03, -, None
32, Angus Thurgate, AUS, M, 1.78, 70, 08-02-00, Port Macquarie, None
33, Mark Natta, AUS, D, 1.75, 70, 28-11-02, Sydney, Western Sydney W
39, Thomas Aquilina, AUS, D, 1.78, 67, 02-02-01, Sydney, Central Coast Mariners

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
4, Jordan Elsey, AUS, D, 1.87, 80, 02-03-94, Adelaide, Perth Glory
23, Rory Jordan, AUS, M, -, -, 09-02-00, -, APIA Leichhardt
24, James McGarry, NZL, D, 1.80, 72, 09-04-98, Mosgiel, Central Coast Mariners
