=  FC Superfund - Austrian Bundesliga 2006/07

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Josef Schicklgruber, G, 6'02", 14 00, 21-07-67, Ansfelden, Sturm Graz
2, Carlos Chaile, D, 6'00", 13 10, 14-01-75, Tucuman, St. Gallen
4, Jasmin Agić, M, 6'02", 11 00, 26-12-74, Pula, Dinamo Zagreb
5, Ernst Dospel, D, 6'01", 12 06, 08-10-76, Absdorf, Sturm Graz
6, Manfred Pamminger, M, 5'11", 11 07, 28-12-77, , Austria Lustenau
7, Marcel Ketelaer, M, 5'07", 11 07, 03-11-77, Mönchengladbach, LR Ahlen
8, Chiquinho, M, 5'10", 11 09, 21-03-74, São Paulo, RW Oberhausen
9, Christian Mayrleb, F, 5'10", 12 06, 08-06-72, Wels, Austria Salzburg
10, Dursun Karatay, M, 5'10", 11 11, 05-10-84, Bludenz, Austria Lustenau
11, Thierry Fidjeu-Tazemeta, F, 5'10", 12 01, 13-10-82, Douala, Schwanenstadt
12, Wolfgang Bubenik, M, 6'01", 11 09, 31-03-81, Linz, Blau-Weiss Linz
13, Gerald Krajic, F, 6'00", 11 09, 03-12-81, , DSV Leoben
16, Thomas Hinum, M, 5'11", 10 03, 24-07-87, , Union St. Florian
17, Jürgen Csandl, M, 6'01", 12 06, 09-05-88, , Rapid Vienna Amateure
18, Michael Baur, D, 5'11", 12 01, 16-04-69, Innsbruck, Hamburg
19, Radosław Gilewicz, F, 5'09", 11 00, 08-05-71, Chełm Śląski, Austria Vienna
20, Yüksel Sariyar, M, 6'00", 12 01, 01-09-79, Vienna, Kocaelispor
21, Sergej Jakirović, M, 6'04", 13 10, 23-12-76, Sarajevo, CSKA Sofia
22, Manuel Ortlechner, D, 6'01", 12 04, 04-03-80, Ried im Innkreis, SV Ried
23, Péter Kabát, F, 5'11", 11 07, 25-09-77, Budapest, FC Kärnten
24, Thomas Riedl, M, 5'09'', 11 05, 18-06-76, Kaiserslautern, Kaiserslautern
25, Diego Rougier, G, 6'01", 12 08, 29-05-81, Colón, Atlético Uruguay
26, Pascal Grünwald, G, 6'00", 12 06, 13-11-82, , Austria Salzburg
28, Mario Reiter, M, 6'00", 11 00, 23-10-86, Steyr, Untersiebenbrun
29, Harrison Kennedy, F, 5'05", 09 11, 15-10-89, , Blau-Weiss Linz
31, Haris Bukva, M, 6'00", 11 09, 15-03-88, , None

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
26, Rainer Moosbauer, G, 6'02", 13 03, 20-03-85, Linz, Union Perg (On Loan)
11, Erich Brabec, D, 6'02", 13 03, 24-02-77, Český Krumlov, Aarau
27, Danijel Milojević, M, 5'09", 11 00, 08-05-84, , Schwanenstadt (On Loan)
30, Ice-Cream, M, 6'02", 11 11, 01-06-87, , Schwanenstadt
25, Michael Gspurning, G, 6'05", 14 09, 02-05-81, Graz, Skoda Xanthi
4, Bozo Kovacevic, M, 6'00", 13 12, 24-12-79, Vienna, SV Ried
17, Alexander Hauser, M, 5'10", 11 09, 23-06-84, St. Johann in Tirol, Hartberg (On Loan)
3, Patrice M'bock, D, 6'00", 12 00, 20-04-83, Edea, SV Horn
5, Artashes Baghdasaryan, D, 6'00", 11 09, 11-02-84, , Kilikia Yerevan
