=  KSV Roeselare - Belgian Eerste Klasse 2005/06

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Jurgen Sierens, G, 6'03", 13 03, 10-04-76, Roeselare, Oostende
2, Cyril Detremmerie, D, 6'01", 12 04, 20-06-85, , None
3, Martijn Monteyne, D, 5'09", 10 12, 12-11-84, Roeselare, None
4, Daan Vaesen, D, 6'00", 12 00, 11-07-81, Liège, KRC Genk
5, Christophe Kinet, M, 5'08", 10 12, 31-12-74, Huy, Sparta Rotterdam
6, Koen De Vleeschauwer, D, 6'00", 13 01, 12-05-71, Zottegem, Excelsior Mouscron
7, Bart Vlaeminck, M, 5'10", 10 12, 29-05-84, , Club Brugge
8, Steve Barbé, M, 6'01", 11 13, 15-01-79, Asse, KFC Strombeek
9, Abdoulaye Soumare, M, 5'10", 11 03, 07-11-80, Saint Ouen, Excelsior Mouscron
10, Frederik Vanderbiest, M, 5'11", 12 06, 10-10-77, , RWDM
11, Bas Vervaeke, F, 5'09", 10 03, 13-11-81, , Berchem Sport
12, Wouter Biebaw, G, 6'02", 12 13, 21-05-84, Deerlijk, ZW Vlaanderen
13, Christian Bouckenooghe, M, 5'09", 12 04, 07-02-77, , Ronse
14, Maxime Annys, D, 6'00", 12 00, 27-07-86, Ostend, Oostende
15, James Lahousse, D, 6'04", 13 01, 09-11-82, , None
16, Jamaïque Vandamme, F, 6'00", 12 01, 01-08-85, , Anderlecht
17, Chemcedine El Araichi, D, 5'10", 11 07, 18-05-81, Boussu, RAEC Mons
18, Björn Smits, D, 6'02", 12 11, 28-07-75, Ekeren, FC Eindhoven
19, Christophe Lauwers, F, 5'10", 11 03, 17-09-72, , Oostende
20, Björn De Coninck, D, 6'00", 13 10, 20-07-77, Tielt, KAA Gent
21, Eric Joly, M, 5'11", 11 12, 06-10-72, Valenciennes, Oostende
22, Sanharib Malki Sabah, F, 5'11", 11 11, 01-03-84, Al-Qamishli, Union St-Gilloise
23, Jonathan Hochepied, G, 5'11", 12 00, 19-08-86, , Excelsior Mouscron
24, Abdelhakim Laref, F, 6'02", 11 11, 12-01-85, , Maldegem
29, Sébastien Dufoor, F, 6'02", 13 03, 07-07-81, Brussels, RS Waasland
73, Wagneau Eloi, F, 6'01", 12 03, 11-09-73, Port-au-Prince, La Louvière

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
5, Jeffry Verhoeven, M, 6'00", 12 00, 12-07-74, , Racing Waregem
22, Lander Deweer, F, 6'01", 12 11, 04-05-85, , Oostende
7, Rocky Peeters, M, 6'05", 13 05, 18-08-79, Herentals, Sint-Truiden
18, Emmanuel Coquelet, F, 5'10", 11 00, 27-02-75, Quarouble, RAEC Mons
