=  FC Brussels - Belgian Eerste Klasse 2006/07

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Patrick Nys, G, 6'03", 12 01, 25-01-69, Lier, Dessel
2, Michaël Jonckheere, D, 6'01", 12 00, 01-09-87, Ukkel, None
3, Zola Matumona, M, 5'05", 09 06, 26-11-81, Kinshasa, AS Vita
4, Sidney Kargbo, D, 6'01", 11 05, 08-01-86, Freetown, None
5, Richard Culek, M, 6'02", 12 11, 01-04-74, Liberec, Lommel
7, Christ Bruno, D, 5'10", 11 11, 08-04-77, Frameries, Franc Borains
8, Alan Haydock, M, 5'09", 11 03, 13-01-76, Brussels, La Louvière
9, Jonathan Tehoue, M, 5'10", 12 08, 03-05-84, Paris, Excelsior Virton
12, Julien Lefèvre, G, 6'00", 11 09, 27-06-88, , None
13, Quentin Durieux, D, 6'01", 11 09, 28-01-85, Chimay, La Louvière
14, Julien Gorius, M, 6'00", 12 01, 17-03-85, Metz, Metz
15, Mickaël Citony, F, 5'09", 10 12, 21-08-80, Villiers-le-Bel, Créteil
16, Atte-Oudeyi Mohama Zanzan, D, 5'09", 12 00, 02-09-80, Lomé, Lokeren
17, Zoltán Petö, D, 5'11", 11 11, 19-09-74, Szolnok, Kayserispor
18, Dieudonné Kalulika, F, 5'07", 10 12, 10-01-83, Kinshasa, KVSK United
19, Steve Colpaert, D, 5'09", 10 12, 13-09-86, , RWDM
20, Jules César Oulai, M, 5'10", 12 06, 30-07-86, , La Louvière
21, Hakim Bouchouari, F, 5'11", 11 11, 25-09-78, Brussels, Standard Liège
22, Cedric Dellevoet, M, 5'09", 09 11, 10-12-87, , None
23, Cédric De Troetsel, D, 5'10", 11 05, 08-07-88, Etterbeek, Lierse
24, Flavien Le Postollec, M, 6'00", 11 07, 19-02-84, Abidjan, Lille
25, Patricio Bengui-Dombaxes, M, 5'09", 11 00, 10-11-86, , None
26, Julien Pinelli, M, 5'07", 09 06, 27-01-87, Gosselies, La Louvière
27, Michaël Cordier, G, 6'00", 11 07, 27-03-84, Lobbes, La Louvière
28, Arnaud Sutchuin, M, 6'00", 11 11, 02-05-89, Brussels, None
30, Musaba Selemani, F, 5'08", 10 06, 01-01-84, , Prince Louis
31, Christian Negouai, M, 6'04'', 13 00, 20-01-78, Fort-de-France, Aalesund
32, Samuel Néva, D, 6'00", 11 09, 15-05-81, Le Mans, Grenoble
34, Dieudonné Owona, D, 5'08", 12 00, 28-02-86, Yaoundé, Lille
35, Sambégou Bangoura, F, 6'00", 12 01, 03-04-82, , Stoke C
44, Ismael Bolzoni, D, , , 25-01-87, , None
45, Benjamin Mokolu, F, 6'01", , 11-10-89, , None
46, Mehdi Hadraoui, M, , , 20-02-88, , None

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
24, Sofian Benzouien, D, 5'10", 10 10, 11-08-86, Sint-Agatha-Berchem, Racing Santander B
15, Kristoffer Andersen, F, 6'00", 11 07, 09-12-85, , B Mönchengladbach II
6, Fabrice Omonga, M, 5'09", 09 13, 06-02-84, , OH Louvain (On Loan)
11, Ebrima Sillah, F, 5'08", 10 12, 12-04-80, Bakau, Hapoel Petah Tikva (On Loan)
10, Moussa Sanogo, F, 5'10", 11 00, 16-07-83, , Maccabi Netanya (On Loan)
33, Nenad Stojanović, F, 6'02", 13 03, 22-10-79, Belgrade, Luch-Energia Vladivostok
