=  Club Brugge - Belgian Eerste Klasse A 2022/2023

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
4, Joel Ordóñez, ECU, D, 1.85, 70, 21-04-04, Guayaquil, Independiente del Valle
5, Jack Hendry, SCO, D, 1.88, 76, 07-05-95, Glasgow, Oostende
6, Denis Odoi, GHA, D, 1.78, 67, 27-05-88, Leuven, Fulham
7, Andreas Skov Olsen, DEN, F, 1.88, 75, 29-12-99, Hillerød, Bologna
8, Owen Otasowie, USA, M, 1.91, 88, 20-04-01, New York, Wolverhampton W
9, Ferran Jutglà, ESP, F, 1.75, 77, 01-02-99, Sant Julià de Vilatorta, Barcelona B
10, Noa Lang, NED, M, 1.78, 74, 17-06-99, Capelle aan den IJssel, Ajax
14, Bjorn Meijer, NED, D, 1.82, 66, 18-03-03, Groningen, FC Groningen
15, Raphael Onyedika, NGA, M, 1.84, 78, 19-04-01, Imo, FC Midtjylland
17, Tajon Buchanan, CAN, F, 1.83, 69, 08-02-99, Brampton, New England Revolution
19, Kamal Sowah, GHA, M, 1.79, 66, 09-01-00, Sabon Zongo, Leicester C
20, Hans Vanaken, BEL, M, 1.85, 77, 24-08-92, Akselwal, Lokeren
21, Josef Bursik, ENG, G, 1.87, 70, 12-07-00, Lambeth, Stoke C
22, Simon Mignolet, BEL, G, 1.93, 87, 06-03-88, Sint-Truiden, Liverpool
26, Mats Rits, BEL, M, 1.80, 70, 18-07-93, Antwerp, Mechelen
27, Casper Nielsen, DEN, M, 1.82, 71, 29-04-94, Esbjerg, Union St-Gilloise
28, Dedryck Boyata, BEL, D, 1.88, 84, 08-09-90, Uccle, Hertha Berlin
30, Daniel Pérez, VEN, F, 1.89, 77, 17-01-02, Caracas, Metropolitanos
32, Antonio Nusa, NOR, F, 1.80, 73, 17-04-05, Langhus, Stabæk
33, Nick Shinton, BEL, G, 1.96, 81, 10-05-01, Aalst, None
44, Brandon Mechele, BEL, D, 1.80, 76, 28-01-93, Bredene, None
58, Jorne Spileers, NED, D, 1.88, 82, 21-01-05, -, None
64, Kyriani Sabbe, NED, D, 1.75, 59, 26-01-05, -, None
68, Chemsdine Talbi, BEL, M, 1.75, 68, 09-05-05, Sambrevile, None
70, Roman Yaremchuk, UKR, F, 1.92, 69, 27-11-95, Lviv, Benfica
76, Romeo Vermant, BEL, F, 1.81, 74, 24-01-04, Gelsenkirchen, None
77, Clinton Mata, BRA, D, 1.80, 72, 07-11-92, Verviers, Charleroi
89, Lynnt Audoor, BEL, M, 1.82, 69, 13-10-03, Merelbeke, None
91, Senne Lammens, BEL, G, 1.93, 72, 07-07-02, Zottegem, None
94, Abakar Sylla, CIV, D, 1.88, 80, 25-12-02, Daloa, SOA
98, Cisse Sandra, BEL, M, 1.86, 74, 16-12-03, -, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
21, David Okereke, NGA, F, 1.82, 75, 29-08-97, Lagos, Cremonese
90, Charles De Ketelaere, BEL, M, 1.85, 74, 10-03-01, Bruges, Milan
4, Stanley Nsoki, FRA, D, 1.85, 78, 09-04-99, Poissy, 1899 Hoffenheim
18, Federico Ricca, URU, D, 1.78, 73, 01-12-94, Tarariras, OH Leuven
25, Ruud Vormer, NED, M, 1.76, 76, 11-05-88, Hoorn, Zulte-Waregem (On Loan)
72, Noah Mbamba, BEL, D, 1.82, 75, 05-01-05, Elsene, Bayer Leverkusen
2, Eduard Sobol, UKR, D, 1.86, 73, 20-04-95, Vilnyansk, Strasbourg
11, Cyle Larin, CAN, F, 1.88, 87, 17-04-95, Brampton, Valladolid (On Loan)
3, Éder Álvarez Balanta, COL, M, 1.81, 84, 28-02-93, Bogotá, Schalke (On Loan)
93, Ibe Hautekiet, BEL, D, 1.88, 83, 13-04-02, Kortrijk, Standard Liège
