=  Flamengo - Campeonato Brasileiro Série A 2010

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
2, Léonardo Moura, BRA, D, 1.76, 65, 23-10-78, Niterói, Sporting Braga
4, Ronaldo Angelim, BRA, D, 1.77, 70, 29-11-75, São Paulo, Fortaleza
5, Toró, BRA, M, 1.69, 72, 13-04-86, Rio de Janeiro, Fluminense
6, Juan, BRA, D, 1.67, 66, 06-02-82, São Paulo, Fluminense
7, Corrêa, BRA, M, 1.76, 73, 29-12-80, Limeira, Dynamo Kiev
8, Willians, BRA, M, 1.75, 71, 29-01-86, São Paulo, Santo André
9, Val Baiano, BRA, F, 1.83, 78, 07-04-81, Jequié, Monterrey
10, Dejan Petković, SRB, M, 1.75, 73, 10-09-72, Majdanpek, Atlético Mineiro
11, Renato, BRA, M, 1.83, 78, 09-06-78, São Paulo, Al-Shabab
13, Claudio Maldonado, CHI, M, 1.74, 74, 03-01-80, Curió, Rentistas
14, David Braz, BRA, D, 1.87, 82, 21-05-87, Guarulhos, Panathinaikos
15, Kléberson, BRA, M, 1.75, 64, 19-06-79, Urai, Beşiktaş
16, Gonzalo Fierro, CHI, F, 1.71, 70, 21-03-83, Santiago, Colo-Colo
17, Fernando, BRA, M, 1.82, 71, 12-05-86, Rio de Janeiro, Goiás
18, Marllon, BRA, D, 1.81, 75, 16-04-92, Rio de Janeiro, Bangu
20, Rafinha, BRA, F, 1.64, 55, 01-04-93, Porto Franco, CFZ
23, Welinton, BRA, D, 1.87, 83, 10-04-89, Rio de Janeiro, None
25, Léo Medeiros, BRA, M, 1.85, 79, 14-05-81, Recreio, Cruzeiro
26, Jean, BRA, D, 1.86, 78, 18-11-79, Feira de Santana, FC Moscow
27, Paulo Victor, BRA, G, 1.87, 76, 12-01-87, Assis, América-RJ
28, Vinícius, BRA, G, 1.90, 78, 09-11-84, Goiânia, Boavista-RJ
29, Marcelo Lomba, BRA, G, 1.87, 80, 18-12-86, Rio de Janeiro, None
31, Marcelo Carné, BRA, G, 1.87, 84, 06-02-90, Rio de Janeiro, None
32, Rodrigo Alvim, BRA, D, 1.82, 73, 25-11-83, Paraná, Wolfsburg
33, Leandro Amaral, BRA, F, 1.77, 74, 06-08-77, Vila Prudente, Fluminense
35, Jorbison, BRA, D, 1.72, 64, 30-12-91, Camacan, None
36, Negueba, BRA, F, 1.78, 70, 07-04-92, Rio de Janeiro, None
37, Cristian Borja, COL, F, 1.83, 79, 01-01-88, Quibdó, Caxias
38, Marquinhos, BRA, F, 1.75, 68, 19-10-89, Prado, Desportivo Brasil
41, Antônio, BRA, M, 1.82, 78, 30-03-89, Rio de Janeiro, None
42, Rafael Galhardo, BRA, D, 1.76, 70, 30-10-91, Nova Friburgo, None
43, Diogo, BRA, F, 1.81, 82, 26-05-87, São Paulo, Olympiakos
44, William Júnior, BRA, M, 1.70, 58, 06-05-87, São Gonçalo, None
46, Vítor Saba, BRA, M, 1.84, 73, 11-07-90, Rio de Janeiro, None
48, Carlyle, BRA, F, , , 26-09-91, Goiânia, None
49, Diego Mauricio, BRA, F, 1.82, 77, 25-06-91, Rio de Janeiro, None
50, Diego Lima, BRA, G, , , 18-09-90, Rio de Janeiro, None
80, Michael, BRA, M, 1.74, 73, 16-02-83, São Caetano do Sul, Dynamo Kiev
88, Uendel, BRA, D, 1.78, 64, 08-10-88, Araranguá, Grêmio
99, Deivid, BRA, F, 1.80, 73, 22-10-79, Nova Iguaça, Fenerbahçe

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
10, Adriano, BRA, F, 1.89, 87, 17-02-82, Rio de Janeiro, Roma
43, Dejan Petković, SRB, M, 1.75, 73, 10-09-72, Majdanpek, Re-Registered (10)
37, Bruno Mezenga, BRA, F, 1.85, 75, 08-08-88, Niterói, Legia Warszawa (On Loan)
11, Dênis Marques, BRA, F, 1.83, 74, 22-02-81, Maceió, Omiya Ardija
3, Álvaro, BRA, D, 1.83, 83, 01-11-77, Nilópolis, 
18, Gil, BRA, F, 1.72, 65, 13-09-80, Andradina, 
1, Bruno, BRA, G, 1.90, 87, 23-12-84, Belo Horizonte, 
9, Vágner Love, BRA, F, 1.71, 72, 11-06-84, Rio de Janeiro, CSKA Moscow
28, Ramón, BRA, M, 1.80, 72, 24-05-88, Nova Era, CSKA Moscow
20, Fabricio, BRA, D, 1.86, 82, 20-02-90, Rio de Janeiro, Desportivo Brasil
33, Paulo Sérgio, BRA, F, 1.81, 71, 11-06-89, Rio de Janeiro, Estoril (On Loan)
22, Vinícius Pacheco, BRA, M, 1.73, 68, 27-09-85, São Gonçalo, Figueirense (On Loan)
19, Éverton Silva, BRA, D, 1.70, 65, 04-08-88, Rio de Janeiro, Ponte Preta (On Loan)
21, Lenon, BRA, M, 1.77, 65, 02-05-90, São Paulo, Goiás (On Loan)
34, Camacho, BRA, M, 1.81, 73, 02-03-90, Rio de Janeiro, Goiás (On Loan)
39, Rômulo, BRA, M, 1.86, 78, 04-02-87, Caxias do Sul, Atlético Goianiense (On Loan)
