=  Coritiba - Campeonato Brasileiro Série A 2013

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Vanderlei, BRA, G, 1.95, 86, 01-02-84, Porecatu, Paranavaí
2, Victor Ferraz, BRA, D, 1.74, 74, 14-01-88, João Pessoa, Bragantino
3, Cleiton, BRA, D, 1.87, 76, 11-07-81, Porto Alegre, Roma-PR
5, Willian Farias, BRA, M, 1.76, 75, 06-06-89, Curitiba, None
6, Raúl Iberbia, ARG, D, 1.75, 75, 25-12-89, Carmen de Areco, Estudiantes (LP)
7, Vítor Júnior, BRA, M, 1.67, 63, 15-09-86, Porto Alegre, Corinthians
8, Gil, BRA, M, 1.68, 66, 09-03-87, Santo Antônio, Santo André
9, Deivid, BRA, F, 1.80, 73, 22-10-79, Nova Iguaça, Flamengo
10, Alex, BRA, M, 1.75, 73, 14-09-77, Curitiba, Fenerbahçe
11, Júlio César, BRA, F, 1.76, 75, 26-02-80, Itaguai, Figueirense
12, Vaná, BRA, G, 1.94, 80, 25-04-91, Planaltina, None
13, Bill, BRA, F, 1.83, 86, 02-07-84, Rio de Janeiro, Al-Ittihad [KSA]
14, Eltinho, BRA, D, 1.71, 66, 07-07-87, Guaira, Avaí
15, Marcos Paulo, BRA, M, 1.84, 72, 04-02-90, Florianópolis, Avaí
16, Abner, BRA, D, 1.71, 70, 30-05-96, Londrina, None
17, Dudu, BRA, M, 1.74, 72, 12-05-91, Curitiba, None
18, Darío Bottinelli, ARG, M, 1.68, 67, 26-02-86, Capital Federal, Flamengo
19, Keirrison, BRA, F, 1.81, 63, 03-12-88, Dourados, Barcelona
20, Robinho, BRA, M, 1.70, 67, 10-11-87, Marialva, Avaí
21, Luccas Claro, BRA, D, 1.82, 83, 20-10-91, Ribeirão Preto, None
22, Sergio Escudero, ARG, M, 1.95, 82, 12-04-83, Punta Alta, Argentinos Juniors
23, Júnior Urso, BRA, M, 1.82, 82, 10-03-89, Taboão da Serra, Avaí
25, Chico, BRA, M, 1.85, 83, 02-02-87, Pato Branco, Palmeiras
26, Rafhael Lucas, BRA, F, 1.74, 71, 30-11-92, Curitiba, None
27, Maykon, BRA, F, 1.82, 68, 10-03-92, Vassouras, Operário
28, Émerson Santos, BRA, M, 1.78, 73, 27-02-92, Feira de Santana, Grêmio
29, Jânio, BRA, F, 1.74, 73, 03-07-91, Parnaíba, Ferroviário
30, Carlinhos, BRA, D, 1.67, 71, 29-11-86, Piripiri, Icasa
31, Anderson Aquino, BRA, F, 1.74, 70, 18-12-86, Foz do Iguaçu, Atlético Paranaense
32, Jackson, BRA, D, 1.82, 85, 11-05-90, Porto Alegre, Boa
33, Bartola, BRA, F, 1.67, 63, 19-05-94, Santa Maria do Pará, None
34, Bonfim, BRA, D, 1.88, 81, 24-07-91, Salvador, None
35, Sérgio Manoel, BRA, M, 1.77, 82, 08-09-89, Xique-Xique, Mirassol
36, Diogo Barbosa, BRA, D, 1.79, 70, 17-08-92, Terra Nova do Norte, Coimbra
37, Zé Rafael, BRA, M, 1.75, 71, 16-06-93, Ponta Grossa, None
38, Samuel, BRA, G, 1.88, 80, 29-03-94, Teixeira de Freitas, None
39, Rafael Martins, BRA, G, 1.90, 79, 29-11-91, Pariquera-Açu, None
43, Luizinho, BRA, M, 1.66, 62, 04-05-92, Curitiba, None
44, Leandro Almeida, BRA, D, 1.88, 83, 14-03-87, Belo Horizonte, Dynamo Kyiv
45, Geraldo, ANG, M, 1.68, 63, 23-11-91, Luanda, Andraus
46, Vinícius, BRA, M, 1.77, 75, 15-04-91, Curitiba, Paraná
48, Germano, BRA, M, 1.76, 74, 21-03-81, Toledo, Londrina
55, Bruno Fuso, BRA, G, 1.94, 83, 30-01-88, Limeira, Ponte Preta
66, Thiago Primão, BRA, M, 1.63, 71, 11-02-93, Curitiba, None
87, Uelliton, BRA, M, 1.72, 74, 28-08-87, Monte Santo, Cruzeiro
99, Lincoln, BRA, M, 1.77, 71, 22-01-79, Belo Horizonte, Palmeiras

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
40, Victor Brasil, BRA, G, 1.92, 85, 01-05-93, Rio de Janeiro, Foz do Iguaçu (On Loan)
41, Alex, BRA, F, 1.73, 76, 19-12-93, Grajaú, Foz do Iguaçu (On Loan)
6, Denis, BRA, D, 1.69, 68, 22-04-90, Pirassununga, Joinville (On Loan)
4, Pereira, BRA, D, 1.89, 88, 30-07-79, Guarulhos, Sport Recife
13, Patric, BRA, D, 1.72, 71, 25-03-89, Criciúma, Atlético Mineiro
7, Rafinha, BRA, M, 1.67, 61, 04-08-83, Guarulhos, Al-Shabab
29, Rafael Silva, BRA, M, 1.76, 71, 04-04-92, São Paulo, Lugano
31, Guaraci, BRA, M, 1.85, 82, 02-03-92, Sorocaba, Madureira (On Loan)
3, Emerson Silva, BRA, D, 1.86, 83, 03-05-83, Taguatinga, Atlético Mineiro
17, Éverton, BRA, F, 1.81, 71, 06-01-86, Ponta Grossa, Santos (On Loan)
30, Djair, BRA, M, 1.72, 72, 10-02-91, Barretos, ASA (On Loan)
77, Arthur Caíke, BRA, F, 1.74, 71, 15-06-92, Barbalha, Londrina
