=  Atlético Mineiro - Campeonato Brasileiro Série A 2019

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Victor, BRA, G, 1.93, 84, 21-01-83, Santo Anastácio, Grêmio
2, Patric, BRA, D, 1.72, 71, 25-03-89, Criciúma, Benfica
3, Leonardo Silva, BRA, D, 1.92, 80, 22-06-79, Rio de Janeiro, Cruzeiro
4, Réver, BRA, D, 1.92, 84, 04-01-85, Ariranha, Internacional
5, Ramón Martínez, PAR, M, 1.86, 82, 04-01-96, Asunción, Guaraní [PAR]
6, Fábio Santos, BRA, D, 1.79, 75, 16-09-85, São Paulo, Cruz Azul
7, Elias, BRA, M, 1.73, 64, 16-05-85, São Paulo, Sporting CP
8, Yimmi Chará, COL, F, 1.79, 78, 02-04-91, Cali, Junior
9, Ricardo Oliveira, BRA, F, 1.83, 81, 06-05-80, São Paulo, Santos
10, Juan Cazares, ECU, M, 1.69, 65, 03-04-92, Quinindé, Banfield
11, Maicon, BRA, F, 1.82, 67, 18-02-90, Duque de Caxias, Antalyaspor
14, José Welison, BRA, M, 1.77, 74, 11-03-95, São Pedro, Vitória
16, Rabello, BRA, D, 1.90, 87, 28-04-95, Rio de Janeiro, Botafogo
19, Iago Maidana, BRA, D, 1.95, 87, 06-02-96, Criciúma, São Paulo
20, David Terans, URU, M, 1.76, 73, 11-08-94, Montevideo, Danubio
22, Hulk, BRA, D, 1.79, 75, 03-04-99, Brasília, Fluminense
23, Nathan, BRA, M, 1.76, 73, 13-03-96, Blumenau, Chelsea
26, Franco Di Santo, ARG, F, 1.94, 78, 07-04-89, Mendoza, Rayo Vallecano
27, Luan, BRA, F, 1.68, 69, 11-08-90, São Miguel dos Campos, Atlético Sorocaba
28, Lucas Hernández, URU, D, 1.74, 71, 05-08-92, Montevideo, Peñarol
29, Vinícius, BRA, M, 1.77, 75, 15-04-91, Curitiba, Atlético Paranaense
30, Gustavo Blanco, BRA, M, 1.74, 66, 03-10-94, Salvador, Bahia
31, Michael, BRA, G, 1.94, 85, 08-04-95, Serranópolis do Iguaçu, São Paulo
32, Uilson, BRA, G, 1.86, 75, 28-04-94, Mucuri, None
33, Fernando, BRA, G, , , 01-08-97, Uberlândia, None
34, Vitor Mendes, BRA, D, 1.86, 70, 13-02-99, Belém, None
35, Matheus Stockl, BRA, D, 1.85, 79, 14-03-00, Marechal Floriano, None
39, Alessandro Vinícius, BRA, M, 1.74, 70, 15-02-99, Santa Maria de Itabira, None
40, Cleiton, BRA, G, 1.90, 82, 19-08-97, Belmonte, None
43, Bruninho, BRA, M, 1.75, 67, 27-04-00, Belo Horizonte, None
44, Alerrandro, BRA, F, 1.80, 74, 12-01-00, Lavras, None
45, Talison, BRA, D, , , 02-06-00, Araguaína, None
46, Neto, BRA, M, 1.78, 76, 11-09-02, Guanambi, None
49, Geuvânio, BRA, F, 1.75, 62, 05-04-92, Ilha das Flores, Tianjin Quanjian
50, Marquinhos, BRA, F, 1.70, 71, 20-10-99, Cajari, None
80, Rómulo Otero, VEN, M, 1.65, 66, 09-11-92, El Tigre, Huachipato
84, Wilson, BRA, G, 1.85, 79, 31-01-84, Santo André, Coritiba
88, Jair, BRA, M, 1.78, 70, 28-08-94, Ibirubá, Sport Recife
98, Guga, BRA, D, 1.77, 66, 29-08-98, Rio de Janeiro, Avaí

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
38, Martín Rea, URU, D, 1.84, 80, 13-11-97, Montevideo, Danubio
17, Leandrinho, BRA, F, 1.73, 66, 11-10-98, Ribeirão Claro, Napoli
42, Renan Guedes, BRA, D, 1.77, 69, 19-01-98, São Paulo, Guarulhos
15, Matheus Mancini, BRA, D, 1.88, 81, 14-09-94, Ribeirão Preto, Académica (On Loan)
21, Adilson, BRA, M, 1.81, 70, 16-01-87, Bom Princípio, Retired
18, Lucas Cândido, BRA, M, 1.78, 73, 25-12-93, Uberlândia, Vitória (On Loan)
26, Carlos César, BRA, D, 1.72, 70, 21-04-87, Uberaba, 
95, Clayton, BRA, F, 1.73, 69, 23-10-95, Rio de Janeiro, Vasco da Gama (On Loan)
99, Rafael Papagaio, BRA, F, 1.82, 80, 12-04-99, São Paulo, Palmeiras
41, Daniel Penha, BRA, M, 1.70, 68, 17-10-98, Brasília, CRB (On Loan)
