=  Palmeiras - Campeonato Brasileiro Série A 2020

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
2, Marcos Rocha, BRA, D, 1.76, 68, 11-12-88, Sete Lagoas, Atlético Mineiro
3, Emerson Santos, BRA, D, 1.84, 75, 05-04-95, Itaboraí, Botafogo
4, Benjamín Kuščević, CHI, D, 1.85, 80, 02-05-96, Santiago, Universidad Católica
5, Patrick de Paula, BRA, M, 1.80, 75, 08-09-99, Rio de Janeiro, None
8, Zé Rafael, BRA, M, 1.75, 71, 16-06-93, Ponta Grossa, Bahia
9, Luan Silva, BRA, F, 1.80, 77, 26-02-99, Salvador, Vitória
10, Luiz Adriano, BRA, F, 1.82, 71, 12-04-87, Porto Alegre, Spartak Moscow
11, Rony, BRA, F, 1.70, 65, 11-05-95, Magalhães Barata, Athletico Paranaense
12, Mayke, BRA, D, 1.78, 68, 10-11-92, Carangola, Cruzeiro
13, Luan, BRA, D, 1.83, 79, 10-05-93, Vitória, Vasco da Gama
14, Gustavo Scarpa, BRA, M, 1.76, 65, 05-01-94, Campinas, Fluminense
15, Gustavo Gómez, PAR, D, 1.86, 85, 06-06-93, Misiones, Milan
16, Lucas Esteves, BRA, D, 1.69, 66, 24-06-00, São Paulo, None
17, Matías Viña, URU, D, 1.76, 70, 09-11-97, Empalme Olmos, Nacional [URU]
20, Lucas Lima, BRA, M, 1.75, 69, 09-07-90, Marília, Santos
21, Weverton, BRA, G, 1.89, 85, 13-12-87, Rio Branco, Atlético Paranaense
23, Raphael Veiga, BRA, M, 1.76, 73, 19-06-95, São Paulo, Coritiba
25, Gabriel Menino, BRA, M, 1.76, 78, 29-09-00, Morungaba, None
26, Renan, BRA, D, 1.84, 69, 19-05-02, Itapevi, None
27, Gabriel Veron, BRA, F, 1.74, 75, 03-09-02, Assu, None
28, Danilo, BRA, M, 1.77, 65, 29-04-01, Salvador, None
29, Willian, BRA, F, 1.71, 78, 19-11-86, Três Fronteiras, Cruzeiro
30, Felipe Melo, BRA, D, 1.83, 73, 26-06-83, Volta Redonda, Internazionale
33, Alan Empereur, BRA, D, 1.86, 82, 10-03-94, Ipatinga, Verona
34, Ramon César, BRA, M, -, -, 25-03-02, -, None
36, Vitinho, BRA, M, -, -, 25-06-02, -, None
38, Marcelinho, BRA, F, -, -, 11-12-02, -, None
39, Breno Lopes, BRA, F, 1.78, 71, 24-01-96, Belo Horizonte, Juventude
40, Ramón Ricardo, BRA, D, -, -, 19-03-01, -, None
42, Jailson, BRA, G, 1.86, 80, 20-07-81, São José dos Campos, Ceará
44, Henri, BRA, D, 1.87, 73, 16-02-02, Araçatuba, None
45, Adriano Junior, BRA, M, -, -, 15-01-02, -, None
47, Wesley, BRA, F, 1.75, 64, 30-03-99, Salvador, None
49, Gabriel Silva, BRA, F, 1.77, 78, 22-03-02, Ribeirão Preto, None
51, Mateus Oliveira, BRA, G, 1.99, 89, 02-05-02, Cajazeiras, None
53, Helder, BRA, D, -, -, 08-12-00, -, None
56, Jean Quiñonez, ECU, F, -, -, 01-12-01, -, None
57, Pedro Acacio, BRA, M, -, -, 28-06-02, -, None
58, Aníbal Vega, PAR, F, -, -, 18-03-00, -, None
59, Marino Hinestroza, COL, F, 1.70, 60, 08-07-02, Cali, América de Cali
60, Fabrício, BRA, F, -, -, 23-02-01, -, None
66, Vanderlan, BRA, D, 1.83, 74, 07-09-02, Brumado, None
72, Vinícius Silvestre, BRA, G, 1.95, 90, 28-03-94, Guarulhos, None
73, Leandro, BRA, G, -, -, 28-01-01, -, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
6, Diogo Barbosa, BRA, D, 1.79, 70, 17-08-92, Terra Nova do Norte, Grêmio
4, Vitor Hugo, BRA, D, 1.87, 80, 20-05-91, Guaraci, Trabzonspor
19, Bruno Henrique, BRA, M, 1.80, 75, 21-10-89, Apucarana, Al-Ittihad [KSA]
38, Iván Angulo, COL, F, 1.70, 62, 22-03-99, Tumaco, Botafogo (On Loan)
18, Ramires, BRA, M, 1.79, 65, 24-03-87, Rio de Janeiro, 
