=  Deportes Iquique - Chilean Primera División 2020

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Ignacio Sotomayor, CHI, G, 1.80, 70, 04-12-96, Iquique, None
2, Lucas Aveldaño, ARG, D, 1.85, 83, 19-07-85, Rafaela, Universidad de Chile
3, Matías Blázquez, CHI, D, 1.87, 84, 08-05-91, Viña del Mar, Everton (Viña del Mar)
5, Rafael Caroca, CHI, M, 1.70, 67, 19-07-89, Curicó, Universidad de Chile
6, Arturo Guerrero, CHI, M, 1.73, 68, 09-03-01, Iquique, None
7, Misael Cubillos, CHI, F, 1.75, 67, 06-02-96, Iquique, None
8, Mauricio Zenteno, CHI, D, 1.73, 76, 21-04-84, Linares, Deportes La Serena
9, Gustavo Lorenzetti, ARG, M, 1.68, 72, 10-05-85, Rosario, Universidad de Chile
10, Facundo Guichón, URU, M, 1.82, 72, 08-02-91, Montevideo, Rampla Juniors
11, Álvaro Ramos, CHI, F, 1.67, 70, 14-04-92, Alto Hospicio, Everton (Viña del Mar)
12, Julio Bórquez, CHI, G, 1.78, 79, 20-04-00, Iquique, None
14, Franz Schultz, CHI, M, 1.72, 72, 20-07-91, Valparaíso, Deportes Antofagasta
15, Matías Donoso, CHI, F, 1.85, 88, 08-07-86, Temuco, Deportes Temuco
16, Abel Hidalgo, CHI, D, 1.75, 70, 13-04-98, Iquique, None
17, Michael Contreras, CHI, D, 1.72, 70, 10-02-93, Iquique, Cobreloa
18, Hans Salinas, CHI, M, 1.71, 74, 23-04-90, El Salvador [CHI], Deportes La Serena
19, Ricardo Blanco, ARG, M, 1.63, 64, 20-06-90, Mar del Plata, Deportes Antofagasta
20, Diego Orellana, CHI, D, 1.72, 67, 16-05-93, San Vicente de Tagua Tagua, Everton (Viña del Mar)
21, Sebastián Zúñiga, CHI, M, 1.68, 69, 21-06-90, San Bernardo, Unión La Calera
22, Fabián Ramos, CHI, M, 1.73, 70, 12-08-94, Santa Fe, Rodelindo Román
23, Jesús Hernández, VEN, F, 1.82, 81, 06-01-93, Cumaná, Deportivo Lara
24, Felipe Saavedra, CHI, D, 1.72, 67, 26-09-96, Quillota, Universidad de Chile
25, Sebastián Pérez, CHI, G, 1.80, 76, 02-12-90, Viña del Mar, Palestino
27, Michael Fuentes, CHI, F, 1.70, 71, 27-05-98, Iquique, None
28, César Huanca, CHI, F, 1.84, 80, 04-06-01, Alto Hospicio, None
29, Johan Castillo, CHI, F, 1.65, 56, 17-03-99, Iquique, None
30, Alejandro Contreras, CHI, D, 1.85, 81, 03-03-93, Puente Alto, Universidad de Chile
31, Diego Fernández, CHI, M, 1.75, 70, 08-03-98, Loncoche, None
