=  Shandong Luneng - Chinese Super League 2011

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Li Leilei, CHN, G, 1.82, 83, 30-06-77, Beijing, Shenzhen
2, Liu Jindong, CHN, D, 1.82, 70, 09-12-81, Qingdao, None
4, Fabiano, BRA, M, 1.92, 79, 18-01-82, São Paulo, Lecce
5, Wang Qiang, CHN, D, 1.85, 76, 23-07-84, Liaoning, Changsha Ginde
6, Zhou Haibin, CHN, M, 1.80, 70, 19-07-85, Dalian, PSV Eindhoven
7, Cui Peng, CHN, M, 1.78, 70, 31-05-87, Dalian, None
8, Wang Yongpo, CHN, M, 1.78, 65, 19-01-87, Qingdao, None
9, Han Peng, CHN, F, 1.85, 77, 13-09-83, Jinan, None
10, Obina, BRA, F, 1.83, 86, 31-01-83, Vera Cruz, Atlético Mineiro
11, Wang Tong, CHN, D, 1.82, 72, 12-02-93, Shenyang, None
12, Geng Xiaofeng, CHN, G, 1.91, 78, 15-10-87, Shenyang, None
13, Gao Di, CHN, F, 1.75, 70, 06-01-90, Qufu, None
14, Mirahmetjan Muzepper, CHN, M, 1.82, 73, 14-01-91, Kashgar, None
15, Yuan Weiwei, CHN, D, 1.85, 78, 25-11-85, Tianjin, None
16, Zheng Zheng, CHN, D, 1.80, 75, 11-07-89, Qingdao, None
17, Julio Cesar León, HON, M, 1.74, 75, 13-09-79, Cortés, Parma
18, Roda Antar, LIB, M, 1.87, 82, 12-09-80, Freetown, Köln
19, Zhang Chi, CHN, M, 1.75, 69, 08-07-87, Jinan, None
20, Wang Liang, CHN, M, 1.83, 76, 19-07-79, Shenyang, Liaoning
21, Deng Zhuoxiang, CHN, M, 1.81, 70, 24-10-88, Wuhan, Wuhan
22, Yang Cheng, CHN, G, 1.85, 72, 11-10-85, Tianjin, Tianjin Locomotive
23, Li Wei, CHN, M, 1.80, 73, 18-03-85, Beijing, None
24, Lü Zheng, CHN, F, 1.85, 70, 25-02-85, Beijing, None
25, Liu Yang, CHN, D, 1.82, 79, 09-02-91, Bengbu, None
26, Xia Ningning, CHN, M, 1.75, 69, 04-01-87, Qingdao, None
27, Ma Long, CHN, M, 1.77, 71, 26-02-90, Qingdao, None
28, Ma Xingyu, CHN, M, 1.76, 70, 04-11-89, Qingdao, None
29, Ricardo, POR, D, 1.86, 78, 19-08-80, Guimarães, Vitória Guimarães
30, Shao Puliang, CHN, G, 1.88, 80, 06-07-89, Qingdao, None
31, Yu Shuai, CHN, F, 1.82, 80, 28-06-89, Qingdao, None
32, Gong Yaotong, CHN, D, 1.82, 76, 05-02-91, Zibo, None
33, Ren Yongshun, CHN, D, 1.86, 85, 08-04-85, Qingdao, Jiangsu Sainty
34, Yang Chen, CHN, F, 1.73, 66, 01-11-91, Nanjing, None
35, Sun Dong, CHN, M, 1.74, 60, 03-01-92, Dalian, None
36, Liu Weiguo, CHN, G, 1.95, 85, 03-05-92, Tianjin, None
37, Wang Boren, CHN, M, 1.77, 68, 18-05-91, Weifang, None
38, Zhao Wan, CHN, M, 1.80, 70, 14-08-92, Jinan, None
39, Zhao Hongxu, CHN, M, 1.83, 74, 27-03-91, Jinzhou, None
40, Liu Zhao, CHN, F, 1.78, 70, 11-01-85, Qingdao, None
50, Hao Junmin, CHN, M, 1.78, 70, 24-03-87, Wuhan, Schalke

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
3, Renato Silva, BRA, D, 1.80, 73, 26-07-83, Colinas de Goiás, Vasco da Gama
