=  América de Cali - Colombian Categoría Primera A 2019 Apertura

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Carlos Bejarano, EQG, G, 1.84, 76, 29-01-85, Quibdó, Independiente Medellín
2, Marlon Torres, COL, D, 1.80, 70, 17-04-96, Barranquilla, Atlético Bucaramanga
4, Carlos Sierra, COL, M, 1.77, 75, 25-10-90, Barranquilla, Deportes Iquique
5, Héctor Quiñones, COL, D, 1.78, 71, 17-03-92, Barbacoas, Paços de Ferreira
6, Gustavo Carvajal, COL, M, 1.81, 72, 17-06-00, Padilla, None
7, Jhon Quiñones, COL, M, 1.70, 67, 25-05-00, Tumaco, None
8, Cristian Álvarez, ARG, M, 1.74, 70, 28-09-92, Trenque Lauquen, Villa Dálmine
9, Fernando Aristeguieta, VEN, F, 1.87, 80, 09-04-92, Caracas, Caracas
10, Yesus Cabrera, COL, M, 1.68, 62, 15-09-90, Cartagena, Once Caldas
11, Misael Riascos, COL, M, 1.71, 71, 29-03-91, El Charco, Al-Batin
14, Pedro Franco, COL, D, 1.83, 76, 23-04-91, Bogotá, Beşiktaş
15, Cristian Flórez, COL, D, 1.80, 80, 30-12-94, Ibagué, Alianza Petrolera
16, Juan Pablo Segovia, ARG, D, 1.82, 95, 21-03-89, Corrientes, Independiente del Valle
17, Jhonier Viveros, COL, M, 1.70, 70, 28-04-92, Robles, Cortuluá
18, Juan Camilo Mesa, COL, D, 1.83, 72, 23-02-98, Cúcuta, Atlético Bucaramanga
19, Luis Paz, COL, M, 1.75, 75, 08-09-88, Bogotá, Deportes Tolima
21, Julián Guevara, COL, M, 1.93, 90, 04-05-92, Santiago, Inter Turku
22, Arled Cadavid, COL, G, 1.79, 69, 29-03-91, Girardota, Itagüí Leones
23, Jeison Medina, COL, F, 1.80, 74, 27-02-95, Itagüí, Itagüí Leones
24, Luis Sánchez, COL, D, 1.75, 76, 18-09-00, Cúcuta, None
25, Jean Sinisterra, COL, M, , , 31-01-00, El Cerrito, None
26, Jhonatan Pérez, COL, D, 1.79, 70, 06-02-89, Fonseca, Alianza Petrolera
27, Daniel Buitrago, COL, F, 1.77, 75, 27-02-91, Medellín, Universidad Católica [ECU]
28, Kevin Viveros, COL, F, 1.80, 77, 26-04-00, Buenaventura, None
32, Andrés Ávarez, COL, M, 1.75, 70, 12-03-99, Palmira, None
33, Cristian Hinestroza, COL, D, , , 01-08-99, Carepa, None
34, Juan Nieva, COL, M, 1.78, 71, 13-02-99, Cali, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
3, Jonny Mosquera, COL, M, 1.71, 66, 17-02-91, Medellín, Avaí
