=  Brno - Czech Gambrinus Liga 2006/07

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Martin Lejsal, G, 6'06", 12 08, 16-09-82, Kyjov, Reggina
3, Martin Nosko, D, 5'09", 11 03, 19-11-86, , None
4, Ondřej Mazuch, D, 6'02", 13 12, 15-03-89, Hodonín, None
5, Mario Holek, M, 6'01", 11 11, 28-10-86, Brno, None
6, Sašo Gjoreski, D, 5'10", 10 10, 18-09-82, Belčišta Ohrid, Sileks Kratovo
7, Milan Pacanda, F, 5'09", 11 11, 28-02-78, Teplice, Sparta Prague
9, Tomáš Okleštěk, M, 6'00", 12 04, 21-02-87, Brno, None
10, Patrik Siegl, M, 5'11", 11 09, 26-02-76, Šternberk, Sigma Olomouc
11, René Wagner, F, 5'11", 12 04, 31-10-72, Brno, Mattersburg
12, Karel Večeřa, M, 5'10", 12 01, 10-11-78, Brno, Vysočina Jihlava
13, Pavel Vrána, F, 6'02", 12 01, 13-06-85, Brno, None
14, Aleš Besta, F, 5'11", 11 11, 10-04-83, Ostrava, Žilina
15, Marek Střeštík, F, 6'02", 11 11, 01-02-87, Komárno, Slovan Liberec
16, František Schneider, M, 6'01", 12 01, 21-04-87, , None
17, Tomáš Bureš, G, 6'02", 14 00, 27-09-78, Prostějov, Drnovice
18, Martin Kuncl, D, 6'00", 11 00, 01-04-84, Brno, None
19, Luboš Kalouda, M, 5'09", 11 00, 20-05-87, Brno, None
21, Tomáš Polách, M, 5'09", 10 12, 16-01-77, Slavičín, Slovácko
22, Jan Trousil, D, 6'04", 13 08, 09-04-76, Kutná Hora, Kladno
24, Petr Pavlík, M, 6'01", 12 08, 17-07-78, Prague, Slovácko
25, Pavel Mezlík, F, 5'10", 11 11, 25-06-83, Třebíč, None
28, Filip Chlup, M, 5'09", 11 03, 10-06-85, Vyškov, None
29, Luděk Zelenka, F, 6'00", 12 06, 11-09-73, Liberec, Teplice
30, Martin Švejnoha, D, 6'00", 12 08, 25-11-77, Plzeň, Slovácko

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
2, Aleš Schuster, D, 5'11", 12 08, 26-10-81, Brno, Dosta Bystrc (On Loan)
8, Pavel Simr, F, 6'02", 14 00, 06-07-83, Brno, Dosta Bystrc (On Loan)
26, Jaroslav Černý, M, 5'10", 11 07, 26-06-79, Horní Benešov, České Budějovice
23, Zdeněk Partyš, M, 5'10", 11 11, 17-03-83, Brno, SFC Opava (On Loan)
