=  Teplice - Czech Gambrinus Liga 2008/09

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Martin Slavík, CZE, G, 1.94, 89, 21-09-79, Nový Jičín, Slavia Prague
2, Alen Melunovič, BIH, F, 1.91, 79, 26-01-90, Prijepolje, Partizan Belgrade
3, David Jablonský, CZE, D, 1.90, 85, 08-10-91, Sokolov, None
4, Martin Klein, CZE, D, 1.87, 85, 02-07-84, Brno, Sparta Prague B
5, Admir Ljevakovič, BIH, M, 1.82, 78, 07-08-84, Tesanj, Čelik Zenica
6, Vlastimil Vidlička, CZE, D, 1.78, 74, 02-07-81, Zlín, Zlín
7, Michal Gašparík, SVK, M, 1.78, 66, 19-12-81, Trnava, Most
8, Štěpán Vachoušek, CZE, M, 1.85, 80, 26-07-79, Duchcov, Austria Vienna
9, Pavel Verbíř, CZE, M, 1.75, 73, 13-11-72, Mělník, Spolana Neratovice
10, Vlastimil Stožický, CZE, M, 1.81, 80, 05-04-83, Varnsdorf, Jablonec
11, Andrej Hesek, SVK, F, 1.87, 78, 12-06-81, , Nitra
12, Michal Doležal, CZE, D, 1.77, 73, 19-08-77, Teplice, Hradec Králové
14, Samir Merzič, BIH, D, 1.86, 80, 29-06-84, Mostar, Ústi nad Labem
15, Petr Lukáš, CZE, D, 1.92, 82, 24-04-78, Prague, Sparta Prague
16, Pavel Hašek, CZE, M, 1.72, 67, 27-06-83, Prague, Bohemians 1905
17, Tomáš Vondrášek, CZE, F, 1.75, 72, 26-10-87, Sokolov, None
18, Michal Smejkal, CZE, F, 1.92, 88, 21-02-86, Plzeň, Viktoria Plzeň
19, Jakub Mareš, CZE, M, 1.82, 75, 26-01-87, Teplice, None
20, Milan Matula, CZE, D, 1.85, 77, 22-04-84, Trutnov, Slovan Liberec
22, Antonín Rosa, CZE, D, 1.91, 82, 12-11-86, Ústí nad Labem, None
23, Osama Elsamni, EGY, F, 1.80, 73, 29-09-88, Okinawa, Tokyo Verdy
24, Radim Breite, CZE, M, 1.75, 72, 10-08-89, Krupka, None
25, Aidin Mahmutovič, BIH, F, 1.80, 75, 06-04-86, Doboj, Čelik Zenica
26, Blažej Vaščák, SVK, F, 1.85, 84, 21-11-83, Krompachy, Lecce
27, Martin Jindráček, CZE, F, 1.85, 80, 29-11-89, Roudnice nad Labem, None
30, Tomáš Grigar, CZE, G, 1.91, 95, 01-02-83, Ostrava, Sparta Prague

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
11, Jiří Sabou, CZE, M, 1.83, 75, 05-12-74, Beroun, Viktoria Žižkov
21, Michal Daněk, CZE, G, 1.94, 91, 06-07-83, Ostrava, Viktoria Plzeň
30, Tomáš Belic, SVK, G, 1.90, 84, 02-07-78, Trenčín, Panionios
16, Tomáš Jun, CZE, F, 1.78, 72, 17-01-83, Prague, SCR Altach (On Loan)
3, Aleš Hanzlík, CZE, D, 1.76, 75, 06-02-87, , Baník Sokolov (On Loan)
24, Jan Štohanzl, CZE, M, 1.74, 73, 20-03-85, Třebíč, Vyšocina Jihlava (On Loan)
2, Jiří Pimpara, CZE, D, 1.90, 88, 04-02-87, , Teplice B
23, Petr Smíšek, CZE, F, 1.89, 86, 22-01-78, Plzeň, Teplice B
