=  Kladno - Czech Gambrinus Liga 2009/10

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Peter Kostolanský, SVK, G, 1.88, 83, 08-08-85, Trnava, Spartak Trnava
2, Tomáš Strnad, CZE, M, 1.85, 82, 08-12-80, Prague, Dukla Banská Bystrica
3, Pavel Bartoš, CZE, D, 1.83, 83, 17-08-79, Kladno, Marila Příbram
4, Lukáš Hajník, CZE, D, 1.78, 76, 24-09-85, Kladno, Bohemians Prague
6, Ondřej Szabo, CZE, M, 1.75, 72, 23-02-79, Broumov, Teplice
7, Tomáš Klinka, CZE, F, 1.73, 72, 24-04-77, Prague, Spartak Trnava
8, Antonín Holub, CZE, M, 1.76, 67, 08-03-86, Kladno, None
9, Patrik Svoboda, CZE, F, 1.78, 75, 13-04-94, Kladno, None
10, Tomáš Cigánek, CZE, M, 1.76, 72, 30-11-78, Přerov, Mladá Boleslav
11, Jaromír Šilhan, CZE, F, 1.91, 88, 10-04-83, Prague, None
12, Michal Zachariáš, CZE, F, 1.80, 77, 25-05-84, Kladno, None
13, Michal Rendla, CZE, D, , , 21-01-91, , None
14, Jan Procházka, CZE, D, 1.82, 75, 02-12-78, Kladno, Most
15, Zdeněk Rada, CZE, D, 1.85, , 01-01-90, , None
16, Patrik Gross, CZE, D, 1.83, 76, 06-05-78, , Ústí nad Labem
17, Marcel Lička, CZE, M, 1.79, 76, 17-07-77, Ostrava, Calais
18, Jan Novotný, CZE, M, 1.74, 67, 15-04-82, Brandýs nad Labem, Viktoria Žižkov
20, David Zoubek, CZE, M, 1.85, 75, 03-02-74, , Bohemians Prague
21, Dimitri Tatanashvili, GEO, F, 1.86, 79, 19-10-83, Tbilisi, Viktoria Plzeň
22, Jaroslav Tesař, CZE, G, 1.90, 86, 25-05-86, Kladno, None
23, Vít Beneš, CZE, D, 1.85, 89, 12-08-88, Ústí nad Labem, None
24, Peter Mráz, SVK, D, 1.88, 86, 04-05-85, Nové Zámky, Zenit Čáslav
26, František Mašanský, CZE, F, 1.85, 84, 11-07-85, Duchcov, Ústí nad Labem
30, Roman Pavlík, CZE, G, 1.86, 82, 17-01-76, Prague, Bohemians Prague
32, Tomáš Mašanský, CZE, F, , , 18-11-88, , None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
9, Zeze Anderson, CIV, M, 1.68, 65, 16-07-89, Abidjan, Střešovice
5, Martin Samek, CZE, D, 1.80, 77, 23-06-87, Kladno, Králův Dvůr (On Loan)
13, Jan Broschinský, CZE, D, 1.82, 73, 01-09-85, Česká Lípa, Nitra
17, Jan Moravec, CZE, M, 1.75, 67, 13-07-87, Rohozná, Bohemians 1905
19, Lukáš Zoubele, CZE, M, 1.83, 82, 20-12-85, Ústí nad Labem, Teplice
18, David Hlava, CZE, M, 1.79, 74, 28-06-80, , Zenit Čáslav (On Loan)
20, Tomáš Dubský, CZE, M, 1.83, 78, 27-01-85, Prague, Slavoj Vyšehrad (On Loan)
25, Jaroslav Chalupa, CZE, D, 1.75, 75, 02-01-87, Prague, Sokol Ovčáry (On Loan)
