=  Brøndby - Danish Superliga 2023/2024

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Patrick Pentz, AUT, G, 1.82, 78, 02-01-97, Salzburg, Bayer Leverkusen
2, Sebastian Sebulonsen, NOR, D, 1.87, 78, 27-01-00, Sola, Viking
3, Henrik Heggheim, NOR, D, 1.86, 77, 22-04-01, Stavanger, Viking
4, Jacob Rasmussen, DEN, D, 1.90, 75, 28-05-97, Odense, Fiorentina
5, Rasmus Lauritsen, DEN, D, 1.87, 78, 27-02-96, Brande, Dinamo Zagreb
7, Nicolai Vallys, DEN, M, 1.89, 82, 04-09-96, Copenhagen, Silkeborg
8, Mathias Greve, DEN, M, 1.86, 75, 11-02-95, Langeskov, Randers
9, Ohi Omoijuanfo, NOR, F, 1.88, 75, 10-01-94, Oslo, Crvena Zvezda
10, Daniel Wass, DEN, M, 1.81, 74, 31-05-89, Gladsaxe, Atlético Madrid
11, Filip Bundgaard, DEN, F, 1.76, 62, 03-07-04, Randers, Randers
14, Kevin Mensah, DEN, M, 1.74, 66, 15-05-91, Viborg, Esbjerg
16, Thomas Mikkelsen, DEN, G, 1.90, 93, 27-08-83, -, Lyngby
18, Kevin Tshiembe, DEN, D, 1.85, 75, 31-03-97, Copenhagen, Lyngby
19, Bertram Kvist, DEN, M, 1.72, 68, 19-03-05, -, None
20, Mateusz Kowalczyk, POL, M, 1.81, 73, 16-04-04, Warsaw, ŁKS Łódź
22, Josip Radošević, CRO, M, 1.80, 73, 03-04-94, Split, Hajduk Split
23, Christian Cappis, USA, M, 1.85, 70, 13-08-99, Katy, Hobro
24, Marko Divković, CRO, D, 1.81, 72, 11-06-99, Vinkovci, DAC Dunajská Streda
28, Yuito Suzuki, JPN, F, 1.75, 66, 25-10-01, Kanagawa, Shimizu S-Pulse
30, Jordi Vanlerberghe, BEL, D, 1.89, 82, 27-06-96, Duffel, Mechelen
31, Sean Klaiber, NED, D, 1.84, 75, 31-07-94, Nieuwegein, FC Utrecht
32, Frederik Alves, DEN, D, 1.89, 78, 08-11-99, Hvidovre, West Ham U
36, Mathias Kvistgaarden, DEN, F, -, -, 15-04-02, Birkerød, Lyngby
40, Jonathan Ægidius, DEN, G, -, -, 22-04-02, -, Lyngby
41, Oscar Schwartau, DEN, F, -, -, 17-05-06, -, None
99, Emmanuel Yeboah, GHA, F, 1.88, 80, 25-02-03, Sunyani, CFR Cluj

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
39, Marinus Larsen, DEN, M, -, -, 30-12-03, -, Horsens
46, Justin Che, USA, D, 1.85, 75, 18-11-03, Richardson, ADO Den Haag (On Loan)
12, Carl Björk, SWE, F, 1.84, 74, 19-01-00, Umeå, IFK Norrköping (On Loan)
27, Simon Hedlund, SWE, F, 1.75, 68, 11-03-93, Trollhättan, IF Elfsborg
21, Rasmus Wikström, SWE, D, 1.86, 73, 18-03-01, Gothenburg, Mjällby AIF
6, Joe Bell, NZL, M, 1.82, 76, 27-04-99, Bristol, Viking
15, Blas Riveros, PAR, D, 1.78, 68, 03-02-98, Itauguá, Talleres (Córdoba)
11, Håkon Evjen, NOR, M, 1.73, 70, 14-02-00, Narvik, Bodø/Glimt
17, Yousef Salech, DEN, F, 1.95, 92, 17-01-02, Hellerup, IK Sirius
