=  Blackburn Rovers - English Premiership 1997/98

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Tim Flowers, G, 6'03", 14 04, 03-02-67, Kenilworth, Southampton
2, Callum Davidson, D, 5'10", 11 00, 26-06-76, Stirling, St Johnstone
3, Jeff Kenna, D, 5'11", 12 03, 27-08-70, Dublin, Southampton
4, Tim Sherwood, M, 6'01", 12 09, 02-02-69, St Albans, Norwich C
5, Colin Hendry, D, 6'01", 12 07, 07-12-65, Keith, Manchester C
6, Tore Pedersen, D, 6'00", 11 00, 29-09-69, Fredrikstad, St Pauli
7, Stuart Ripley, M, 5'11", 13 05, 20-11-67, Middlesbrough, Middlesbrough
8, Kevin Gallacher, F, 5'08", 11 03, 23-11-66, Clydebank, Coventry C
9, Chris Sutton, F, 6'03", 13 07, 10-03-73, Nottingham, Norwich C
10, Martin Dahlin, F, 6'01", 13 03, 16-04-68, Lund, Roma
11, Jason Wilcox, M, 6'00", 11 00, 15-07-71, Bolton, None
13, John Filan, G, 6'02", 14 04, 08-02-70, Sydney, Coventry C
14, Anders Andersson, M, 5'09", 11 09, 15-03-74, Tomelilla, Malmö FF
15, Garry Flitcroft, M, 6'00", 11 08, 06-11-72, Bolton, Manchester C
16, Per Pedersen, F, 5'11", 13 00, 30-03-69, Aalborg, Odense
17, Billy McKinlay, M, 5'08", 11 06, 22-04-69, Glasgow, Dundee U
20, Gary Croft, D, 5'08", 10 08, 17-02-74, Stafford, Grimsby T
22, Patrick Valery, D, 5'08", 13 04, 03-07-69, Brignoles, Monaco
24, Stephane Henchoz, D, 6'02", 12 08, 07-09-74, Billens, Hamburg
25, Damien Duff, M, 5'08", 09 07, 02-03-79, Ballyboden, Lourdes Celtic
26, Marlon Broomes, D, 6'01", 12 12, 28-11-77, Meriden, None
32, Anthony Williams, G, 6'01", 12 13, 20-09-77, Ogwr, None
33, Alan Fettis, G, 6'02", 13 00, 01-02-71, Newtonards, Nottingham F
34, James Beattie, F, 6'00", 13 03, 27-02-78, Lancaster, None
35, Damien Johnson, M, 5'10", 11 02, 18-11-78, Lisburn, None
36, Wayne Gill, M, 5'09", 11 00, 28-11-75, Chorley, None
37, Adam Reed, D, 6'02", 11 00, 18-02-75, Bishop Auckland, None
38, Gareth Stewart, G, 6'00", 12 08, 03-02-80, Preston, None

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
23, Graham Fenton, F, 5'10", 11 09, 22-05-74, Wallsend, Leicester C
31, Michael Watt, G, 6'01", 11 10, 27-11-70, Aberdeen, Aberdeen
18, Ian Pearce, D, 6'03", 14 04, 07-05-74, Bust St Edmunds, West Ham U
21, Giorgos Donis, M, 5'11", 12 00, 29-10-69, Frankfurt, AEK
19, Chris Coleman, D, 6'02", 14 06, 10-06-70, Swansea, Fulham
12, Lars Bohinen, M, 5'11", 12 02, 08-09-69, Vadso, Derby Co
