=  West Ham United - English Premiership 1998/99

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
3, Julian Dicks, D, 5'10", 13 00, 08-08-68, Bristol, Liverpool
4, Steve Potts, D, 5'07", 10 11, 07-05-67, Hartford [USA], None
6, Neil Ruddock, D, 6'02", 12 12, 09-05-68, South London, Liverpool
7, Marc Keller, M, 5'09", 12 03, 14-01-68, Colmar, Karlsruhe
8, Trevor Sinclair, M, 5'10", 12 05, 02-03-72, Dulwich, QPR
9, Paul Kitson, F, 5'11", 10 12, 09-01-71, Murton, Newcastle U
10, Paolo Di Canio, F, 5'10", 11 07, 09-07-68, Rome, Sheffield W
11, Steve Lomas, M, 6'00", 12 08, 18-01-74, Hanover, Manchester C
12, Shaka Hislop, G, 6'04", 14 04, 22-02-69, Hackney, Newcastle U
13, Marc-Vivien Foe, M, 6'02", 13 06, 01-05-75, Yaoundé, Lens
14, Ian Wright, F, 5'09", 11 08, 03-11-63, Woolwich, Arsenal
15, Rio Ferdinand, D, 6'02", 12 00, 07-11-78, Peckham, None
16, John Moncur, M, 5'07", 09 10, 22-09-66, Mile End, Swindon T
17, Stan Lazarides, M, 5'09", 12 00, 16-08-72, Perth, West Adelaide
18, Frank Lampard, M, 6'00", 11 12, 20-06-78, Romford, None
19, Ian Pearce, D, 6'03", 14 04, 07-05-74, Bury St Edmunds, Blackburn R
20, Scott Minto, D, 5'10", 12 04, 06-08-71, Cheshire, Benfica
21, Les Sealey, G, 6'01", 13 06, 29-09-57, Bethnal Green, Leyton Orient
22, Craig Forrest, G, 6'04", 14 04, 20-09-67, Vancouver, Ipswich T
23, Scott Mean, M, 5'11'', 13 08, 13-12-73, Crawley, Bournemouth
24, Samassi Abou, F, 6'01", 12 08, 04-04-73, Gagnoa, Cannes
25, Lee Hodges, M, 5'05", 10 02, 02-03-78, Newham, None
26, Joe Cole, M, 5'09", 11 00, 08-11-81, North London, None
27, Emmanuel Omoyinmi, M, 5'06", 10 07, 28-12-77, , None
28, Chris Coyne, D, 6'01", 13 10, 20-12-78, Brisbane, Perth SC
29, Eyal Berkovic, M, 5'07", 19 92, 02-04-72, Haifa, Southampton
30, Javier Margas, D, 6'01", 13 00, 10-05-69, Santiago, Universidad Católica
32, Craig Etherington, M, 6'00", 11 10, 16-09-79, Basildon, None
33, Lee Boylan, F, , , 02-09-78, Witham, None
34, Gary Alexander, F, 6'00", 12 00, 15-08-79, South London, None
39, Ezomo Iriekpen, D, 6'01", 12 02, 14-05-82, London, None
40, Gavin Holligan, F, 6'00", 13 00, 16-06-80, Lambeth, Kingstonian
41, Jimmy Bullard, M, 5'10", 11 07, 23-10-78, Newham, Gravesend & Northfleet

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
24, Andy Impey, M, 5'08", 11 06, 13-09-71, Hammersmith, Leicester C
1, Ludek Miklosko, G, 6'05", 14 00, 09-12-61, Protesov, QPR
10, John Hartson, F, 6'01", 14 06, 05-04-75, Swansea, Wimbledon
2, Tim Breacker, D, 5'11", 13 00, 02-07-65, Bicester, QPR
35, David Partridge, D, 6'00", 13 06, 26-11-78, Westminster, Dundee U
5, Richard Hall, D, 6'02", 13 11, 14-03-72, Ipswich, Retired
