=  Cheltenham Town - English Football League Division Three 1999/00

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Steve Book, G, 5'11", 11 01, 07-07-69, Bournemouth, Forest Green R
2, Michael Duff, D, 6'01", 11 08, 11-01-78, Belfast, None
3, Jamie Victory, D, 5'11", 12 02, 14-11-75, London, Kings Lynn
4, Chris Banks, D, 5'11", 12 02, 22-11-65, Stone, Bath C
5, Mark Freeman, D, 6'02", 13 08, 27-01-70, Walsall, Gloucester C
6, John Brough, D, 6'00", 12 11, 08-01-73, Heanor, Hereford U
7, Lee Howells, M, 5'11", 11 12, 14-10-68, Fremantle, Brisbane U
8, Bob Bloomer, M, 5'10", 12 07, 21-06-66, Sheffield, Bristol R
9, Neil Grayson, F, 5'10", 12 09, 01-11-64, York, Northampton T
10, Ian Stevens, F, 5'09", 12 04, 21-10-66, Malta, Wrexham
11, Anthony Griffin, M, 5'11", 11 02, 22-03-79, Bournemouth, Bournemouth
12, Shane Higgs, G, 6'02", 12 12, 13-05-77, Oxford, Worcester
14, Hugh McAuley, F, 5'10'', 11 06, 13-05-77, Plymouth, Leek T
15, Richard Walker, D, 5'10", 11 09, 09-11-71, Derby, Notts Co
16, Mark Yates, M, 5'11", 13 02, 24-01-70, Birmingham, Kidderminster H
17, Neil Howarth, D, 6'03", 13 07, 15-11-71, Bolton, Macclesfield T
18, Russell Milton, M, 5'08", 12 01, 12-01-69, Folkestone, Dover Ath
19, Michael Jackson, M, 5'07", 10 10, 26-06-80, Cheltenham, None
20, Gareth Hopkins, F, 6'02", 13 08, 14-06-80, Cheltenham, None
21, Stuart Mitchinson, F, 5'06'', 10 08, 15-10-80, Cheltenham, None
22, Steven Benbow, G, 5'10'', 10 07, 05-04-82, Cheltenham, None
23, Michael Devaney, F, 5'10", 11 12, 01-06-80, Cheltenham, Coventry C

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
24, Mark Jones, F, 5'10'', 12 07, 07-09-79, Walsall, Wolverhampton W
25, Nicky Marker, D, 6'00'', 13 09, 03-05-65, Exeter, Tiverton T
10, Dale Watkins, F, 5'08'', 11 12, 04-11-71, Peterborough, Kettering T
26, Jason Brissett, M, 5'10'', 12 07, 07-09-74, Redbridge, Walsall
10, Chris Freestone, F, 5'11'', 12 05, 04-09-71, Nottingham, Hartlepool U
