=  Wycombe Wanderers - English Football League Division Two 2000/01

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Martin Taylor, G, 5'11", 13 11, 09-12-66, Tamworth, Derby Co
2, Chris Marsh, D, 5'10", 13 04, 14-01-70, Dudley, Walsall
3, Chris Vinnicombe, D, 5'08", 10 12, 20-10-70, Exeter, Burnley
4, Jason Cousins, D, 5'10", 12 07, 04-10-70, Hayes, Brentford
5, Paul McCarthy, D, 5'10", 13 10, 04-08-71, Cork, Brighton & HA
6, Jamie Bates, D, 5'11", 14 06, 24-02-68, Croydon, Brentford
7, Dave Carroll, M, 6'00", 11 12, 20-09-66, Paisley, Ruislip Manor
8, Keith Ryan, M, 5'11", 12 06, 25-06-70, Northampton, Berkhamstead T
9, Andrew Baird, F, 5'08", 11 13, 18-01-79, East Kilbride, None
10, Sean Devine, F, 5'11", 13 00, 09-09-72, Lewisham, Barnet
11, Paul Emblen, M, 5'11", 12 12, 03-04-76, Bromley, Charlton Ath
12, Peter Holsgrove, M, , , 16-04-82, Wendover, None
14, Maurice Harkin, M, 5'09", 11 05, 16-08-79, Derry, None
15, Jermaine McSporran, F, 5'07", 10 12, 01-01-77, Manchester, Oxford C
16, Andy Rammell, F, 6'01", 14 00, 10-02-67, Nuneaton, Walsall
17, Mark Rogers, D, 6'01", 12 12, 03-11-78, Geulph, Canada
18, Ben Townsend, D, 5'10'', 11 03, 08-10-81, Reading, None
19, Stewart Castledine, M, 6'01", 12 00, 22-01-73, Wandsworth, Wimbledon
20, George Clegg, F, 5'10", 11 11, 16-11-80, Manchester, Manchester U
21, Alan Beeton, D, 5'11", 11 13, 04-10-78, Watford, None
22, Dannie Bullman, M, 5'09", 11 12, 24-01-79, Ashford, Ashford T
23, Ian Simpemba, M, 6'02", 12 08, 28-03-83, Dublin, None
24, Guy Whittingham, F, 5'08", 12 02, 10-11-64, Evesham, Portsmouth
25, Martyn Lee, M, 5'07", 09 00, 10-08-80, Guilford, None
26, Mark Osborn, G, 6'00", 14 01, 19-06-81, Bletchley, None
27, Leeyon Phelan, F, 5'11", 12 06, 06-10-82, Hammersmith, None
28, Michael Simpson, M, 5'06", 11 07, 28-07-74, Nottingham, Notts Co
29, Danny Senda, F, 5'09", 10 02, 17-04-81, Harrow, None
30, Steve Brown, M, 5'11", 11 12, 06-07-77, Northampton, Northampton T
32, John Nutter, D, , , 13-06-82, Taplow, Blackburn R
33, Matthew Brady, F, 6'00", 10 04, 27-10-77, Barnet, Boreham Wood
34, Roger Johnson, D, 6'03", 11 00, 28-04-83, Ashford, None
35, Mark Westhead, G, 6'02", 14 05, 19-07-75, Blackpool, Telford U
36, Roy Essandoh, F, 6'00", 12 03, 17-02-76, Belfast, Rushden & Diamonds

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
20, Steve Jones, F, 5'11", 12 00, 17-03-70, Cambridge, Bristol C
20, Niall Thompson, F, 5'11", 11 00, 16-04-74, Birmingham, 
24, Sam Parkin, F, 6'02", 13 00, 14-03-81, Roehampton, Chelsea
2, Gerard Lavin, D, 5'10", 11 00, 05-02-74, Corby, Bristol C
