=  Macclesfield Town - English Football League Division Three 2002/03

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Lee Martin, G, 6'00", 13 00, 09-09-68, Huddersfield, Halifax T
2, Steve Hitchen, D, 5'08", 11 07, 28-11-76, Salford, Blackburn R
3, Danny Adams, D, 5'08'', 13 08, 03-01-76, Manchester, Altincham
5, Darren Tinson, D, 6'00", 14 04, 15-11-69, Birmingham, Northwich V
6, Ben Abbey, F, 5'07'', 11 00, 13-05-78, London, Woking
7, Kyle Lightbourne, F, 6'02", 12 00, 29-09-68, Bermuda, Stoke C
8, Chris Priest, M, 5'10", 10 10, 18-10-73, Leigh, Chester C
9, Matthew Tipton, F, 5'10", 11 02, 29-06-80, Bridgend, Oldham Ath
10, Matt Haddrell, D, 6'02", 14 00, 19-03-81, Staffordshire, Vauxhall Motors
11, Lee Hardy, M, 6'00'', 12 00, 26-11-71, Blackpool, Oldham Ath
12, Danny Whittaker, M, 5'10'', 11 00, 14-11-80, Manchester, None
13, Steve Wilson, G, 5'10", 10 12, 24-04-74, Hull, Hull C
14, John Askey, F, 6'00", 12 02, 04-11-64, Stoke, Port Vale
15, Michael Welsh, D, 6'03'', 11 12, 11-01-82, Crewe, Barnsley
16, George Abbey, D, 5'08", 10 08, 20-10-78, Port Harcourt, Sharks
17, Paul O'Neill, D, 5'11", 11 02, 17-06-82, Bolton, None
18, Steve Macauley, D, 6'01", 12 03, 04-03-69, Lytham, Rochdale
19, Neil Robinson, F, 5'10", 13 07, 18-11-79, Liverpool, Prescot Cables
20, Paul Aldridge, F, 5'11", 11 07, 02-12-81, Liverpool, Tranmere R
21, Karl Munroe, M, 6'00", 10 08, 23-09-79, Manchester, Swansea C
22, Matt Woolley, M, 5'10'', 11 02, 22-02-82, Manchester, None
23, David Eaton, F, 6'02'', , 30-09-81, Liverpool, Everton
24, Martin Nash, M, 5'10'', 11 11, 27-12-75, Vancouver, Rochester R Rhinos
25, Neil Ross, F, 6'01", 12 02, 10-08-82, West Bromwich, Stockport Co
26, Darren Dunning, M, 5'06", 11 12, 08-01-81, Scarborough, Blackburn R
27, Michael Carr, D, 5'08", 10 07, 06-12-83, Crewe, None
28, Richard Bayliss, F, , , , , None
29, Philip Drummond, D, , , , , None
30, Colin Little, M, 5'10", 11 00, 04-11-72, Wythenshaw, Crewe Alex
31, Matt Higgins, G, 6'03", 12 06, 17-10-84, , None
32, David Smith, M, 5'10'', 12 11, 26-12-70, Liverpool, Drogheda U
33, Steven Brackenridge, M, 5'10", 10 08, 31-07-84, Rochdale, None
34, Jordan Goodeve, M, , , 09-12-84, , None
35, John Campbell, F, , , , , None
36, John Miles, F, 5'10'', 10 08, 28-09-81, Fazackerley, Crewe Alex

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
10, Lee Glover, F, 5'11", 11 09, 24-04-70, Kettering, Mansfield T
18, Shaun Came, D, 6'03'', 13 00, 15-06-83, Crewe, Northwich V
39, Andy Welsh, M, 5'08", 09 06, 24-11-83, Manchester, Stockport Co
25, Marvin McDonald, F, 5'08", 10 10, 24-08-86, Wythenshawe, De-Registered
26, Steve Owens, F, , , , , De-Registered
10, Colin Little, M, 5'10", 11 00, 04-11-72, Wythenshawe, Crewe Alex
32, Paul Swann, D, , , 19-08-85, , 
30, Andrew Teague, D, 6'02", 12 00, 05-02-86, Preston, De-Registered
36, Tim Deasy, G, 6'00", 12 06, 01-10-85, Salford, De-Registered
6, Dave Ridler, D, 6'00", 12 02, 12-03-76, Liverpool, Scarborough
4, Chris Byrne, M, 5'09", 10 02, 09-02-75, Hulme, 
