=  Shrewsbury Town - English Football League Division Three 2002/03

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Ian Dunbavin, G, 6'01", 10 10, 27-05-80, Knowsley, Liverpool
2, Darren Moss, D, 5'10'', 11 00, 24-05-81, Wrexham, Chester C
3, Andy Thompson, D, 5'05", 10 06, 09-11-67, Cannock, Cardiff C
4, Jamie Tolley, M, 6'01", 11 13, 12-05-83, Ludlow, None
5, Matthew Redmile, D, 6'04", 14 10, 12-11-76, Nottingham, Notts Co
6, Karl Murray, M, 5'11", 12 06, 26-08-82, London, None
7, Steve Jagielka, M, 5'08", 11 03, 10-03-78, Manchester, Stoke C
8, Mark Atkins, M, 6'00", 13 02, 14-09-68, Doncaster, Hull C
9, Luke Rodgers, F, 5'06", 10 05, 01-01-82, Birmingham, None
10, Nigel Jemson, F, 5'10", 11 10, 10-08-69, Hutton, Oxford U
11, Sam Aiston, M, 6'00", 12 01, 21-11-76, Newcastle, Sunderland
12, Peter Wilding, D, 6'01", 12 09, 28-11-68, Shrewsbury, Telford U
14, Leon Drysdale, D, 5'09", 10 12, 03-02-81, Walsall, None
15, Jason Van Blerk, D, 6'01", 13 00, 16-03-68, Sydney, Hull C
16, Ian Stevens, F, 5'10", 12 07, 21-10-69, Malta, Carlisle U
17, Ryan Lowe, F, 5'11'', 11 05, 18-09-78, Liverpool, Burscough
18, Chris Murphy, M, 5'06", 09 07, 08-03-83, Leamington Spa, None
19, Neville Thompson, F, 6'00'', 12 12, 02-03-85, Stoke-on-Trent, None
20, Ian Woan, M, 5'10", 12 07, 14-12-67, Wirral, Columbus Crew
22, Andy Holt, D, 6'01", 11 02, 21-05-78, Manchester, Hull C
23, Scott Partridge, F, 5'09", 11 02, 13-10-74, Leicester, Rushden & Diamonds
26, Glenn Tolley, M, 5'08'', 10 00, 24-09-83, Knighton, None
28, Ross Stephens, M, 5'10", 10 09, 28-05-85, Caersws, None
29, Chris Packer, M, 5'09'', 10 10, 02-03-85, Birmingham, None
30, David Artell, D, 6'02'', 13 00, 22-11-80, Rotherham, Rotherham U
32, Joe Hart, G, 6'03'', 12 09, 19-04-87, Shrewsbury, None
33, Mark Cartwright, G, 6'02'', 13 00, 13-01-73, Chester, Lindsey Wilson College
34, Dave Edwards, M, 5'11'', 11 00, 03-02-86, Pontesbury, None
35, Robin Hulbert, M, 5'09", 10 05, 14-03-80, Plymouth, Bristol C
36, Steve Watts, F, 6'01", 13 00, 11-07-76, Lambeth, Leyton Orient

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
19, Mark Corbett, F, , , 19-04-83, Wolverhampton, Retired
23, Mick Heathcote, D, 6'02", 12 08, 10-09-65, Durham, Retired
29, Alex Mortimer, D, 5'10'', 10 06, 28-11-82, Manchester, Stafford Rangers
22, Lee Kendall, G, 5'10", 11 05, 08-01-81, Newport, Haverfordwest Co
27, Richard Harris, M, , , 14-09-84, Oswestry, 
27, Stewart Talbot, M, 5'11", 13 07, 14-06-73, Birmingham, Rotherham U
19, Fredrik Bryngelsson, D, 6'02'', 11 13, 10-04-75, Sweden, Raufoss
31, Alex Smith, M, 5'09", 09 09, 15-02-76, Liverpool, Reading
21, Neal McCann, M, , , 06-08-84, Birkenhead, Welshpool T
24, Nick Evans, D, 5'08", 12 01, 12-06-84, Newport, 
25, Chris Courtney, M, 5'08", 10 00, 14-05-84, Hereford, Welshpool T
