=  Port Vale - English Football League Division Two 2003/04

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Mark Goodlad, G, 6'00", 13 02, 09-09-80, Barnsley, Nottingham F
2, George Pilkington, D, 5'11'', 11 00, 07-11-81, Rugeley, Everton
3, Ian Brightwell, D, 5'10", 12 05, 09-04-68, Lutterworth, Stoke C
4, Andreas Lipa, M, 6'01'', 12 04, 26-04-71, Vienna, Xanthi
5, Michael Walsh, D, 6'00", 12 08, 05-08-77, Rotherham, Scunthorpe U
6, Sam Collins, D, 6'02", 14 04, 05-06-77, Pontefract, Bury
7, Neil Brisco, M, 6'00", 11 05, 26-01-78, Billinge, Manchester C
8, Michael Cummins, M, 6'00", 12 08, 01-06-78, Dublin, Middlesbrough
9, Stephen Brooker, F, 5'10", 12 04, 21-05-81, Newport Pagnal, Watford
10, Stephen McPhee, M, 5'07", 10 08, 05-06-81, Glasgow, Coventry C
11, Marc Bridge-Wilkinson, M, 5'06", 10 08, 16-03-79, Nuneaton, Derby Co
12, Dean Delaney, G, 6'00", 13 02, 15-09-80, Dublin, Everton
13, Levi Reid, M, 5'05'', 11 04, 19-01-83, Stafford, None
15, Ian Armstrong, F, 5'07", 10 02, 16-11-81, Fazackerley, Liverpool
16, Steve Rowland, D, 5'10", 12 04, 02-11-81, Wrexham, None
17, Chris Birchall, M, 5'09'', 12 12, 05-05-84, Liverpool, None
18, Billy Paynter, F, 6'00", 12 05, 13-07-84, Liverpool, None
19, Simon Eldershaw, F, 5'10'', 10 11, 03-12-83, Stoke-on-Trent, None
20, Adrian Littlejohn, M, 5'10'', 11 00, 26-09-71, Wolverhampton, Sheffield U
21, Liam Burns, D, 6'00", 13 03, 30-10-78, Belfast, None
22, Ryan Brown, M, 5'10", 11 02, 15-03-85, Stoke-on-Trent, None
23, Joe Molloy, G, 6'01", 11 08, , , None
24, Jonny Brain, G, 6'04", 14 06, 11-02-83, Carlisle, Newcastle U
25, Craig James, D, 6'00", 11 08, 15-11-82, Middlesbrough, Sunderland

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
14, Mark Boyd, M, 5'10", 12 04, 22-10-81, Carlisle, Carlisle U
