=  Leigh R.M.I. - English Football Conference National 2004/05

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Jon Worsnop, G, 6'00", 10 09, 13-01-83, Bradford, Droylsden
2, Chris Lane, D, 6'00'', 12 10, 24-05-79, Liverpool, Chester C
3, Richard Smith, M, , , , , Trafford
4, Gareth Stoker, M, 5'09'', 10 03, 22-02-73, Bishop Auckland, Forest Green R
5, Nick Allen, F, , , , , 
6, Adam Girdlestone, M, , , , , Trafford
7, Craig Smith, M, 5'08", 10 10, 08-06-84, Bradford, Bradford PA
8, Michael Simpkins, D, 6'01'', 11 13, 28-11-78, Sheffield, Burton Alb
9, Ben Jones, F, 5'07", 11 00, 02-10-82, Bradford, Bradford PA
10, Lee Mulvaney, F, , , 08-10-82, Ormskirk, Southport
11, Warren Peyton, M, 5'09'', 11 03, 13-12-79, Manchester, Doncaster R
12, Steve Smith, M, 5'11", 11 00, 09-06-84, Manchester, Rochdale
14, Chris Simm, F, 6'00", 12 08, 10-04-84, Wigan, Congleton T
15, Andy Roscoe, M, 5'09'', 10 12, 04-06-73, Liverpool, Halifax T
17, Graham Tench, M, , , , , Trafford
18, Neil Gibson, M, 5'11", 11 08, 10-10-79, St Asaph, Prestatyn T
19, Ben Ashmole, M, , , , , Trafford
20, Leam Coyne, D, , , , , Trafford
22, Daniel Morton, G, , , , , None
23, Ryan Clarke, D, 5'11", 12 04, 22-01-84, Sutton Coldfield, Boston U
24, Milton Turner, D, 6'00", 12 00, 05-05-86, Trafford, Bury
25, Lee Shillito, F, 5'11", 11 00, 06-10-83, Bolton, Abbey Hey
26, Gary Williams, F, , , 19-07-79, Burnley, Stalybridge Celtic
27, Dave Ridler, D, 6'00", 12 02, 12-03-76, Liverpool, Shrewsbury T
28, Liam Murray, D, 6'03", 11 00, 01-08-85, Stafford, Shrewsbury T
29, Mark Drew, M, 6'01", 11 10, 16-12-83, Bolton, Trafford
30, James Mann, G, , , , Silsden, Rochdale
31, Will Ryder, M, , , , , 
32, Ian Taylor, D, , , , , Trafford

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
15, Neil Smith, F, , , , , Chorley
16, Carl Adams, M, , , 13-03-74, Birmingham, Nuneaton Boro
21, Gary Kelly, G, 5'11'', 12 08, 03-08-66, Fulwood, Retired Injured
25, Greg Rioch, D, 5'10'', 12 08, 24-06-75, Sutton Coldfield, Køge BK
3, Martin Moran, D, , , , Blackpool, 
23, Ian Fitzpatrick, F, 5'09'', 10 00, 22-09-80, Manchester, Northwich V
27, Paul McGuire, D, , , 17-11-79, Manchester, Radcliffe Boro
13, Michael Byrne, F, 5'10", 11 06, 14-05-85, Ashton-under-Lyne, Stockport Co
7, Alex Meechan, F, 5'08'', 10 10, 29-01-80, Plymouth, Halifax T
28, Chris Robertson, M, 6'03", 11 08, 11-10-86, Dundee, Sheffield U
3, Graham Hockless, M, 5'07'', 10 02, 20-10-82, Hull, Grimsby T
23, Steve Burton, F, 6'01'', 12 11, 09-10-83, Doncaster, Scarborough
30, Paul Crichton, G, 6'01", 13 08, 03-10-68, Pontefract, Accrington Stanley
6, Craig Gaunt, D, , , 31-03-73, Nottingham, Ilkeston T
16, Phil Starbuck, F, 5'11", 12 04, 24-11-68, Nottingham, Arnold T
5, Barry Miller, D, 6'00'', 11 07, 29-03-76, Ealing, Burton Alb
27, Lee Connell, D, 6'00", 12 00, 24-06-81, Bury, 
1, Ian Martin, G, , , 22-10-80, Perth [AUS], 
8, Gareth Holmes, M, 5'07", 12 04, 01-10-82, Mansfield, Ilkeston T
24, Chris McGrath, D, 6'00", 14 07, 19-12-84, Manchester, Chorley
18, Ricky Howarth, M, 5'09", 11 08, 10-04-85, Johannesburg, 
3, Carl Rezai, D, 5'09", 11 00, 16-10-82, Manchester, 
21, Michael Soszynski, G, , , , , 
28, Michael Warwick, M, 5'09", 09 06, 21-02-86, , 
8, Daniel Douglas-Pringle, F, 5'10", 11 00, 08-12-84, Manchester, Woodley Sports
9, Karl Rose, F, 5'08'', 10 08, 12-10-78, Barnsley, Tamworth
18, Lee Hoolickin, D, , , 30-10-82, Carlisle, Penrith
27, Ashley Scothern, F, 6'00", 11 00, 11-09-84, Pontefract, 
6, Phil Doughty, M, 6'02", 13 02, 06-09-86, Blackpool, Blackpool
31, Ben Nayim, M, , , , , 
7, Michael Reed, F, , , 04-05-85, Carlisle, Workington
10, Craig Mitchell, F, 6'01", 12 02, 06-05-85, Mansfield, Sutton T
10, Clark Walsh, F, , , 13-09-85, Blackburn, Clitheroe
8, Mark Peers, M, , , 14-05-84, St Helens, Southport
5, Chris Clarke, D, 6'03", 12 02, 18-12-80, Leeds, Halifax T
28, Michael Farrer, F, , , , , 
27, Danny Byrne, M, 5'08", , 17-03-83, Liverpool, Witton Alb
7, Kevin Sanasy, F, 5'08", 10 02, 02-11-84, Leeds, Bradford C
9, Colin Marrison, F, 6'01", 12 05, 23-09-85, Sheffield, Sheffield U
