=  Oxford United - English Football League Two 2004/05

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Chris Tardif, G, 5'11", 12 07, 20-06-81, Guernsey, Portsmouth
2, David Mackay, D, 5'11", 12 01, 02-05-81, Rutherglen, Dundee
3, Matt Robinson, D, 5'11", 11 04, 23-12-74, Exeter, Reading
4, Leo Roget, D, 6'01", 12 02, 01-08-77, Ilford, Rushden & Diamonds
5, Jon Ashton, M, 6'02'', 13 05, 04-10-82, Nuneaton, Leicester C
6, David Woozley, D, 6'00", 12 10, 06-12-79, Ascot, Torquay U
7, Chris Hackett, M, 6'00", 11 06, 01-03-83, Oxford, None
8, Tommy Mooney, F, 5'11'', 13 10, 11-08-71, Teesside North, Swindon T
9, Steve Basham, F, 5'11", 12 04, 02-12-77, Southampton, Preston NE
10, Lee Bradbury, F, 6'02", 13 10, 03-07-75, Oswestry (IoW), Walsall
12, Paul Wanless, M, 6'01", 13 11, 14-12-73, Banbury, Cambridge U
14, Robert Wolleaston, M, 5'11'', 11 07, 21-12-79, Perivale, Bradford C
15, Mateo Corbo, D, 5'11", 12 12, 21-04-76, Montevideo, Olimpia
16, Simon Cox, G, 5'11'', 11 00, 24-03-84, Clapham, None
17, Barry Quinn, M, 6'00", 12 02, 09-05-79, Dublin, Coventry C
18, Terry Parker, D, 5'09", 11 11, 20-12-83, Southampton, Portsmouth
19, Danny Brown, M, 6'00'', 12 06, 12-09-80, Bethnal Green, Barnet
20, Jamie Brooks, M, 5'09", 11 02, 12-08-80, Oxford, None
21, Mark E'Beyer, M, 5'11", 11 05, 21-09-84, Stevenage, Wimbledon
22, Danny Morgan, F, 6'00", 14 00, 04-11-84, Stepney, Wimbledon
23, Bradie Clarke, G, 6'02", 13 10, 26-05-86, Cambridge, Reading
24, Juan Pablo Raponi, M, 5'11", 11 03, 07-05-80, Santa Fe, River Plate
25, Lee Molyneaux, D, 6'00", 11 05, 16-01-83, Portsmouth, Weymouth
26, Alan Judge, G, 5'11'', 11 06, 15-05-60, Kingsbury, Swindon T
27, Tom Winters, M, 5'09", 10 10, 11-12-85, Banbury, None
28, Paul Burton, M, 6'00", 11 12, 30-11-85, London, Peterborough U
29, Billy Beechers, F, 5'09", 11 10, 01-06-87, Oxford, None
30, Craig Davies, F, 6'02", 13 05, 09-01-86, Burton-on-Trent, Manchester C
33, Lucas Cominelli, M, 6'01", 12 06, 25-12-76, Buenos Aires, Pehang
35, Amine Karam, M, 5'07", 10 08, 03-01-84, Besançon, Besançon

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
23, Adam Garner, D, 6'02", 12 00, 22-07-84, Oxford, Gravesend & Northfleet
26, Jefferson Louis, F, 6'02", 13 00, 22-02-79, Harrow, Forest Green R
15, Julian Alsop, F, 6'04", 14 03, 28-05-73, Nuneaton, Northampton T
23, Richard Tweed, D, , , , Loudwater, 
29, Jamie Hand, M, 6'00'', 11 08, 07-02-84, Uxbridge, Watford
15, Sam Togwell, D, 6'00", 12 03, 14-10-84, Maidenhead, Crystal Palace
24, Michael Alexis, M, 6'01", 12 02, 02-01-85, Oxford, Forest Green R
24, Ebeli M'Bombo 'Doudou', F, 5'05'', 09 11, 11-09-80, Kinshasa, 
11, Mark Rawle, M, 5'11'', 12 04, 27-04-79, Leicester, Kidderminster H
34, Emiliano Diaz, M, 5'07", 10 02, 22-06-83, Naples, 
