=  Gillingham - English Football League One 2006/07

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Kelvin Jack, G, 6'03", 16 00, 29-04-76, Trincity, Dundee
2, Duncan Jupp, D, 6'00", 12 11, 25-01-75, Guildford, Southend U
3, Danny Jackman, D, 5'04", 09 11, 03-01-83, Worcester, Stockport Co
4, Mike Flynn, M, 5'10", 12 10, 17-10-80, Newport, Wigan Ath
5, Brent Sancho, D, 6'01", 12 11, 13-03-77, Port of Spain, Dundee
6, Ian Cox, D, 6'00", 12 00, 25-03-71, Croydon, Burnley
7, Andrew Crofts, M, 5'09", 10 02, 20-05-84, Chatham, None
8, Mark Bentley, M, 6'02", 13 00, 07-01-78, Hertford, Southend U
9, Gary Mulligan, F, 6'01", 12 03, 23-04-85, Dublin, Sheffield U
10, Dean McDonald, F, 5'07", 10 12, 19-02-86, Lambeth, Ipswich T
11, Nicky Southall, M, 5'10", 12 12, 28-01-72, Middlesbrough, Nottingham F
12, Clint Easton, D, 5'11", 10 04, 01-10-77, Barking, Wycombe W
14, Leon Johnson, M, 6'00'', 12 00, 10-05-81, London, Southend U
15, Luke Howell, D, 5'10", 10 05, 05-01-87, Cuckfield, None
16, Sean Clohessy, D, 5'11", 12 07, 12-12-86, Croydon, Arsenal
17, Andy Pugh, F, 5'09", 12 05, 28-01-89, Gravesend, None
18, Craig Stone, M, 6'00", 10 05, 29-12-88, Gravesend, None
19, Frannie Collin, F, 5'11", 11 11, 20-04-87, Chatham, None
20, Ben Chorley, D, 6'03'', 13 02, 30-09-82, Sidcup, MK Dons
21, Matthew Jarvis, M, 5'08", 11 00, 22-05-86, Middlesbrough, None
22, Danny Spiller, M, 5'08", 10 07, 10-10-81, Maidstone, None
24, Guylain Ndumbu-Nsungu, F, 6'00", 12 04, 26-12-82, Kinshasa, Cardiff C
26, Dale Tonge, M, 5'10'', 10 06, 07-05-85, Doncaster, Barnsley
27, Luis Cumbers, F, 6'00", 11 10, 06-09-88, Chelmsford, None
35, Simon Royce, G, 6'02", 12 10, 09-09-71, Forest Green, QPR

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
17, Darren Randolph, G, 6'01", 12 03, 12-05-87, Dublin, Charlton Ath
13, Scott Flinders, G, 6'04", 14 00, 12-06-86, Rotherham, Crystal Palace
13, Dean Brill, G, 6'02", 12 04, 10-02-85, Luton, Luton T
25, Alan Pouton, M, 6'00", 12 02, 01-02-77, Newcastle, Retired
17, Bas Savage, F, 6'03", 13 08, 07-01-82, London, Brighton & HA
13, Romain Larrieu, G, 6'04", 14 00, 31-08-76, Mont-de-Marsan, Plymouth Arg
23, Felix Bastians, M, 6'02", 12 00, 09-05-88, Bochum, Nottingham F
