=  Huddersfield Town - English Football League One 2006/07

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Paul Rachubka, G, 6'01", 13 05, 21-05-81, San Luis Opispo, Charlton Ath
2, Andrew Holdsworth, D, 5'09", 11 02, 29-01-84, Pontefract, None
4, Mark Hudson, M, 5'10", 11 03, 24-10-80, Bishop Auckland, Chesterfield
5, David Mirfin, D, 6'02", 14 05, 18-04-85, Sheffield, None
6, Nathan Clarke, D, 6'02", 12 00, 30-11-83, Halifax, None
7, Chris Brandon, M, 5'07", 10 00, 07-04-76, Bradford, Chesterfield
8, Jonathan Worthington, M, 5'09", 11 04, 16-04-83, Dewsbury, None
10, Gary Taylor-Fletcher, F, 5'10", 11 07, 04-06-81, Widnes, Lincoln C
11, Danny Schofield, F, 5'10", 11 02, 10-04-80, Doncaster, Brodsworth
12, Adnan Ahmed, M, 5'10", 11 12, 07-06-84, Burnley, None
13, Frank Sinclair, D, 5'10", 12 07, 03-12-71, Lambeth, Burnley
14, Tom Clarke, D, 5'11", 12 02, 21-12-87, Halifax, None
15, John McAliskey, F, 6'03", 12 00, 02-09-84, Huddersfield, None
16, Martin McIntosh, D, 6'03", 12 05, 19-03-71, East Kilbride, Rotherham U
17, John McCombe, D, 6'02'', 12 10, 07-05-85, Pontefract, None
18, Luke Beckett, F, 5'11", 11 06, 25-11-76, Sheffield, Sheffield U
19, Michael Collins, M, 6'00", 10 12, 30-04-86, Halifax, None
20, Danny Racchi, D, 5'08", 10 04, 22-11-87, Halifax, None
21, Aaron Hardy, D, 5'08", 11 04, 26-05-86, Pontefract, None
22, Matthew Young, M, 5'09", 11 03, 25-10-85, Leeds, None
23, Andy Booth, F, 6'01", 13 00, 06-12-73, Huddersfield, Sheffield W
24, Adam Wilson, D, 6'00", 12 01, 13-07-88, Reading [USA], None
25, James Berrett, M, 5'10", 10 13, 13-01-89, Halifax, None
26, Simon Eastwood, G, 6'02", 13 00, 26-06-89, Luton, None
27, Matthew Glennon, G, 6'02", 13 11, 08-10-78, Stockport, St Johnstone
30, James Hand, M, 5'09", 12 06, 22-10-86, Drogheda, None
31, Joe Skarz, D, 5'10", 13 00, 13-07-89, Huddersfield, None
32, Lucas Akins, F, 5'10", 11 07, 25-02-89, Huddersfield, None
33, Mitchell Bailey, M, 5'08", 12 01, 31-12-88, Manchester, None
34, Alex Hallam, M, 5'09", 11 00, 08-11-89, Huddersfield, None
35, Alex Smithies, G, 6'01", 10 01, 25-03-90, Huddersfield, None
36, Luke Malcher, F, 5'07", 10 01, 14-11-88, Halifax, None

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
9, Pawel Abbott, F, 5'07", 11 07, 05-05-82, York, Swansea C
3, Danny Adams, D, 5'08'', 13 08, 03-01-76, Manchester, Morecambe
9, Paul Hayes, F, 6'00", 12 02, 20-09-83, Dagenham, Barnsley
3, Andy Taylor, D, 5'11", 11 07, 14-03-86, Blackburn, Blackburn R
