=  Histon - English Football Conference Premier 2007/08

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Lance Key, G, 6'03", 14 13, 13-05-68, Kettering, Kingstonian
2, Matthew Haniver, D, 5'08", , 23-09-81, Cambridge, Cambridge U
3, Erkan Okay, D, 5'08", , 29-01-85, , Ipswich T
4, Mat Mitchel-King, D, 6'04", , 12-09-83, , Mildenhall T
5, Matthew Langston, D, 6'02", 12 04, 02-04-81, Brighton, Cambridge C
6, Adrian Cambridge, M, 5'11", , 11-07-74, Cambridge, Cambridge C
7, John Kennedy, M, 5'08", 10 07, 19-08-78, Cambridge, Canvey Island
8, Neil Andrews, M, 5'11", , 24-04-79, , Cambridge C
9, Neil Kennedy, F, 6'00", , 03-09-71, , Newmarket T
10, Antonio Murray, M, 5'08", 11 00, 15-09-84, Cambridge, Hibernian
11, Jamie Barker, M, 6'01", , 26-10-79, Cambridge, None
15, Roscoe Hipperson, D, 6'02", , 12-08-75, , Spalding U
17, Robbie Nightingale, M, 5'11", , 17-10-80, Cambridge, Bognor Regis T
18, Nat Knight-Percival, M, 6'00", , 31-03-87, , None
19, Chris Dillon, F, 6'00", , 13-01-84, Middlesbrough, Hitchin T
21, Danny Naisbitt, G, 6'01", 11 12, 21-11-78, Bishop Auckland, Cambridge C
22, Matt Cowell, G, 6'02", , 26-01-85, , None
23, Daniel Wright, F, 6'02", , 10-09-84, , Dereham T
24, Craig Pope, D, 5'11", 10 12, 17-09-82, Islington, Cambridge C
25, Gareth Gwillim, D, 6'00", , 09-02-83, Farnborough, Bishop's Stortford
26, Mark Webster, M, 6'02", , 09-08-87, , None
27, Adam Dalby, M, 5'11", , 10-02-90, , None
28, Gavin Gordon, F, 6'01", 12 00, 24-06-79, Manchester, Crawley T
29, Matty Bannister, M, 6'00", , 16-06-90, , None
30, Patrick Ada, D, 6'00", , 14-01-85, , Exeter C
31, Luke Upcott, D, 6'02", , 22-04-89, , None
32, Russell Short, D, 5'09", 10 12, 25-04-89, Huntingdon, Ipswich T
33, Jack Midson, F, , , 21-07-83, Stevenage, Bishop's Stortford

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
16, Mark Coulson, D, 5'08", 10 03, 11-02-86, Huntingdon, Hemel Hempstead T
14, Cliff Akurang, F, 6'02", 12 03, 27-02-81, , Barnet
20, Mark Osborn, G, 6'00", 14 01, 19-06-81, Bletchley, Halesowen T
12, Dean Bradshaw, M, 5'10", , 24-11-84, , Boreham Wood
