=  Stafford Rangers - English Football Conference Premier 2007/08

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Danny Alcock, G, 5'11", 11 03, 15-02-84, Newcastle-under-Lyme, Accrington Stanley
2, Ritchie Sutton, D, 6'00", 11 05, 29-04-86, Stoke-on-Trent, Crewe Alex
3, Nathan Talbott, D, 6'01", 13 00, 21-10-84, Wolverhampton, Yeovil T
5, Wayne Daniel, D, , , 12-12-76, Birmingham, Boldmere St Michaels
6, Djoumin Sangare, D, , , 16-12-83, Dunkerque, Grays Ath
7, Christopher Flynn, M, 5'11", 12 04, 05-11-87, Market Drayton, Crewe Alex
8, Kevin Street, M, 5'10", 11 00, 25-11-77, Crewe, Shrewsbury T
9, Neil Grayson, F, 5'10", 12 09, 01-11-64, York, Forest Green R
10, David McNiven, F, 5'10'', 12 00, 27-05-78, Leeds, Morecambe
11, Dolapo Olaoye, F, , , 17-10-82, Lagos, Michigan Bucks
15, Nathan Smith, F, , , 26-03-85, Birmingham, Rushall Olympic
17, Ross Draper, M, , , 20-10-88, Wolverhampton, Shrewsbury T
18, Alan Dodd, D, , , 16-06-80, Newcastle-under-Lyme, Leek CSOB
19, Sébastien Arnolin, M, 6'03", 14 00, 13-02-88, Epinay-sur-Seine, Châteauroux
20, Marco Adaggio, F, 5'08", 12 04, 06-10-87, Málaga, Bangor C
21, Jemiah Richards, D, , , 10-05-86, Birmingham, None
22, Samy Mawéné, M, 6'00", 12 08, 12-11-84, Caen, Millwall
24, Stephen Hopkinson, M, , , 11-01-86, Swindon, None
30, Ishmale Reid, M, , , 13-05-86, Stafford, Rocester
33, Danny Allen, G, , , 13-09-90, Stafford, None
35, Damien Jarrett, D, , , 27-11-86, Birmingham, Tamworth
38, Alex Gibson, D, 5'09", 10 03, 12-08-82, Plymouth, Droylsden
42, Nick Wellecombe, F, , , 31-05-84, Stafford, Newcastle T
43, Jonathan Loukes, M, , , , Sheffield, Selby T

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
4, Craig McAughtrie, D, 6'02", 14 07, 03-03-81, Burton-on-Trent, Tamworth
14, David Wood, D, , , 11-05-89, Sutton Coldfield, 
22, Matthew Hazley, M, 5'07", , 30-12-87, Banbridge, Stoke C
23, Greg Stones, D, 6'04", 13 01, 05-04-82, Birkenhead, Cammell Laird
26, Cédric Avinel, D, 6'02", 13 03, 11-09-86, Paris, Watford
27, Robert Duggan, G, 6'01", 12 07, 01-04-87, Dublin, 
18, Ramon Manak, M, 5'11", 12 07, 04-06-83, Coventry, Rugby T
33, Will Puddy, G, 5'11", 11 07, 04-10-87, Salisbury, Cheltenham T
28, David Oldfield, M, 6'01", 13 04, 30-05-68, Perth [AUS], 
31, Tom Youngs, F, 5'09", 10 07, 31-08-79, Bury St Edmunds, Cambridge C
29, Phil Robinson, M, 5'10", 11 06, 06-01-67, Stafford, 
12, Scott Loach, G, 6'01", 13 01, 27-05-88, Nottingham, Watford
32, Luke Potter, D, 6'04", 14 09, 17-07-89, Barnsley, Barnsley
34, Chris Humphrey, M, 5'11", 11 06, 04-03-89, , Shrewsbury T
25, Fred Murray, D, 5'10", 11 12, 22-05-82, Tipperary, Stevenage Boro
30, Seb Hamilton, F, , , 25-07-84, Birmingham, 
36, Ryan Lynch, D, 5'11", 11 09, 13-03-87, Solihull, Crewe Alex
16, Tom Ingram, D, , , 24-10-86, Leicester, Brackley T
41, Liam Hughes, M, 6'02", 11 09, 11-09-88, Gornal, Wolverhampton W
37, Matthew Hazley, M, 5'07", , 30-12-87, Banbridge, 
39, Keenan Meakin-Richards, D, , , 18-01-89, Birmingham, 
40, Courtney Shaw, M, , , 22-08-86, Birmingham, 
