=  Crystal Palace - English Football League Championship 2007/08

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Scott Flinders, G, 6'04", 14 00, 12-06-86, Rotherham, Barnsley
2, Matt Lawrence, D, 6'01", 12 12, 19-06-74, Northampton, Millwall
3, Tony Craig, D, 6'00", 10 03, 20-04-85, Greenwich, Millwall
4, Clint Hill, D, 6'00", 12 00, 22-02-80, Liverpool, Stoke C
5, Mark Hudson, D, 6'02", 12 08, 30-03-82, Guildford, Fulham
7, Carl Fletcher, M, 5'10", 11 07, 07-04-80, Camberley, West Ham U
8, James Scowcroft, F, 6'02", 14 02, 15-11-75, Bury St Edmunds, Coventry C
9, Dougie Freedman, F, 5'09", 12 05, 21-01-74, Glasgow, Nottingham F
10, Clinton Morrison, F, 6'01", 11 02, 14-05-79, Tooting, Birmingham C
11, Paul Ifill, M, 6'00", 12 09, 20-10-79, Brighton, Sheffield U
12, Julian Speroni, G, 6'00", 11 00, 18-05-79, Buenos Aires, Dundee
14, Ben Watson, M, 5'10", 10 11, 09-07-85, Camberwell, None
15, Mark Kennedy, M, 5'11", 11 00, 15-05-76, Dublin, Wolverhampton W
16, Neil Danns, M, 5'09", 11 02, 23-11-82, Liverpool, Birmingham C
17, Scott Sinclair, F, 5'10", 10 00, 25-03-89, Bath, Chelsea
19, Tom Soares, M, 6'00", 11 05, 10-07-86, Reading, None
20, Danny Butterfield, D, 5'09", 11 00, 21-11-79, Boston, Grimsby T
21, Kyel Reid, M, 5'10", 12 05, 26-11-87, South London, West Ham U
22, Nathan Ashton, D, 5'09", 11 08, 30-01-87, Plaistow, Fulham
23, José Fonte, D, 6'02", 12 08, 22-12-83, Penafiel, Benfica
24, Jeff Hughes, D, 6'01", 11 00, 29-05-85, Larne, Lincoln C
28, Shaun Derry, M, 5'10", 10 13, 06-12-77, Nottingham, Leeds U
30, John Bostock, M, , , 15-01-92, , None
31, Aaron Fray, D, 5'11", 11 02, 01-05-87, Bromley, None
32, Shefki Kuqi, F, 6'02", 13 10, 10-11-76, Vushtrri, Blackburn R
34, Lee Hills, D, , , 13-04-90, , Arsenal
35, Rhoys Wiggins, D, 5'08", 11 05, 04-11-87, Hillingdon, None
36, Lewis Spence, M, 5'11", 11 09, 29-10-87, Lambeth, None
38, David Wilkinson, G, 6'00", 12 00, 19-04-88, Croydon, None
39, James Dayton, F, 5'08", 10 01, 12-12-88, , None
40, Ryan Hall, M, 5'10", 10 04, 04-01-88, Dulwich, None
41, Moses Swaibu, D, 6'02", 11 11, 09-05-89, , None
42, Ben Kudjodji, F, 6'00", 11 11, 23-04-89, , None
43, Victor Moses, F, 5'10", 11 07, 12-12-90, , None
44, Sean Scannell, F, , , 19-09-90, Croydon, None
48, Ashley Robinson, M, , , 05-12-89, , None

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
17, Besian Idrizaj, M, 6'02", 12 04, 12-10-87, Baden bei Wien, Liverpool
22, Paul Dickov, F, 5'05", 11 09, 01-11-72, Livingston, Manchester C
27, Franck Songo'o, M, 6'02", 12 06, 14-05-87, Yaoundé, Portsmouth
6, Leon Cort, D, 6'02", 12 13, 11-07-79, Southwark, Stoke C
33, Lewis Grabban, F, 6'00", 11 03, 12-01-88, Croydon, Millwall
21, Dave Martin, M, 5'09", 10 10, 03-06-85, Erith, Millwall
25, Stuart Green, M, 5'10", 11 00, 15-06-81, Whitehaven, Blackpool
37, Charlie Sheringham, F, 6'01", 11 06, 17-04-88, Chingford, 
18, John Halls, D, 6'00'', 11 00, 14-02-82, Islington, Reading
