=  Bristol Rovers - English Football League One 2007/08

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Steve Phillips, G, 6'01", 12 07, 06-05-78, Bath, Bristol C
2, Ryan Green, D, 5'07'', 10 10, 20-10-80, Cardiff, Hereford U
3, Joe Jacobson, D, 5'11", 12 06, 17-11-86, Cardiff, Cardiff C
4, Sammy Igoe, M, 5'06'', 09 07, 30-09-75, Spelthorne, Millwall
5, Craig Hinton, D, 5'11", 11 00, 26-11-77, Wolverhampton, Kidderminster H
6, Steve Elliott, D, 6'01", 13 12, 29-10-78, Derby, Blackpool
7, Stuart Campbell, M, 5'10", 10 08, 09-12-77, Corby, Grimsby T
8, Andy Williams, F, 5'11", 11 02, 14-08-86, Hereford, Hereford U
9, Rickie Lambert, F, 6'02", 12 01, 16-02-82, Liverpool, Rochdale
10, Richard Walker, F, 6'00", 12 00, 08-11-77, Birmingham, Blackpool
11, Chris Carruthers, M, 6'01'', 12 03, 19-08-83, Kettering, Northampton T
13, Mike Green, G, 6'01", 13 01, 23-07-89, Bristol, None
14, David Pipe, M, 5'09'', 12 01, 05-11-83, Caerphilly, Notts Co
15, Byron Anthony, D, 6'01", 11 00, 20-09-84, Newport, Cardiff C
16, Danny Coles, D, 6'01", 11 05, 31-10-81, Bristol, Hull C
18, Chris Lines, M, 6'02", 12 00, 30-11-85, Bristol, None
19, Sean Rigg, F, 5'09", 12 01, 01-10-88, Bristol, Forest Green R
20, Craig Disley, M, 6'03", 10 05, 24-08-81, Worksop, Mansfield T
21, Tom Parrinello, D, 5'05", 10 12, 11-11-89, Parkway, None
22, James Palmer, M, 5'07", 11 04, 30-03-88, Bristol, None
23, Ryan Paddock, D, , , , , None
24, Alex Kite, D, , , , , None
25, Tom Godsell, D, , , , , None
26, Lewis Haldane, F, 6'00", 11 03, 13-03-85, Trowbridge, None
27, Matt Groves, F, , , 11-12-88, , None
28, Adam Mahdi, M, , , , , None
29, Josh Klein-Davies, F, , , 06-07-89, Bristol, Bristol C
30, Charles Reece, M, 5'11", 12 00, 10-07-89, , None
31, Charlie Clough, M, , , , , None
32, Aaron Lescott, M, 5'08", 10 09, 02-12-78, Birmingham, Stockport Co
33, Steve Book, G, 5'11", 11 01, 07-07-69, Bournemouth, Cirencester T
34, James Fraser, F, 5'09", 12 06, 26-04-89, Brighton, Worthing
39, Wayne Andrews, F, 5'10", 11 02, 25-11-77, Paddington, Coventry C
, Jeff Hughes, D, 6'01", 11 00, 29-05-85, Larne, Crystal Palace

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
17, Andy Sandell, M, 5'11", 11 09, 08-09-83, Swindon, Salisbury C
17, Anthony Pulis, M, 5'10", 10 02, 21-07-84, Bristol, Stoke C
