=  Wigan Athletic - English Premier League 2008/09

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Chris Kirkland, ENG, G, 1.91, 74, 02-05-81, Leicester, Liverpool
3, Erik Edman, SWE, D, 1.79, 78, 11-11-78, Helsingborg, Rennes
4, Lee Cattermole, ENG, M, 1.78, 76, 21-03-88, Stockton-on-Tees, Middlesbrough
5, Cho Won-Hee, KOR, M, 1.77, 72, 17-04-83, Seoul, Suwon Samsung Bluewings
6, Antoine Sibierski, FRA, M, 1.88, 71, 05-08-74, Lille, Newcastle U
7, Paul Scharner, AUT, M, 1.91, 80, 11-03-80, Scheibbs, Brann
8, Ben Watson, ENG, M, 1.78, 69, 09-07-85, Camberwell, Crystal Palace
9, Mido, EGY, F, 1.88, 83, 23-02-83, Cairo, Middlesbrough
10, Jason Koumas, WAL, M, 1.78, 74, 25-09-79, Wrexham, WBA
11, Michael Brown, ENG, M, 1.76, 77, 25-01-77, Hartlepool, Fulham
12, Mike Pollitt, ENG, G, 1.93, 89, 29-02-72, Farmworth, Rotherham U
13, Amr Zaki, EGY, F, 1.85, 75, 01-04-83, Mansoura, Zamalek
14, Charles N'Zogbia, FRA, M, 1.70, 70, 28-05-86, Harfleur, Newcastle U
16, Luis Antonio Valencia, ECU, M, 1.81, 78, 04-08-85, Lago Agrio, Villarreal
17, Emmerson Boyce, BRB, D, 1.80, 73, 24-09-79, Aylesbury, Crystal Palace
18, Daniël de Ridder, NED, F, 1.80, 69, 06-03-84, Amsterdam, Birmingham C
19, Titus Bramble, ENG, D, 1.85, 87, 21-07-81, Ipswich, Newcastle U
20, Hugo Rodallega, COL, F, 1.81, 72, 25-07-85, El Carmelo, Necaxa
21, Tomasz Cywka, POL, M, 1.80, 76, 27-06-88, Gliwice, Gwarek Zabrze
22, Richard Kingson, GHA, G, 1.83, 83, 13-06-78, Accra, Birmingham C
23, Olivier Kapo, FRA, F, 1.83, 72, 27-09-80, Abidjan, Birmingham C
25, Mario Melchiot, NED, D, 1.87, 74, 04-11-76, Amsterdam, Rennes
28, Tomasz Kupisz, POL, M, 1.80, 76, 02-01-90, Radom, KS Piaseczno
29, Lewis Montrose, ENG, M, 1.83, 76, 17-11-88, Manchester, Manchester C
31, Maynor Figueroa, HON, D, 1.80, 85, 02-05-83, Juticalpa, Olimpia [HON]
38, Jon Routledge, ENG, M, 1.83, 86, 23-11-89, Liverpool, Liverpool
40, Joe Holt, ENG, M, 1.78, 66, 01-02-90, Huyton, None
43, Callum McManaman, ENG, F, 1.75, 71, 25-04-91, Knowsley, Everton

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
26, Rachid Bouaouzan, NED, F, 1.70, 67, 20-02-84, Rotterdam, NEC Nijmegen (On Loan)
24, Carlo Nash, ENG, G, 1.96, 89, 13-09-73, Bolton, Everton
8, Kevin Kilbane, IRL, M, 1.83, 83, 01-02-77, Preston, Hull C
9, Emile Heskey, ENG, F, 1.88, 88, 11-01-78, Leicester, Aston Villa
5, Wilson Palacios, HON, M, 1.78, 71, 29-07-84, La Ceiba, Tottenham H
27, Henri Camara, SEN, F, 1.78, 67, 10-05-77, Dakar, Stoke C (On Loan)
2, Ryan Taylor, ENG, D, 1.73, 75, 19-08-84, Liverpool, Newcastle U
