=  Wolverhampton Wanderers - English Football League Championship 2008/09

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Wayne Hennessey, WAL, G, 1.83, 73, 24-01-87, Anglesey, None
2, Neill Collins, SCO, D, 1.91, 79, 02-09-83, Troon, Sunderland
3, George Elokobi, CMR, D, 1.85, 84, 31-01-86, Mogadishu, Colchester U
4, David Edwards, WAL, M, 1.80, 72, 03-02-86, Pontesbury, Luton T
5, Richard Stearman, ENG, D, 1.88, 67, 19-08-87, Wolverhampton, Leicester C
6, Jody Craddock, ENG, D, 1.83, 78, 25-07-75, Bromsgrove, Sunderland
7, Michael Kightly, ENG, M, 1.75, 64, 24-01-86, Basildon, Grays Ath
8, Karl Henry, ENG, M, 1.83, 76, 26-11-82, Wolverhampton, Stoke C
9, Sylvan Ebanks-Blake, ENG, F, 1.78, 84, 29-03-86, Cambridge, Plymouth Arg
10, Andrew Keogh, IRL, F, 1.83, 70, 16-05-86, Dublin, Scunthorpe U
11, Stephen Ward, IRL, D, 1.85, 77, 20-08-85, Dublin, Bohemians
12, Shane Higgs, ENG, G, 1.91, 92, 13-05-77, Oxford, Cheltenham T
14, David Jones, ENG, M, 1.85, 80, 04-11-84, Southport, Derby Co
15, Mark Little, ENG, D, 1.85, 81, 20-08-88, Worcester, None
16, Christophe Berra, SCO, D, 1.86, 81, 31-01-85, Edinburgh, Hearts
17, Matthew Jarvis, ENG, M, 1.73, 70, 22-05-86, Middlesbrough, Gillingham
18, Sam Vokes, WAL, F, 1.86, 76, 21-10-89, Lymington, Bournemouth
19, Chris Iwelumo, SCO, F, 1.91, 86, 01-08-78, Coatbridge, Charlton Ath
20, Matt Murray, ENG, G, 1.93, 87, 02-05-81, Solihull, None
21, Daniel Jones, ENG, M, 1.88, 84, 14-07-86, Wordsley, None
22, Jason Shackell, ENG, D, 1.93, 83, 27-09-83, Stevenage, Norwich C
23, Darren Ward, ENG, D, 1.80, 72, 13-09-78, Kenton, Crystal Palace
24, Kyel Reid, ENG, M, 1.80, 69, 26-11-87, South London, West Ham U
26, Matthew Hill, ENG, D, 1.73, 76, 26-03-81, Bristol, Preston NE
27, Marlon Harewood, ENG, F, 1.85, 85, 25-08-79, Hampstead, Aston Villa
28, George Friend, ENG, D, 1.88, 83, 19-10-87, Barnstaple, Exeter C
29, Stephen Gleeson, IRL, M, 1.88, 70, 03-08-88, Dublin, Cherry Orchard
30, Carl Ikeme, NGA, G, 1.88, 87, 08-06-86, Sutton Coldfield, None
31, Graham Stack, IRL, G, 1.88, 79, 26-09-81, Hampstead, Plymouth Arg
32, Kevin Foley, IRL, D, 1.75, 70, 01-11-84, Luton, Luton T
34, Matthew Bailey, ENG, M, 1.78, 62, 24-09-88, Birmingham, None
36, Nigel Quashie, SCO, M, 1.75, 70, 20-07-78, Nunhead, West Ham U
37, Liam Hughes, ENG, M, 1.88, 74, 11-09-88, Gornal, None
38, Lewis Gobern, ENG, M, 1.78, 73, 28-01-85, Birmingham, None
39, Alex Melbourne, ENG, M, , , 02-09-89, Wolverhampton, None
40, Peter Williams, ENG, D, 1.90, 70, 04-03-90, Coventry, None
41, Ashley Hemmings, ENG, F, 1.73, 73, 03-03-91, Wolverhampton, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
26, Stephen Elliott, IRL, F, 1.76, 74, 06-01-84, Dublin, Preston NE
24, Carlos Edwards, TRI, M, 1.80, 69, 24-10-78, Port of Spain, Sunderland
27, Michael Mancienne, ENG, D, 1.80, 74, 08-01-88, Isleworth, Chelsea
25, Darren Potter, IRL, M, 1.85, 72, 21-12-84, Liverpool, Sheffield W (On Loan)
36, Lee Collins, ENG, D, 1.80, 78, 28-09-88, Telford, Port Vale
16, Mark Davies, ENG, M, 1.80, 74, 18-02-88, Wolverhampton, Bolton W
33, Michael Gray, ENG, D, 1.70, 68, 03-08-74, Sunderland, Sheffield W
42, Scott Malone, ENG, D, 1.89, 75, 25-03-91, Rowley Regis, Újpest (On Loan)
31, Mark Salmon, IRL, M, 1.78, 70, 31-10-88, Dublin, Drogheda U
13, Darren Ward, WAL, G, 1.80, 80, 11-05-74, Worksop, Sunderland
