=  Walsall - English Football League One 2009/10

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Clayton Ince, TRI, G, 1.93, 85, 13-07-72, Port of Spain, Coventry C
2, Rhys Weston, WAL, D, 1.83, 78, 27-10-80, Kingston, Port Vale
3, Netan Sansara, ENG, D, 1.83, 76, 03-08-89, Walsall, Darlaston T
5, Mark Hughes, ENG, D, 1.85, 83, 09-12-86, Liverpool, Northampton T
6, Emanuel Smith, ENG, D, 1.88, 78, 08-11-88, Birmingham, None
7, Steve Jones, NIR, F, 1.78, 66, 25-10-76, Derry, Burnley
8, Dwayne Mattis, IRL, M, 1.83, 78, 31-07-81, Huddersfield, Barnsley
9, Sam Parkin, SCO, F, 1.88, 83, 14-03-81, Roehampton, Luton T
10, Troy Deeney, ENG, F, 1.80, 76, 29-06-88, Chelmsley, Chelmsley T
11, Alex Nicholls, ENG, F, 1.78, 70, 09-12-87, Stourbridge, None
12, Mark Bradley, WAL, M, 1.83, 76, 14-01-88, Wordsley, None
14, Richard Taundry, ENG, D, 1.83, 81, 15-02-89, Walsall, None
15, Josh O'Keefe, IRL, M, 1.91, 83, 22-12-88, Whalley, Blackburn R
16, Darryl Westlake, ENG, D, 1.75, 70, 01-03-91, Sutton Coldfield, None
17, Richard Davies, ENG, M, 1.80, 72, 15-05-90, Willenhall, None
18, Peter Till, ENG, M, 1.80, 72, 07-09-85, Birmingham, Grimsby T
19, Jamie Vincent, ENG, D, 1.78, 74, 18-06-75, London, Swindon T
20, Matt Richards, ENG, M, 1.73, 70, 26-12-84, Harlow, Ipswich T
21, Rene Gilmartin, IRL, G, 1.96, 85, 31-05-87, Dublin, None
22, Will Grigg, ENG, F, 1.80, 70, 03-07-91, Solihull, Stratford T
23, Sam Adkins, ENG, M, 1.78, 73, 03-12-91, Birmingham, None
24, Julian Gray, ENG, M, 1.85, 70, 21-09-79, Lewisham, Barnsley
25, Sean Geddes, ENG, M, 1.68, 64, 13-02-92, Sandwell, None
26, Tim Cooney, ENG, G, , , 06-04-92, Birmingham, None
27, Darren Byfield, JAM, F, 1.80, 75, 29-09-76, Sutton Coldfield, Oldham Ath
28, Clayton McDonald, ENG, D, 1.98, 104, 06-12-88, Liverpool, Manchester C

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
4, Stephen Roberts, WAL, M, 1.85, 71, 24-02-80, Wrexham, Retired
31, Mark Oxley, ENG, G, 1.80, 73, 02-06-90, Sheffield, Hull C
