=  Cardiff City - English Football League Championship 2010/11

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, David Marshall, SCO, G, 1.91, 83, 05-03-85, Glasgow, Norwich C
2, Kevin McNaughton, SCO, D, 1.78, 66, 28-08-82, Dundee, Aberdeen
3, Lee Naylor, ENG, D, 1.78, 74, 19-03-80, Bloxwich, Celtic
4, Gavin Rae, SCO, M, 1.80, 65, 28-11-77, Aberdeen, Rangers
5, Mark Hudson, ENG, D, 1.85, 78, 30-03-82, Guildford, Charlton Ath
6, Gábor Gyepes, HUN, D, 1.91, 83, 26-06-81, Budapest, Northampton T
7, Peter Whittingham, ENG, M, 1.78, 63, 08-10-84, Nuneaton, Aston Villa
8, Michael Chopra, ENG, F, 1.75, 60, 23-12-83, Gosforth, Sunderland
9, Jay Bothroyd, ENG, F, 1.91, 83, 05-05-82, Islington, Wolverhampton W
10, Stephen McPhail, IRL, M, 1.73, 76, 09-12-79, Westminster, Barnsley
11, Chris Burke, SCO, M, 1.75, 68, 02-12-83, Glasgow, Rangers
12, Dekel Keinan, ISR, D, 1.84, 74, 15-09-84, Rosh HaNikra, Blackpool
13, Jason Brown, WAL, G, 1.80, 98, 18-05-82, Southwark, Blackburn R
14, Paul Quinn, SCO, D, 1.83, 71, 21-07-85, Wishaw, Motherwell
16, Jonathan Parkin, ENG, F, 1.93, 86, 30-12-81, Barnsley, Preston NE
19, Jason Koumas, WAL, M, 1.78, 74, 25-09-79, Wrexham, Wigan Ath
20, Seyi George Olofinjana, NGA, M, 1.93, 74, 30-06-80, Lagos, Hull C
21, Jlloyd Samuel, TRI, D, 1.80, 72, 29-03-81, San Fernando, Bolton W
22, Thomas Heaton, ENG, G, 1.85, 85, 15-04-86, Chester, Manchester U
23, Darcy Blake, WAL, M, 1.65, 68, 13-12-88, Caerphilly, None
25, Jay Emmanuel-Thomas, ENG, M, 1.75, 72, 27-12-90, Forest Gate, Arsenal
26, Martin John, CAN, D, , , 01-08-88, London, Welling U
27, Adam Matthews, WAL, D, 1.78, 71, 13-01-92, Swansea, None
29, Jonathan Meades, WAL, D, 1.85, 83, 02-03-92, Cardiff, None
30, Jordan Santiago, CAN, G, 1.85, 77, 03-04-91, Calgary, Calgary Blizzard
39, Craig Bellamy, WAL, F, 1.75, 69, 13-07-79, Cardiff, Manchester C
43, Stephen Bywater, ENG, G, 1.88, 81, 07-06-81, Manchester, Derby Co
49, Nathaniel Jarvis, WAL, F, 1.83, 79, 20-10-91, Cardiff, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
44, Ross McCormack, SCO, F, 1.75, 74, 18-08-86, Glasgow, Leeds U
15, Anthony Gerrard, IRL, D, 1.88, 83, 06-02-86, Liverpool, Hull C (On Loan)
18, Solomon Taiwo, ENG, M, 1.85, 84, 29-04-85, Lagos, Dagenham & Redbridge (On Loan)
24, Miguel Comminges, FRA, D, 1.75, 71, 16-03-82, Les Abymes, Southend U
21, Danny Drinkwater, ENG, M, 1.78, 79, 05-03-90, Manchester, Manchester U
28, Aaron Wildig, WAL, M, 1.75, 71, 15-04-92, Hereford, Hamilton Academical (On Loan)
17, Andrew Keogh, IRL, F, 1.83, 70, 16-05-86, Dublin, Wolverhampton W
31, Chris Riggott, ENG, D, 1.83, 78, 01-09-80, Derby, 
24, Aaron Ramsey, WAL, M, 1.78, 76, 26-12-90, Caerphilly, Arsenal
