=  Sunderland - English Premier League 2012/13

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
2, Phillip Bardsley, SCO, D, 1.79, 74, 28-06-85, Salford, Manchester U
3, Danny Rose, ENG, D, 1.73, 75, 02-07-90, Doncaster, Tottenham H
4, Alfred N'Diaye, FRA, M, 1.87, 87, 06-03-90, Paris, Bursaspor
5, Wes Brown, ENG, D, 1.85, 75, 13-10-79, Manchester, Manchester U
6, Lee Cattermole, ENG, M, 1.78, 76, 21-03-88, Stockton-on-Tees, Wigan Ath
7, Sebastian Larsson, SWE, M, 1.78, 70, 06-06-85, Eskiltuna, Birmingham C
8, Craig Gardner, ENG, M, 1.78, 71, 25-11-86, Solihull, Birmingham C
9, Danny Graham, ENG, F, 1.83, 87, 12-08-85, Gateshead, Swansea C
10, Connor Wickham, ENG, F, 1.91, 73, 31-03-93, Hereford, Ipswich T
12, Matthew Kilgallon, ENG, D, 1.88, 81, 08-01-84, York, Sheffield U
13, Jordan Pickford, ENG, G, 1.85, 77, 07-03-94, Washington, None
14, Jack Colback, ENG, M, 1.76, 70, 24-10-89, Killingworth, None
15, David Vaughan, WAL, M, 1.70, 66, 18-02-83, Rhuddlan, Blackpool
16, John O'Shea, IRL, D, 1.90, 75, 30-04-81, Waterford, Manchester U
18, Kader Mangane, SEN, D, 1.93, 87, 23-03-83, Thiès, Al-Hilal [KSA]
19, Titus Bramble, ENG, D, 1.85, 87, 21-07-81, Ipswich, Wigan Ath
20, Keiren Westwood, IRL, G, 1.88, 86, 23-10-84, Manchester, Coventry C
21, Adam Johnson, ENG, M, 1.75, 62, 14-07-87, Sunderland, Manchester C
22, Simon Mignolet, BEL, G, 1.93, 87, 06-03-88, Sint-Truiden, Sint-Truiden
23, James McClean, IRL, M, 1.80, 70, 22-04-89, Derry, Derry C
24, Carlos Cuéllar, ESP, D, 1.90, 84, 23-08-81, Madrid, Aston Villa
26, Steven Fletcher, SCO, F, 1.85, 76, 26-03-87, Shrewsbury, Wolverhampton W
28, Stéphane Sessegnon, BEN, M, 1.72, 72, 01-06-84, Allahe, Paris St-Germain
29, Liam Marrs, ENG, D, 1.75, 72, 15-12-92, Cramlington, None
30, Mikaël Mandron, SCO, F, 1.91, 82, 11-10-94, Boulogne-sur-Mer, Boulogne
32, Jordan Laidler, ENG, F, 1.78, 76, 13-10-93, North Shields, None
33, Ryan Noble, ENG, F, 1.83, 69, 06-11-91, Sunderland, None
34, Billy Knott, ENG, M, 1.73, 71, 28-11-92, Canvey Island, Chelsea
35, David Ferguson, ENG, D, 1.78, 76, 07-06-94, Sunderland, Darlington
36, Scott Harrison, ENG, D, 1.83, 78, 03-09-93, Middlesbrough, Darlington
37, Adam Mitchell, IRL, F, , , 02-12-94, , None
42, John Egan, IRL, D, 1.85, 75, 20-10-92, Cork, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
11, Kieran Richardson, ENG, M, 1.79, 74, 21-10-84, Greenwich, Fulham
17, Ji Dong-Won, KOR, F, 1.87, 78, 28-05-91, Jeju, Augsburg (On Loan)
18, David Meyler, IRL, M, 1.90, 74, 29-05-89, Cork, Hull C
34, Blair Adams, ENG, D, 1.80, 72, 08-09-91, South Shields, Coventry C
9, Fraizer Campbell, ENG, F, 1.80, 78, 13-09-87, Huddersfield, Cardiff C
25, Louis Saha, FRA, F, 1.84, 75, 08-08-78, Paris, Lazio
27, Ahmed Elmohamady, EGY, M, 1.80, 81, 09-09-87, El-Mahalla El-Kubra, Hull C (On Loan)
11, James McFadden, SCO, F, 1.78, 75, 14-04-83, Glasgow, Motherwell
