=  Doncaster Rovers - English Football League One 2012/13

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Neil Sullivan, SCO, G, 1.91, 83, 24-02-70, Sutton, Leeds U
2, Paul Quinn, SCO, D, 1.83, 71, 21-07-85, Wishaw, Cardiff C
3, James Husband, ENG, D, 1.80, 65, 03-01-94, Leeds, None
4, Mark Wilson, ENG, M, 1.80, 77, 09-02-79, Scunthorpe, Gainsborough Trinity
5, Rob Jones, ENG, D, 2.01, 77, 03-11-79, Stockton-on-Tees, Sheffield W
6, David Syers, ENG, M, 1.83, 74, 30-11-87, Leeds, Bradford C
7, Martin Woods, SCO, M, 1.75, 68, 01-01-86, Bellshill, Rotherham U
8, Billy Paynter, ENG, F, 1.83, 79, 13-07-84, Liverpool, Leeds U
9, Chris Brown, ENG, F, 1.85, 70, 11-12-84, Doncaster, Preston NE
10, Robbie Blake, ENG, F, 1.75, 76, 04-03-76, Middlesbrough, Bolton W
11, David Cotterill, WAL, M, 1.75, 71, 04-12-87, Cardiff, Barnsley
12, John Lundstram, ENG, M, 1.81, 74, 18-02-94, Liverpool, Everton
13, Jonathan Maxted, ENG, G, 1.83, 71, 26-10-93, Tadcaster, None
14, Tommy Spurr, ENG, D, 1.86, 72, 13-09-87, Leeds, Sheffield W
15, Liam Wakefield, ENG, M, 1.83, 70, 09-04-94, Doncaster, None
16, Jamie McCombe, ENG, D, 1.96, 79, 01-01-83, Pontefract, Huddersfield T
17, Iain Hume, CAN, F, 1.70, 72, 30-10-83, Edinburgh, Preston NE
18, Emile Sinclair, ENG, F, 1.83, 72, 29-12-87, Leeds, Peterborough U
19, Andy Griffin, ENG, D, 1.73, 68, 17-03-79, Wigan, Reading
20, James Harper, ENG, M, 1.78, 71, 09-11-80, Chelmsford, Hull C
21, Lee Fowler, WAL, M, 1.70, 70, 10-06-83, Cardiff, Fleetwood T
22, Cameron Howieson, NZL, M, 1.77, 70, 22-12-94, Dunedin, Burnley
23, Kyle Bennett, ENG, M, 1.65, 61, 09-09-90, Telford, Bury
24, Evan Finnegan, IRL, D, , , 05-08-95, , Home Farm
25, Jordan Ball, ENG, F, 1.82, 78, 12-09-93, Mansfield, None
26, James Coppinger, ENG, F, 1.70, 65, 10-01-81, Middlesbrough, Exeter C
27, Josh Meade, ENG, F, , , 16-04-96, , None
29, Harry Middleton, ENG, M, 1.80, 70, 12-04-95, Doncaster, None
30, Paul Keegan, IRL, M, 1.80, 75, 05-07-84, Dublin, Bohemians
31, Paddy Mullen, ENG, M, , , 13-01-94, , None
32, Jordan Binns, ENG, D, , , 01-11-94, , None
33, Gary Woods, ENG, G, 1.85, 78, 01-10-90, Kettering, Manchester U
35, Dean Furman, RSA, M, 1.83, 74, 22-06-88, Cape Town, Oldham Ath

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
21, Sammy Clingan, NIR, M, 1.80, 73, 13-01-84, Belfast, Kilmarnock
12, Michael Woods, ENG, M, 1.83, 79, 06-04-90, York, Harrogate T
4, Shelton Martis, CUW, D, 1.85, 77, 29-11-82, Willemstad, 
