=  Preston North End - English Football League One 2012/13

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Thorsten Stuckmann, GER, G, 1.99, 97, 17-03-81, Gütersloh, Alemannia Aachen
2, Keith Keane, IRL, M, 1.75, 70, 20-11-86, Luton, Luton T
3, Scott Laird, ENG, D, 1.75, 74, 15-05-88, Taunton, Stevenage
4, Paul Huntington, ENG, D, 1.91, 80, 17-09-87, Carlisle, Yeovil T
5, Chris Robertson, SCO, D, 1.91, 74, 11-10-86, Dundee, Torquay U
6, Shane Cansdell-Sherriff, AUS, D, 1.82, 76, 10-11-82, Sydney, Shrewsbury T
8, Nicky Wroe, ENG, M, 1.80, 64, 28-09-85, Sheffield, Shrewsbury T
9, Graham Cummins, IRL, F, 1.88, 75, 29-12-87, Cork, Cork C
11, Lee Holmes, ENG, M, 1.75, 66, 02-04-87, Mansfield, Southampton
13, Joel Byrom, ENG, M, 1.83, 78, 14-09-86, Oswaldtwistle, Stevenage
14, Joe Garner, ENG, F, 1.78, 76, 12-04-88, Blackburn, Watford
15, Paul Connolly, ENG, D, 1.83, 74, 29-09-83, Liverpool, Leeds U
16, David Buchanan, NIR, M, 1.73, 67, 06-05-86, Rochdale, Tranmere R
17, Jeffrey Monakana, ENG, M, 1.77, 67, 05-11-93, Edmonton, Arsenal
18, Andy Proctor, ENG, M, 1.83, 78, 13-03-83, Blackburn, Accrington Stanley
19, John Welsh, ENG, M, 1.70, 73, 10-01-84, Liverpool, Tranmere R
20, Chris Beardsley, ENG, F, 1.83, 77, 28-02-84, Derby, Stevenage
21, John Mousinho, ENG, M, 1.85, 79, 30-04-86, Isleworth, Stevenage
22, Jack King, ENG, M, 1.83, 75, 20-08-85, Oxford, Woking
23, Declan Rudd, ENG, G, 1.91, 75, 16-01-91, Diss, Norwich C
24, Will Hayhurst, IRL, F, 1.78, 71, 24-02-94, Longridge, Longridge T
25, Ryan Croasdale, ENG, M, 1.75, 69, 26-09-94, Lancaster, None
26, Bailey Wright, AUS, D, 1.75, 85, 28-07-92, Melbourne, Langwarrin
27, Luke Foster, ENG, D, 1.88, 80, 08-09-85, Mexborough, Rotherham U
28, Ben Davies, ENG, D, 1.85, 74, 11-08-95, Barrow, None
29, Stuart Beavon, ENG, F, 1.71, 69, 05-05-84, Reading, Wycombe W
31, Steven James, ENG, G, 1.88, 75, 19-12-94, Southport, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
12, Akpo Sodje, ENG, F, 1.88, 80, 31-01-81, Greenwich, Scunthorpe U
15, Chris Holroyd, ENG, F, 1.80, 78, 24-10-86, Nantwich, Cheltenham T
14, Todd Kane, ENG, D, 1.80, 70, 17-09-93, Huntingdon, Chelsea
37, Anthony Elding, ENG, F, 1.70, 70, 16-04-82, Boston, Grimsby T
7, David Amoo, ENG, F, 1.78, 77, 13-04-91, London, Tranmere R
23, Steve Simonsen, ENG, G, 1.88, 80, 03-04-79, South Shields, Dundee
35, Rhys Taylor, WAL, G, 1.88, 85, 07-04-90, Neath, Macclesfield T
10, Lee Trundle, ENG, F, 1.83, 73, 10-10-76, Liverpool, Chester
