=  Salisbury City - English Football Conference Premier 2013/14

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Will Puddy, ENG, G, 1.85, 83, 04-10-87, Salisbury, Chippenham T
2, Luke Ruddick, ENG, D, 1.83, 80, 03-03-90, Ashford, Bath C
3, Callum Hart, WAL, D, 1.83, 70, 21-12-85, Cardiff, Bath C
4, Ryan Brett, ENG, D, 1.83, 82, 11-11-90, Plympton, Plymouth Parkway
5, James Clarke, ENG, D, 1.83, 84, 17-11-89, Aylesbury, Oxford C
6, Glenn Wilson, ENG, D, 1.86, 80, 16-03-86, Lewisham, Gateshead
7, Chris McPhee, ENG, M, 1.80, 74, 20-03-83, Eastbourne, Torquay U
8, Ricky Wellard, ENG, M, 1.81, 63, 09-05-88, Hammersmith, Cambridge U
9, Jamie White, ENG, F, 1.73, 73, 17-11-89, Southampton, Winchester C
10, Theo Lewis, ENG, F, 1.78, 69, 10-08-91, Oxford, Cheltenham T
11, Elliott Frear, ENG, M, 1.73, 64, 11-09-90, Exeter, Exeter C
12, Clovis Kamdjo, CMR, D, 1.80, 77, 15-12-90, , Barnet
13, Rob Sinclair, ENG, M, 1.78, 71, 29-08-89, Bedford, Stevenage
14, Stuart Sinclair, ENG, M, 1.70, 67, 09-11-87, Houghton Conquest, Arlesey T
15, Ben Wright, ENG, F, 1.88, 85, 10-08-88, Basingstoke, Forest Green R
16, Brian Dutton, ENG, D, 1.80, 76, 12-04-85, Malton, Northwich V
17, Warren Feeney, NIR, F, 1.78, 71, 17-01-81, Belfast, Plymouth Arg
18, Adam Flint, ENG, D, , , , , None
19, Monty George, ENG, G, 1.85, 79, 05-02-97, Chelsea, None
20, Dan Fitchett, ENG, F, 1.83, 80, 28-03-91, Stevenage, Wycombe W
23, Angus MacDonald, ENG, D, 1.84, 70, 15-10-92, Winchester, Reading
25, James Bittner, ENG, G, 1.88, 83, 02-02-82, Devizes, Newport Co
29, Sam Roberts, ENG, M, , , , , None
30, Kevin Amankwaah, GHA, D, 1.85, 76, 19-05-82, Kenton, Northampton T
31, Charlie Sheringham, ENG, F, 1.83, 80, 17-04-88, Chingford, AFC Wimbledon

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
22, Glenn Belezika, ENG, D, 1.80, 83, 24-12-94, Camden, Oldham Ath
27, Tyler Harvey, ENG, M, 1.79, 72, 29-06-95, Plymouth, Plymouth Arg
21, Jake Thomson, TRI, M, 1.80, 72, 12-05-89, Portsmouth, AFC Portchester
26, Miles Storey, ENG, F, 1.80, 70, 04-01-94, Sandwell, Swindon T
28, Agustín Battipiedi, ARG, M, 1.83, 80, 01-09-90, Capital Federal, Sariñena
