=  Everton - English Premier League 2013/14

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Joel Robles, ESP, G, 1.95, 85, 17-06-90, Leganés, Atlético Madrid
2, Tony Hibbert, ENG, D, 1.73, 72, 20-02-81, Liverpool, None
3, Leighton Baines, ENG, D, 1.70, 75, 11-12-84, Liverpool, Wigan Ath
4, Darron Gibson, IRL, M, 1.80, 83, 25-10-87, Derry, Manchester U
6, Phil Jagielka, ENG, D, 1.83, 83, 17-08-82, Sale, Sheffield U
7, Aidan McGeady, IRL, M, 1.78, 72, 04-04-86, Glasgow, Spartak Moscow
8, Bryan Oviedo, CRC, D, 1.72, 70, 18-02-90, Alajuela, FC København
9, Arouna Koné, CIV, F, 1.81, 81, 11-11-83, Anyama, Wigan Ath
10, Gerard Deulofeu, ESP, F, 1.79, 60, 13-03-94, Barcelona, Barcelona
11, Kevin Mirallas, BEL, F, 1.78, 72, 05-10-87, Liège, Olympiakos
14, Steven Naismith, SCO, F, 1.78, 72, 14-09-86, Irvine, Rangers
15, Sylvain Distin, FRA, D, 1.93, 85, 16-12-77, Bagnolet, Portsmouth
16, James McCarthy, IRL, M, 1.80, 72, 12-11-90, Glasgow, Wigan Ath
17, Romelu Lukaku, BEL, F, 1.90, 94, 13-05-93, Antwerp, Chelsea
18, Gareth Barry, ENG, M, 1.83, 79, 23-02-81, Hastings, Manchester C
19, Magaye Gueye, SEN, F, 1.79, 73, 06-07-90, Nogent-sur-Marne, Strasbourg
20, Ross Barkley, ENG, M, 1.89, 76, 05-12-93, Liverpool, None
21, Leon Osman, ENG, M, 1.73, 62, 17-05-81, Billinge, None
22, Steven Pienaar, RSA, M, 1.70, 66, 17-03-82, Johannesburg, Tottenham H
23, Séamus Coleman, IRL, D, 1.93, 67, 11-10-88, Donegal, Sligo R
24, Tim Howard, USA, G, 1.91, 95, 06-03-79, North Brunswick, Manchester U
26, John Stones, ENG, D, 1.88, 70, 28-05-94, Barnsley, Barnsley
27, Apostolos Vellios, GRE, F, 1.91, 79, 08-01-92, Thessaloniki, Iraklis
28, Lacina Traoré, CIV, F, 1.86, 75, 20-08-90, Abidjan, Monaco
29, Luke Garbutt, ENG, D, 1.78, 73, 21-05-93, Harrogate, Leeds U
31, Matthew Kennedy, SCO, M, 1.75, 65, 01-11-94, Irvine, Kilmarnock
32, Antolín Alcaraz, PAR, D, 1.84, 80, 30-07-82, Roque Gonzalez, Wigan Ath
33, John Lundstram, ENG, M, 1.81, 74, 18-02-94, Liverpool, None
35, Conor McAleny, ENG, F, 1.78, 79, 12-08-92, Liverpool, None
36, Tyias Browning, ENG, D, 1.81, 76, 27-05-94, Liverpool, None
37, Hallam Hope, ENG, F, 1.79, 76, 17-03-94, Manchester, Manchester C
38, Matthew Pennington, ENG, D, 1.85, 77, 06-10-94, Warrington, None
39, Conor Grant, ENG, M, 1.76, 80, 18-04-95, Fazakerley, None
40, Ibou Touray, ENG, D, , , 24-12-94, Liverpool, None
41, Chris Long, ENG, F, 1.69, 77, 25-02-95, Huyton, None
42, Mason Springthorpe, ENG, G, 1.88, 72, 01-11-94, Shrewsbury, Shrewsbury T
46, Ryan Ledson, ENG, M, 1.75, 69, 19-08-97, Liverpool, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
25, Marouane Fellaini, BEL, M, 1.94, 85, 22-11-87, Etterbeek, Manchester U
28, Victor Anichebe, NGA, F, 1.85, 80, 23-04-88, Lagos, WBA
34, Shane Duffy, IRL, D, 1.93, 76, 01-01-92, Derry, Yeovil T (On Loan)
7, Nikica Jelavić, CRO, F, 1.88, 88, 27-08-85, Capljina, Hull C
5, John Heitinga, NED, D, 1.80, 72, 15-11-83, Alphen aan den Rijn, Fulham
30, Francisco Júnior, POR, M, 1.62, 65, 18-01-92, Bissau, Strømsgodset (On Loan)
