=  Huddersfield Town - English Premier League 2017/2018

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Jonas Lössl, DEN, G, 1.95, 89, 01-02-89, Kolding, Mainz
2, Tommy Smith, ENG, D, 1.86, 75, 14-04-92, Warrington, Manchester C
3, Scott Malone, ENG, D, 1.89, 75, 25-03-91, Rowley Regis, Fulham
4, Dean Whitehead, ENG, M, 1.80, 77, 12-01-82, Abingdon, Middlesbrough
5, Terence Kongolo, NED, D, 1.83, 70, 14-02-94, Rotterdam, Monaco
6, Jonathan Hogg, ENG, M, 1.70, 67, 06-12-88, Middlesbrough, Watford
7, Sean Scannell, IRL, M, 1.75, 73, 19-09-90, Croydon, Crystal Palace
8, Philip Billing, DEN, M, 1.93, 80, 11-06-96, , Esbjerg
9, Elias Kachunga, GER, F, 1.76, 64, 22-04-92, Cologne, Ingolstadt
10, Aaron Mooy, AUS, M, 1.73, 68, 15-09-90, Sydney, Manchester C
11, Abdelhamid Sabiri, MAR, M, 1.83, 80, 28-11-96, Goulmima, Nürnberg
13, Joel Coleman, ENG, G, 1.98, 82, 26-09-95, Bolton, Oldham Ath
15, Chris Löwe, GER, D, 1.71, 68, 16-04-89, Plauen, Kaiserslautern
17, Rajiv van La Parra, NED, M, 1.81, 72, 04-06-91, Rotterdam, Wolverhampton W
19, Daniel Williams, USA, M, 1.80, 76, 08-03-89, Karlsruhe, Reading
20, Laurent Depoitre, BEL, F, 1.90, 96, 07-12-88, Tournai, FC Porto
21, Alex Pritchard, ENG, F, 1.71, 62, 03-05-93, Grays, Norwich C
22, Thomas Ince, ENG, M, 1.78, 66, 30-01-92, Stockport, Derby Co
23, Collin Quaner, GER, F, 1.90, 81, 18-06-91, Düsseldorf, Union Berlin
24, Steve Mounié, BEN, F, 1.90, 80, 29-09-94, Parakou, Montpellier
25, Mathias Zanka Jørgensen, DEN, D, 1.91, 79, 23-04-90, Copenhagen, FC København
26, Christopher Schindler, GER, D, 1.88, 77, 29-04-90, Munich, 1860 Munich
27, Jon Gorenc Stanković, SVN, D, 1.90, 78, 14-01-96, Ljubljana, Borussia Dortmund
28, Robert Green, ENG, G, 1.91, 93, 18-01-80, Chertsey, Leeds U
31, Ryan Schofield, ENG, G, 1.90, 70, 11-12-99, Huddersfield, None
33, Florent Hadergjonaj, SUI, D, 1.83, 75, 31-07-94, Langnau, Ingolstadt
36, Jordan Williams, ENG, D, 1.79, 75, 22-10-99, Huddersfield, None
38, Regan Booty, ENG, M, 1.80, 70, 03-04-98, Leicester, None
39, Lewis O'Brien, ENG, M, 1.73, 63, 14-10-98, Colchester, None
44, Michael Hefele, GER, D, 1.92, 87, 01-09-90, Pfaffenhofen, Dynamo Dresden

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
37, Luke Coddington, ENG, G, 1.81, 83, 06-06-95, Middlesbrough, Northampton T
21, Nahki Wells, BER, F, 1.70, 69, 01-06-90, Hamilton [BER], Burnley
45, Kasey Palmer, ENG, M, 1.80, 68, 09-11-96, London, Chelsea
14, Martin Cranie, ENG, D, 1.83, 78, 23-09-86, Yeovil, Middlesbrough
18, Joe Lolley, ENG, M, 1.78, 72, 25-08-92, Redditch, Nottingham F
