=  Grimsby Town - English Football League Two 2019/2020

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, James McKeown, IRL, G, 1.87, 89, 24-07-89, Birmingham, Peterborough U
2, Luke Hendrie, ENG, D, 1.87, 64, 27-08-94, Leeds, Shrewsbury T
3, Bradley Garmston, IRL, D, 1.77, 71, 18-01-94, Chorley, Gillingham
4, Harry Davis, ENG, D, 1.88, 78, 24-09-91, Burnley, St Mirren
5, Ludvig Öhman, SWE, D, 1.89, 80, 09-10-91, Umeå, IF Brommapojkarna
6, Luke Waterfall, ENG, D, 1.88, 84, 30-07-90, Sheffield, Shrewsbury T
7, Matt Green, ENG, F, 1.73, 66, 02-01-87, Bath, Salford C
8, Jake Hessenthaler, ENG, M, 1.76, 64, 20-04-94, Gravesend, Gillingham
9, James Hanson, ENG, F, 1.93, 78, 09-11-87, Bradford, AFC Wimbledon
10, Elliott Whitehouse, ENG, M, 1.80, 80, 27-10-93, Worksop, Lincoln C
11, Jordan Cook, ENG, M, 1.78, 68, 20-03-90, Sunderland, Luton T
12, Elliot Grandin, FRA, F, 1.78, 67, 17-10-87, Caen, JS St-Pierroise
13, Ollie Battersby, ENG, G, 1.90, 76, 23-07-01, Grimsby, Sheffield U
14, Ahkeem Rose, JAM, F, 1.75, 68, 27-11-98, , Heather St John's
15, Harry Clifton, ENG, M, 1.80, 88, 12-06-98, Grimsby, None
16, Billy Clarke, IRL, F, 1.70, 64, 13-12-87, Cork, Plymouth Arg
17, Harry Cardwell, SCO, F, 1.85, 72, 23-10-96, Kingston upon Hull, Reading
18, Charles Vernam, ENG, F, 1.70, 74, 08-10-96, Lincoln, Derby Co
19, Max Wright, ENG, M, 1.73, 61, 06-04-98, Grimsby, None
20, Josh Benson, ENG, M, 1.74, 71, 05-12-99, Thurrock, Burnley
21, James Tilley, ENG, F, 1.68, 59, 13-06-98, Billingshurst, Brighton & HA
22, Elliott Hewitt, WAL, D, 1.80, 75, 30-05-94, Bodelwyddan, Notts Co
23, Sam Russell, ENG, G, 1.83, 69, 04-10-82, Middlesbrough, Forest Green R
24, Jock Curran, ENG, M, , , 29-01-01, Pontefract, None
25, Mattie Pollock, ENG, D, 1.90, 80, 28-09-01, Redhill, Leeds U
26, Brandon Buckley, ENG, F, 1.82, 73, 21-09-00, Grimsby, None
27, Brandon McPherson, ENG, M, , , 02-02-02, Solihull, None
28, Joey Hope, ENG, D, , , 28-06-02, , Sunderland
29, Joe Starbuck, ENG, M, , , 03-08-02, , None
30, Cameron Painter, ENG, M, , , 22-02-02, Hartlepool, None
31, Luis Adlard, ENG, F, , , 13-10-02, , None
32, Evan Khouri, ENG, M, , , 21-01-03, , None
33, Anthony Driscoll-Glennon, ENG, D, 1.81, 72, 26-11-99, Bootle, Burnley
34, Ben Davies, ENG, D, 1.70, 67, 27-05-81, Birmingham, Cleethorpes T

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
21, Sebastian Ring, SWE, D, 1.78, 74, 18-04-95, Örebro, Kalmar FF
12, Ethan Robson, ENG, M, 1.80, 68, 25-10-96, Durham, Sunderland
3, Liam Gibson, ENG, D, 1.85, 80, 25-04-97, Stanley, Newcastle U
20, Moses Ogbu, NGA, F, 1.85, 78, 07-02-91, Osogba, Mjällby AIF
