=  Dover Athletic - English National League 2019/2020

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Yusuf Mersin, TUR, G, 1.95, 85, 23-09-94, Greenwich, Crawley T
2, Josh Passley, ENG, D, 1.84, 79, 21-11-94, Chelsea, Whitehawk
3, Bobby-Joe Taylor, ENG, M, 1.77, 71, 04-02-95, Ashford, Bromley
5, Kevin Lokko, ENG, D, 1.91, 71, 03-11-95, Whitechapel, Stevenage
6, Will De Havilland, ENG, D, 1.83, 70, 08-11-94, Huntingdon, Maidstone U
7, Jai Reason, ENG, M, 1.81, 82, 09-01-90, Southend-on-Sea, Chelmsford C
8, Michael Woods, ENG, M, 1.83, 79, 06-04-90, York, Harrogate T
9, Inih Effiong, ENG, F, 1.93, 85, 02-03-91, Brent, Ross Co
10, Nassim L'Ghoul, FRA, M, 1.81, 77, 30-07-97, Lyon, Welling U
11, Jack Munns, ENG, M, 1.66, 64, 18-11-93, Dagenham, Dagenham & Redbridge
12, Ricky Modeste, GRN, M, , , 20-02-88, Dagenham, Billericay T
13, Lee Worgan, WAL, G, 1.85, 85, 01-12-83, Eastbourne, Maidstone U
14, Adeoye Yusuff, ENG, F, 1.70, 66, 25-05-94, Lewisham, Dulwich Hamlet
15, Kurtis Cumberbatch, ENG, M, 1.73, 62, 21-09-95, Wembley, Farnborough
16, Paul Rooney, IRL, D, 1.88, 79, 22-03-97, Dublin, Colchester U
17, Joe Bedford, ENG, M, , , 03-11-97, , Southend U
18, Oscar Gobern, ENG, M, 1.80, 68, 26-01-91, Birmingham, Eastleigh
19, Steven Rigg, ENG, F, 1.83, 80, 30-06-92, Keswick, Gateshead
20, Marshall Wratten, ENG, M, , , 24-12-99, Canterbury, None
21, Anthony Jeffrey, GUY, M, 1.76, 71, 03-10-94, Hendon, Sutton U
22, Bilel Hinchiri, FRA, M, 1.90, 84, 08-08-95, , La Charité
23, Shadrach Ogie, IRL, D, 1.83, 73, 26-08-01, Limerick, Leyton Orient
24, Ashley Maynard-Brewer, AUS, G, 1.87, 73, 25-06-99, Joondalup, Charlton Ath
25, Dominic Poleon, ENG, F, 1.90, 82, 07-09-93, Newham, Newport Co
26, Aaron Simpson, ENG, D, , , 04-07-97, Canterbury, Waterford

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
14, Alfie Pavey, ENG, F, 1.86, 78, 02-10-95, Southwark, Barnet
24, Ruel Sotiriou, CYP, F, 1.80, 71, 24-08-00, Edmonton, Leyton Orient
23, Roberto Ratti, ITA, F, , , 12-04-99, , Tonbridge Angels
4, Scott Doe, ENG, D, 1.85, 77, 06-11-88, Reading, Romford
