=  Tranmere Rovers - English Football League Two 2021/2022

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
2, Josh Dacres-Cogley, ENG, D, 1.74, 68, 12-03-96, Coventry, Birmingham C
3, Calum MacDonald, SCO, D, 1.80, 60, 18-12-97, Nottingham, Blackpool
4, Nat Knight-Percival, ENG, D, 1.82, 73, 31-03-87, Cambridge, Morecambe
5, Tom Davies, ENG, D, 1.80, 70, 18-04-92, Warrington, Bristol R
6, Chris Merrie, ENG, M, 1.81, 72, 02-11-98, Liverpool, Wigan Ath
7, Kieron Morris, ENG, M, 1.78, 71, 03-06-94, Hereford, Walsall
8, Jay Spearing, ENG, M, 1.68, 70, 25-11-88, Wirral, Blackpool
10, Kane Hemmings, ENG, F, 1.86, 78, 08-04-91, Burton upon Trent, Burton Alb
12, Charlie Jolley, ENG, F, 1.80, 72, 13-01-01, Liverpool, Wigan Ath
13, Joe Murphy, IRL, G, 1.88, 80, 25-09-80, Dublin, Shrewsbury T
14, Callum McManaman, ENG, M, 1.75, 71, 25-04-91, Knowsley, Melbourne Victory
15, Josh Hawkes, ENG, M, 1.80, 80, 28-01-99, Stockton-on-Tees, Sunderland
16, Paul Glatzel, GER, F, -, -, 20-02-01, Liverpool, Liverpool
17, Sam Foley, IRL, M, 1.83, 74, 17-10-86, Upton-on-Severn, Motherwell
18, Nicky Maynard, ENG, F, 1.80, 70, 11-12-86, Winsford, Mansfield T
19, Lewis Warrington, ENG, M, 1.75, 75, 10-10-02, Birkenhead, Everton
20, Elliott Nevitt, ENG, F, 1.83, 80, 25-03-96, Liverpool, Warrington Rylands
21, Josh McPake, SCO, M, 1.83, 70, 31-08-01, Coatbridge, Rangers
22, Lee O'Connor, IRL, D, 1.85, 75, 28-07-00, Waterford, Celtic
23, Joe Maguire, ENG, D, 1.79, 70, 18-01-96, Manchester, Accrington Stanley
24, Kyle Hayde, ENG, D, -, -, 25-09-01, Liverpool, None
25, Ross Doohan, SCO, G, 1.86, 73, 29-03-98, Clydebank, Celtic
26, Peter Clarke, ENG, D, 1.83, 76, 03-01-82, Southport, Fleetwood T
27, Jake Burton, ENG, F, -, -, 15-11-01, Liverpool, None
28, Ryan Stratulis, ENG, M, -, -, 30-04-03, -, None
29, Max Fisher, ENG, D, -, -, 03-10-03, -, None
30, Mateusz Hewelt, POL, G, 1.82, 75, 23-09-96, Gdynia, Bamber Bridge
31, Ethan Jones, ENG, D, -, -, 16-10-04, -, None
32, Dylan Dwyer, ENG, M, -, -, 27-11-03, Liverpool, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
19, Stephen Walker, ENG, F, 1.81, 78, 11-10-00, Middlesbrough, Middlesbrough
1, Scott Davies, ENG, G, 1.83, 70, 27-02-87, Blackpool, Retired
21, Mark Duffy, ENG, M, 1.75, 72, 07-10-85, Liverpool, Macclesfield
10, Ryan Watson, ENG, M, 1.85, 73, 07-07-93, Crewe, Salford C
11, Liam Feeney, ENG, M, 1.83, 76, 28-04-86, Hammersmith, Scunthorpe U
30, Ben Jones, ENG, G, -, -, 29-11-00, -, 
9, Mani Dieseruvwe, ENG, F, 1.96, 72, 05-01-94, Leeds, Grimsby T (On Loan)
