=  Eastleigh - English National League 2021/2022

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
2, Brennan Camp, SCO, D, 1.85, 73, 12-10-00, Dorchester, Bournemouth
3, Michael Kelly, SCO, D, 1.81, 70, 03-11-97, Kilmarnock, Bristol R
4, Cavaghn Miley, ENG, M, -, -, 29-04-95, -, St Paul's
5, Tom Broadbent, ENG, D, 1.91, 90, 15-02-92, Basingstoke, Swindon T
6, Andrew Boyce, ENG, D, 1.90, 80, 05-11-89, Doncaster, Grimsby T
7, Sam Smart, ENG, M, 1.75, 72, 16-07-98, Portsmouth, Basingstoke T
8, Harry Pritchard, ENG, M, 1.73, 68, 14-09-92, High Wycombe, Bradford C
9, Dan Smith, ENG, F, -, -, 05-09-99, Lewisham, Bognor Regis T
10, Tyrone Barnett, ENG, F, 1.91, 85, 28-10-85, Birmingham, Cheltenham T
11, Ryan Hill, ENG, M, -, -, 19-03-98, -, Hampton & Richmond Boro
12, Jake Hesketh, ENG, M, 1.68, 63, 27-03-96, Southampton, Southampton
13, Ross Flitney, ENG, G, 1.91, 75, 01-06-84, Hitchin, Bromley
14, Brett Pitman, ENG, F, 1.83, 70, 31-01-88, Jersey, Bristol R
15, Alex Wynter, ENG, D, 1.83, 84, 15-09-93, Beckenham, Maidstone U
17, Danny Whitehall, ENG, F, 1.86, 71, 08-10-95, Warrington, Kilmarnock
19, Danny Hollands, ENG, M, 1.80, 81, 06-11-85, Ashford, Crewe Alex
20, Ronan Silva, ENG, M, -, -, 18-04-00, Hounslow, Crawley T
21, Tom Bragg, ENG, D, -, -, 28-07-02, Eastleigh, None
22, Dan Bradshaw, ENG, M, -, -, -, -, Forest Green R
23, Charlie Philpott, WAL, G, -, -, -, -, None
24, Jack Torniainen, ENG, D, -, -, 03-11-01, Dorchester, Bournemouth
26, Vincent Harper, ENG, D, 1.78, 73, 22-09-00, Bristol, Chippenham T
31, Nick Harvey, ENG, G, -, -, -, -, None
32, Jack Dacombe, ENG, D, -, -, -, -, Wimborne T
33, Cade Dyer, ENG, D, -, -, -, -, None
34, Jack Mann, ENG, M, -, -, -, -, None
35, Taylor Edwards, ENG, D, -, -, -, -, None
36, Brendan Willson, ENG, D, -, -, -, -, Wimborne T
37, Drew Eccott-Young, ENG, F, -, -, -, -, Hamworthy U
38, Rhys Taylor, ENG, M, -, -, -, -, Bournemouth
39, Lyle Simpson, ENG, F, -, -, -, -, None
40, Jaden Medcraff, ENG, F, -, -, -, -, None
41, Adam Lewingray, ENG, G, -, -, -, -, None
42, Jamie-Jay Burgess, ENG, M, -, -, -, -, None
43, Spencer Marchant, ENG, D, -, -, -, -, None
44, Isaac Ebejer, MLT, F, -, -, 25-08-03, -, Brockenhurst
45, Alfie Toland, ENG, D, -, -, -, -, Dorchester T
46, Yang Seung-Woo, KOR, M, 1.78, 76, 21-10-02, Sanbon-dong, Forest Green R
47, Jean-Samuel Yeo, ENG, F, -, -, -, -, None
48, Cameron Munn, ENG, M, -, -, -, -, Hamworthy U
49, Ewan Haylor, ENG, M, -, -, -, -, Bournemouth

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
16, Joe Low, WAL, D, -, -, 20-02-02, -, Bristol C
14, Tom Blair, ENG, M, -, -, 24-04-99, Dorchester, Weymouth
18, Ben House, SCO, F, 1.75, 70, 05-07-99, Guildford, Lincoln C
25, Christian Maghoma, COD, D, 1.85, 70, 08-11-97, Lubumbashi, Gillingham
20, Tom Whelan, ENG, M, 1.72, 68, 16-12-95, Liverpool, Chesterfield
2, Josh Hare, ENG, D, 1.83, 78, 12-08-94, Canterbury, Dagenham & Redbridge
18, Tjay De Barr, GIB, F, 1.75, 74, 13-03-00, Gibraltar, Wycombe W
1, Joe McDonnell, ENG, G, 1.79, 63, 19-05-94, Basingstoke, Solihull Moors (On Loan)
