=  Leicester City - English Premier League 2022/2023

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Danny Ward, WAL, G, 1.91, 88, 22-06-93, Wrexham, Wrexham
2, James Justin, ENG, D, 1.83, 71, 11-07-97, Luton, Luton T
3, Wout Faes, BEL, D, 1.85, 77, 03-04-98, Mol, Reims
4, Çağlar Söyüncü, TUR, D, 1.87, 80, 23-05-96, İzmir, Freiburg
5, Ryan Bertrand, ENG, D, 1.79, 85, 05-08-89, Southwark, Southampton
6, Jonny Evans, NIR, D, 1.88, 77, 02-01-88, Belfast, WBA
7, Harvey Barnes, ENG, M, 1.74, 66, 09-12-97, Burnley, None
8, Youri Tielemans, BEL, M, 1.76, 72, 07-05-97, Sint-Pieters-Leeuw, Monaco
9, Jamie Vardy, ENG, F, 1.78, 76, 11-01-87, Sheffield, Fleetwood T
10, James Maddison, ENG, M, 1.79, 73, 23-11-96, Coventry, Norwich C
12, Alex Smithies, ENG, G, 1.85, 84, 05-03-90, Huddersfield, Cardiff C
14, Kelechi Iheanacho, NGA, F, 1.87, 77, 03-10-96, Owerri, Manchester C
15, Harry Souttar, AUS, D, 1.98, 80, 22-10-98, Aberdeen, Stoke C
16, Victor Kristiansen, DEN, D, 1.81, 77, 16-12-02, Copenhagen, FC København
18, Daniel Amartey, GHA, D, 1.83, 78, 01-12-94, Accra, FC København
20, Patson Daka, ZAM, F, 1.85, 78, 09-10-98, Chingola, Red Bull Salzburg
21, Ricardo Pereira, POR, D, 1.75, 70, 06-10-93, Lisbon, FC Porto
22, Kiernan Dewsbury-Hall, ENG, M, 1.77, 70, 06-09-98, Nottingham, None
23, Jannik Vestergaard, DEN, D, 1.97, 96, 03-08-92, Copenhagen, Southampton
24, Nampalys Mendy, SEN, M, 1.68, 68, 23-06-92, La Seyne-sur-Mer, Nice
25, Wilfred Ndidi, NGA, M, 1.87, 80, 16-12-96, Lagos, KRC Genk
26, Dennis Praet, BEL, M, 1.81, 78, 14-05-94, Leuven, Sampdoria
27, Timothy Castagne, BEL, D, 1.80, 80, 05-12-95, Aarlen, Atalanta
31, Daniel Iversen, DEN, G, 1.93, 80, 19-07-97, Gørding, Esbjerg
33, Luke Thomas, ENG, D, 1.74, 68, 10-06-01, Leicester, None
34, Lewis Brunt, ENG, D, -, -, 06-11-00, Burton upon Trent, Aston Villa
37, Tetê, BRA, M, 1.75, 70, 15-02-00, Alvorada, Shakhtar Donetsk
38, Thakgalo Leshabela, RSA, M, 1.75, 72, 18-09-99, Pretoria, None
39, Thanawat Suengchitthawon, THA, M, 1.70, 55, 08-01-00, Suphan Buri, Nancy
40, Wanya Marçal-Madivádua, POR, M, 1.81, 65, 19-10-02, Leicester, None
42, Boubakary Soumaré, FRA, M, 1.88, 82, 27-02-99, Noisy-le-Sec, Lille
43, Shane Flynn, IRL, D, -, -, 14-10-01, Dublin, Bray W
44, Sammy Braybrooke, ENG, M, -, -, 12-03-04, Leicester, None
46, Oliver Ewing, WAL, M, -, -, 03-01-03, -, Fulham
48, Tawanda Maswanhise, ENG, F, -, -, 20-11-02, -, None
49, Bayli Spencer-Adams, GUY, D, -, -, 26-06-01, Waltham Forest, Watford
50, Terell Pennant, ENG, F, -, -, 14-09-02, Leicester, None
51, Chituru Odunze, USA, G, 2.01, 79, 14-10-02, Raleigh, Vancouver Whitecaps
52, Iestyn Hughes, WAL, D, 1.80, 70, 31-10-02, Merthyr Tydfil, Manchester U
53, Ethan Fitzhugh, ENG, M, -, -, 27-11-02, Northampton, None
54, Kian Pennant, ENG, F, -, -, 14-04-04, Leicester, None
55, Harvey Godsmark-Ford, ENG, D, -, -, 25-09-03, Nuneaton, None
56, Paul Appiah, ENG, D, 1.88, 86, 13-10-02, Enfield, Aston Villa
57, Will Alves, ENG, M, -, -, 03-02-05, Leicester, None
58, Zach Booth, USA, M, -, -, 17-02-04, Eden, Real Salt Lake
59, Ronny Nelson, ENG, D, -, -, 28-08-03, Lewisham, Gillingham
60, Joe Wormleighton, ENG, D, -, -, 30-12-03, Leicester, None
61, Brad Young, ENG, G, 1.91, 85, 05-05-02, Sunderland, Hartlepool U
62, Brandon Cover, ENG, M, -, -, 25-09-03, Colchester, None
65, Deniche Hill, BER, M, -, -, 11-03-04, Hamilton Parish, Brooke House College
66, Henry Cartwright, ENG, M, -, -, 11-12-04, Leicester, None
67, Chris Popov, WAL, F, -, -, 26-10-04, Cardiff, Manchester U
68, Freddie Cook, ENG, D, -, -, -, -, None
69, Tom Wilson-Brown, ENG, D, -, -, 05-10-04, Aylesbury, None
70, Ben Grist, ENG, D, -, -, 15-10-04, Lincoln, Grimsby T
71, Arlo Doherty, IRL, G, -, -, 16-10-03, Camden, Manchester C
72, Yassine Touré, CIV, F, -, -, 10-03-06, Watford, Celtic
73, Abdullah Javaid, ENG, M, -, -, 19-12-04, -, None
74, Jack Lewis, ENG, M, -, -, 18-11-04, -, Liverpool
75, Jahmari Lindsay, ENG, D, -, -, 25-09-04, -, Manchester U
76, Mirsad Ali, ENG, D, -, -, 10-02-06, Leicester, None
77, Amani Richards, ENG, F, -, -, 16-11-04, Camden, Arsenal
78, Jayden Joseph, ENG, M, -, -, 29-04-06, -, None
79, Liam McAlinney, IRL, D, -, -, 19-01-06, -, None
80, Bobby Amartey, ENG, M, -, -, 14-05-06, -, None
81, Kelechi Chibueze, ENG, G, -, -, 14-12-03, Lewisham, Chelsea
82, Toby Onanaye, ENG, M, -, -, -, -, None
83, Logan Briggs, ENG, M, -, -, 07-02-05, -, None
84, Tristan Thomas, ENG, F, -, -, 26-04-06, -, None
85, Alfie Fiskin, ENG, M, -, -, 30-10-05, -, None
86, Cheyenne Loureiro, POR, F, -, -, 12-03-06, Leicester, None
87, Tyler Weeks, ENG, G, -, -, -, -, None
88, Dillon Addai, ENG, G, -, -, 17-03-05, Hackney, None
89, Harry French, ENG, G, -, -, 28-09-05, Mansfield, None
90, Stevie Bausor, ENG, G, -, -, 11-05-05, Leicester, None
91, Tommy Neale, ENG, M, -, -, 15-01-06, Leicester, None
