=  Luton Town - English Football League Championship 2022/2023

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, James Shea, ENG, G, 1.80, 76, 16-06-91, Islington, AFC Wimbledon
2, Cody Drameh, ENG, D, 1.75, 69, 08-12-01, Lambeth, Leeds U
3, Dan Potts, ENG, D, 1.73, 76, 13-04-94, Barking, West Ham U
4, Tom Lockyer, WAL, D, 1.84, 72, 03-12-94, Cardiff, Charlton Ath
5, Sonny Bradley, ENG, D, 1.93, 90, 13-09-91, Hull, Plymouth Arg
8, Luke Berry, ENG, M, 1.77, 72, 12-07-92, Bassingbourn, Cambridge U
9, Carlton Morris, ENG, F, 1.85, 85, 16-12-95, Cambridge, Barnsley
10, Cauley Woodrow, ENG, F, 1.84, 78, 02-12-94, Hemel Hempstead, Barnsley
11, Elijah Adebayo, ENG, F, 1.93, 89, 07-01-98, Brent, Walsall
12, Henri Lansbury, ENG, M, 1.83, 85, 12-10-90, Enfield, Bristol C
13, Marvelous Nakamba, ZIM, M, 1.77, 71, 19-01-94, Hwange, Aston Villa
15, Admiral Muskwe, ZIM, F, 1.83, 71, 21-08-98, -, Leicester C
16, Reece Burke, ENG, D, 1.89, 81, 02-09-96, Newham, Hull C
17, Pelly Ruddock Mpanzu, COD, M, 1.75, 63, 17-07-93, Hendon, West Ham U
18, Jordan Clark, ENG, M, 1.83, 73, 22-09-93, Barnsley, Accrington Stanley
20, Louie Watson, IRL, M, 1.76, 60, 07-06-01, Croydon, Derby Co
22, Allan Campbell, SCO, M, 1.73, 67, 04-07-98, Glasgow, Motherwell
23, Fred Onyedinma, ENG, M, 1.85, 70, 24-11-96, Plumstead, Wycombe W
24, Jack Walton, ENG, G, 1.84, 77, 23-04-98, Bury, Barnsley
25, Joe Taylor, WAL, F, -, -, 18-11-02, -, Peterborough U
27, Aribim Pepple, CAN, F, 1.85, 83, 25-12-02, Kettering, Cavalry FC
28, Elliot Thorpe, WAL, M, 1.76, 64, 09-11-00, Hinchingbrooke, Tottenham H
29, Amari'i Bell, JAM, D, 1.79, 66, 05-05-94, Burton upon Trent, Blackburn R
30, Luke Freeman, ENG, M, 1.83, 64, 22-03-92, Dartford, Sheffield U
31, Jameson Horlick, ENG, G, -, -, 22-03-03, Enfield, None
32, Gabriel Osho, ENG, D, -, -, 14-08-98, Reading, Reading
34, Ethan Horvath, USA, G, 1.91, 75, 09-06-95, Highland Ranch, Nottingham F
36, Avan Jones, ENG, D, -, -, 02-11-01, Luton, None
38, Josh Williams, WAL, D, -, -, 12-10-99, Bodelwyddan, Stafford Rangers
41, Josh Allen, ENG, F, -, -, 21-12-03, -, None
42, Casey Pettit, ENG, M, -, -, 15-10-02, Harlow, None
43, Zack Nelson, ENG, M, -, -, 21-04-05, Camden, None
44, Conor Lawless, ENG, M, 1.73, 68, 13-09-01, Slough, Reading
45, Alfie Doughty, ENG, M, 1.83, 68, 21-12-99, Hatfield, Stoke C
46, Jayden Luker, ENG, M, -, -, 30-04-05, Southwark, None
47, Axel Piesold, ENG, M, -, -, 31-03-05, Haringey, Tottenham H
48, Joe Johnson, ENG, D, -, -, 09-01-06, -, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
14, Carlos Mendes Gomes, ESP, F, 1.78, 66, 14-11-98, Yeumbeul, Fleetwood T (On Loan)
19, Dion Pereira, ENG, M, 1.80, 77, 25-03-99, Watford, Bradford C (On Loan)
33, Matt Macey, ENG, G, 1.98, 81, 09-09-94, Bristol, Portsmouth (On Loan)
2, James Bree, ENG, D, 1.78, 74, 11-10-97, Wakefield, Southampton
35, Cameron Jerome, ENG, F, 1.85, 85, 14-08-86, Huddersfield, Bolton W
21, Harvey Isted, ENG, G, 1.86, 70, 05-03-97, Chichester, Barnsley (On Loan)
6, Glen Rea, IRL, D, 1.84, 73, 03-09-94, Brighton, Cheltenham T (On Loan)
7, Harry Cornick, ENG, F, 1.80, 84, 06-03-95, Poole, Bristol C
37, Ed McJannet, IRL, M, -, -, 25-01-04, -, Lecce
