=  Harrogate Town - English Football League Two 2022/2023

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Mark Oxley, ENG, G, 1.80, 73, 02-06-90, Sheffield, Southend U
3, Joe Mattock, ENG, D, 1.81, 78, 15-05-90, Leicester, Rotherham U
4, Josh Falkingham, ENG, M, 1.68, 66, 25-08-90, Leeds, Darlington
6, Warren Burrell, ENG, D, 1.85, 76, 03-06-90, Sheffield, Buxton
7, George Thomson, ENG, M, 1.75, 70, 19-05-92, Sheffield, FCUM
8, Dior Angus, ENG, F, 1.83, 76, 18-01-94, Coventry, Wrexham
9, Daniel Grant, IRL, F, 1.73, 70, 23-10-00, Dublin, Huddersfield T
10, Kazeem Olaigbe, BEL, M, -, -, 02-01-03, -, Southampton
12, Sam Folarin, ENG, M, 1.75, 67, 23-09-00, Lambeth, Middlesbrough
14, Toby Sims, ENG, D, 1.85, 80, 15-10-97, Worksop, Pittsburgh Riverhounds
15, Anthony O'Connor, IRL, D, 1.88, 80, 25-10-92, Cork, Morecambe
16, Alex Pattison, ENG, M, 1.73, 70, 06-09-97, Darlington, Wycombe W
17, Levi Sutton, ENG, M, 1.80, 74, 24-03-96, Scunthorpe, Bradford C
18, Jack Muldoon, ENG, F, 1.78, 69, 19-05-89, Scunthorpe, AFC Fylde
20, Kayne Ramsay, ENG, D, 1.79, 66, 10-10-00, Hackney, Southampton
21, Pete Jameson, ENG, G, 1.91, 77, 21-04-93, Sunderland, York C
22, Stephen Dooley, NIR, M, 1.80, 80, 19-10-91, Portstewart, Rochdale
23, Rory McArdle, NIR, D, 1.85, 72, 01-05-87, Doncaster, Exeter C
25, George Horbury, ENG, M, -, -, 23-06-04, Leeds, None
26, Emmanuel Ilesanmi, ENG, F, -, -, 17-11-04, -, None
27, Bradley Williams, ENG, M, -, -, 03-09-04, -, None
28, Matty Daly, ENG, M, 1.76, 75, 10-03-01, Stockport, Huddersfield T
29, Luke Armstrong, ENG, F, 1.86, 70, 02-07-96, Durham, Salford C
30, Ben Tweed, ENG, M, -, -, 02-10-04, -, None
31, Harvey Giles, ENG, G, -, -, -, -, None
32, Finn O'Boyle, ENG, F, -, -, -, -, None
33, Matty Foulds, ENG, D, 1.83, 74, 17-02-98, Bradford, Bradford C
34, Tom Eastman, ENG, D, 1.90, 88, 21-10-91, Colchester, Colchester U

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
14, Lewis Richards, IRL, D, 1.82, 72, 15-10-01, Liverpool, Wolverhampton W
15, Jaheim Headley, ENG, D, 1.75, 70, 24-09-01, Lambeth, Huddersfield T
10, Josh Coley, ENG, M, 1.77, 70, 24-07-98, Stevenage, Exeter C
2, Miles Welch-Hayes, ENG, D, 1.80, 77, 25-10-96, Oxford, Altrincham (On Loan)
19, Tyler Frost, ENG, M, 1.75, 70, 07-07-99, Reading, Aldershot T
17, Josh Austerfield, ENG, M, 1.79, 57, 02-11-01, Leeds, Huddersfield T
24, Kyle Ferguson, SCO, D, 1.95, 80, 24-09-99, Bellshill, Altrincham (On Loan)
5, Will Smith, ENG, D, 1.85, 73, 04-11-98, Leeds, Scunthope U (On Loan)
11, Max Wright, ENG, M, 1.73, 61, 06-04-98, Grimsby, FC Halifax T (On Loan)
