=  Sheffield United - English Premier League 2023/2024

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Adam Davies, WAL, G, 1.85, 75, 17-07-92, Rinteln, Stoke C
2, George Baldock, GRE, D, 1.75, 67, 26-01-93, Buckingham, MK Dons
3, Max Lowe, ENG, D, 1.75, 74, 11-05-97, Birmingham, Derby Co
5, Auston Trusty, USA, D, 1.91, 78, 12-08-98, Media, Arsenal
6, Chris Basham, ENG, M, 1.80, 80, 20-07-88, Hebburn, Blackpool
7, Rhian Brewster, ENG, F, 1.76, 75, 01-04-00, Redbridge, Liverpool
8, Gustavo Hamer, NED, M, 1.69, 61, 24-06-97, Itajai, Coventry C
9, Oliver McBurnie, SCO, F, 1.88, 66, 04-06-96, Leeds, Swansea C
10, Cameron Archer, ENG, F, 1.81, 72, 09-12-01, Walsall, Aston Villa
11, Ben Brereton Díaz, CHI, F, 1.85, 75, 18-04-99, Stoke-on-Trent, Villarreal
12, John Egan, IRL, D, 1.85, 75, 20-10-92, Cork, Brentford
13, Ivo Grbić, CRO, G, 1.95, 83, 18-01-96, Split, Atlético Madrid
15, Anel Ahmedhodžić, BIH, D, 1.90, 76, 26-03-99, Sarajevo, Malmö FF
16, Oliver Norwood, NIR, M, 1.80, 76, 12-04-91, Burnley, Brighton & HA
18, Wes Foderingham, ENG, G, 1.85, 75, 14-01-91, Hammersmith, Rangers
19, Jack Robinson, ENG, D, 1.80, 67, 01-09-93, Warrington, Nottingham F
20, Jayden Bogle, ENG, D, 1.78, 69, 27-07-00, Reading, Derby Co
21, Vinicius Souza, BRA, M, 1.87, 80, 17-06-99, Rio de Janeiro, Lommel
22, Tom Davies, ENG, M, 1.80, 70, 30-06-98, Liverpool, Everton
23, Ben Osborn, ENG, M, 1.76, 75, 05-08-94, Derby, Nottingham F
24, Oliver Arblaster, ENG, M, 1.80, 65, 05-05-04, Sheffield, None
25, Anis Slimane, TUN, M, 1.88, 80, 16-03-01, Copenhagen, Brøndby
26, Ryan Oné, SCO, F, -, -, 26-06-06, Coatbridge, Hamilton Academical
27, Yasser Larouci, ALG, D, 1.75, 69, 01-01-01, El Oued, Troyes
28, James McAtee, ENG, M, 1.80, 72, 18-10-02, Salford, Manchester C
29, Sam Curtis, IRL, D, -, -, 01-12-05, Navan, St Patrick's Ath
30, Mason Holgate, ENG, D, 1.84, 63, 22-10-96, Doncaster, Everton
32, William Osula, DEN, F, -, -, 04-08-03, -, None
33, Rhys Norrington-Davies, WAL, D, 1.81, 68, 22-04-99, Riyadh, Swansea C
34, Louie Marsh, ENG, F, -, -, 16-10-03, Sheffield, None
35, Andre Brooks, ENG, D, -, -, 20-08-03, Sheffield, None
36, Daniel Jebbison, ENG, F, 1.90, 69, 11-07-03, Oakville, None
37, Jordan Amissah, GER, G, 1.97, 97, 02-08-01, Herne, Borussia Dortmund
40, Jili Buyabu, ENG, M, -, -, 09-08-03, Enfield, Hornchurch
41, Luke Faxon, ENG, G, -, -, 15-02-05, Sheffield, None
42, Sydie Peck, ENG, M, -, -, 13-09-04, Enfield, Arsenal
43, Evan Easton, SCO, D, -, -, 14-01-05, -, Celtic
44, Owen Hampson, WAL, M, -, -, 17-11-04, -, Manchester U
45, Billy Blacker, ENG, F, -, -, 25-05-06, -, None
46, Dovydas Sasnauskas, LTU, D, -, -, -, -, Chelsea

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
31, Marcus Dewhurst, ENG, G, 1.89, 70, 20-03-01, Kingston Upon Hull, Wealdstone
11, Bénie Traoré, CIV, M, 1.72, 64, 30-11-02, Bouaké, Nantes (On Loan)
14, Luke Thomas, ENG, D, 1.74, 68, 10-06-01, Leicester, Leicester C
4, John Fleck, SCO, M, 1.75, 72, 24-08-91, Glasgow, Blackburn R
38, Femi Seriki, ENG, D, -, -, 28-04-02, Manchester, Rotherham U (On Loan)
39, Antwoine Hackford, ENG, F, -, -, 20-03-04, Sheffield, Burton Alb (On Loan)
17, Ismaïla Coulibaly, MLI, M, 1.83, 68, 25-12-00, -, AIK (On Loan)
