=  Newport County - English Football League Two 2023/2024

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Nick Townsend, ATG, G, 1.81, 91, 01-11-94, Solihull, Barnsley
2, Lewis Payne, ENG, D, -, -, 30-05-04, -, Southampton
3, Adam Lewis, ENG, D, 1.75, 73, 08-11-99, Liverpool, Liverpool
4, Ryan Delaney, IRL, D, 1.82, 72, 06-09-96, Wexford, Morecambe
5, James Clarke, ENG, D, 1.83, 84, 17-11-89, Aylesbury, Walsall
6, Declan Drysdale, ENG, D, 1.96, 85, 14-11-99, Birkenhead, Coventry C
7, Will Evans, WAL, F, 1.88, 74, 01-07-97, Welshpool, Bala T
8, Bryn Morris, ENG, M, 1.82, 71, 25-04-96, Hartlepool, Grimsby T
9, Omar Bogle, ENG, F, 1.91, 80, 26-07-92, Birmingham, Hartlepool U
10, Offrande Zanzala, ENG, F, 1.85, 72, 13-12-97, Brazzaville, Barrow
11, James Waite, WAL, M, 1.75, 61, 11-05-99, Monmouth, Penybont
14, Harrison Bright, WAL, D, 1.75, 70, 23-02-04, Monmouth, None
15, Josh Seberry, IRL, D, -, -, 09-01-05, -, Shelbourne
17, Scot Bennett, ENG, D, 1.78, 81, 30-11-90, Truro, Notts Co
18, Kiban Rai, WAL, F, -, -, 28-05-05, -, None
19, Shane McLoughlin, IRL, M, 1.75, 70, 01-03-97, Castleisland, Salford C
20, Harry Charsley, IRL, M, 1.78, 64, 01-11-96, Wirral, Port Vale
22, Nathan Wood, WAL, M, 1.86, 70, 07-01-98, Newport, Penybont
23, Kyle Jameson, ENG, D, 1.83, 79, 11-09-98, Urmston, Tranmere R
24, Aaron Wildig, WAL, M, 1.75, 71, 15-04-92, Hereford, Morecambe
26, Jonathan Maxted, ENG, G, 1.83, 71, 26-10-93, Tadcaster, Northampton T
28, Matthew Baker, WAL, D, -, -, 06-02-03, -, Stoke C
30, Seb Palmer-Houlden, ENG, M, -, -, 12-05-04, Bristol, Bristol C
31, Luke Jephcott, WAL, F, 1.77, 75, 26-01-00, Truro, St Johnstone
33, Matty Bondswell, ENG, D, 1.83, 77, 18-04-02, Nottingham, Newcastle U
34, Jac Norris, WAL, M, -, -, 09-11-06, Newport, None
35, Morgan Evans, WAL, M, -, -, 22-12-06, -, None
36, Corey Evans, WAL, M, -, -, -, -, None
38, Alfie Young, WAL, M, -, -, 28-11-05, -, None
40, Fraser Needham, WAL, G, -, -, -, -, None
41, Nelson Sanca, WAL, D, -, -, -, -, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
16, Sam Bowen, WAL, M, 1.78, 76, 14-01-01, Newport, Wealdstone (On Loan)
13, Joe Day, ENG, G, 1.83, 76, 13-08-90, Brighton, Yeovil T (On Loan)
21, Olly Thomas, ENG, F, 1.82, 74, 28-07-05, Bristol, Bristol C
