=  Everton Women - English Women's Super League 2023/2024

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Courtney Brosnan, IRL, G, 1.78, 81, 10-11-95, Millburn, West Ham U
2, Katrine Veje, DEN, D, 1.74, 61, 19-06-91, Fredericia, FC Rosengård
7, Clare Wheeler, AUS, M, 1.62, 58, 14-01-98, Coffs Harbour, Fortuna Hjørring
8, Justine Vanhaevermaet, BEL, M, 1.85, 72, 29-04-92, Sint-Niklaas, Reading
9, Toni Duggan, ENG, F, 1.68, 60, 25-07-91, Liverpool, Atlético Madrid
10, Hanna Bennison, SWE, M, 1.52, 50, 16-10-02, Lomma, FC Rosengård
11, Emma Bissell, ENG, M, 1.70, 59, 21-12-01, Chester, Florida State Univ
12, Emily Ramsey, ENG, G, 1.80, 66, 16-11-00, Salford, Manchester U
13, Libby Hart, ENG, G, -, -, 05-12-04, Shrewsbury, Birmingham C
15, Eleanor Dale, ENG, F, 1.70, 62, 09-02-02, Stockton-on-Tees, Univ of Nebraska
17, Lucy Hope, SCO, M, 1.65, 60, 10-10-96, Dunfermline, Bristol C
18, Martina Piemonte, ITA, F, 1.78, 67, 07-11-97, Ravenna, Milan
19, Heather Payne, IRL, M, 1.70, 57, 26-01-00, Ballinasloe, Florida State Univ
20, Megan Finnigan, ENG, D, 1.75, 65, 02-04-98, Wigan, None
21, Kathrine Møller Kühl, DEN, M, 1.72, 65, 05-07-03, Hillerød, Arsenal
22, Aurora Galli, ITA, M, 1.68, 60, 13-12-96, Tromello, Juventus
23, Sara Holmgaard, DEN, D, 1.74, 58, 28-01-99, Bording, Turbine Potsdam
25, Katja Snoeijs, NED, F, 1.72, 62, 31-08-96, Amsterdam, Bordeaux
26, Rikke Madsen, DEN, F, 1.72, 59, 09-08-97, Varde, North Carolina Courage
27, Elise Stenevik, NOR, D, 1.74, 61, 09-09-99, Florø, Eskilstuna U
28, Karen Holmgaard, DEN, M, 1.74, 62, 28-01-99, Bording, Turbine Potsdam
29, Abby Clarke, ENG, M, -, -, 03-06-04, Blackburn, None
30, Annie Wilding, ENG, D, -, -, 28-02-04, Knowsley, None
47, Karoline Olesen, DEN, M, -, -, 03-02-05, -, Fortuna Hjørring

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
24, Kenzie Weir, SCO, D, 1.73, 65, 14-01-04, Warrington, Glasgow C (On Loan)
14, Nicoline Sørensen, DEN, F, 1.79, 59, 15-08-97, Måløv, Retired
41, Alyssa Aherne, ENG, F, -, -, 22-02-04, Burnley, Manchester U
5, Nathalie Björn, SWE, D, 1.74, 57, 04-05-97, Uppsala, Chelsea
3, Megan Campbell, IRL, D, 1.73, 62, 28-06-93, Drogheda, London City Lionesses
