=  Monaco - French Division 1 2001/02

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Stéphane Porato, G, 6'00", 11 11, 19-09-73, Colombes, Marseille
2, Christian Panucci, D, 6'00", 11 07, 12-04-73, Savona, Internazionale
3, Philippe Leonard, D, 6'01", 12 10, 14-02-74, Liege, Standard Liège
4, Rafael Marquez, D, 6'00", 11 11, 13-02-79, Zamora, Atlas
5, Eric Cubillier, D, 5'11", 11 11, 09-08-79, Nice, Nice
6, Vladimir Jugović, M, 5'11", 11 09, 30-08-69, Milutinovac, Internazionale
7, Lucas Ademar Bernardi, M, 5'07", 10 12, 27-09-77, Rosario, Marseille
8, Ludovic Giuly, M, 5'04", 09 10, 10-07-76, Lyon, Lyon
9, Dado Prso, F, 6'02", 13 07, 05-11-74, Zadar, None
10, Marcelo Daniel Gallardo, M, 5'07", 11 00, 18-01-76, Buenos Aires, River Plate
11, Jérôme Rothen, M, 5'09", 10 12, 31-03-78, Chatenay-Malabry, Troyes
12, Florin Raducioiu, F, 5'09", 11 06, 17-03-70, Bucharest, Dinamo Bucureşti
14, Eric Abidal, D, 5'10", 11 11, 11-07-79, Lyon, Lyon Duchere
15, Cyril Rool, D, 5'09", 11 04, 15-04-75, Perthuis, Marseille
16, André Biancarelli, G, 5'10", 11 11, 11-03-70, Avignon, Metz
17, Cyril Domoraud, D, 5'11'', 12 01, 22-07-71, Lakota, Milan
18, Shabani Nonda, F, 5'11", 12 01, 06-03-77, Bujumbura, Rennes
19, Gregory Lacombe, M, 5'05", 09 02, 11-01-82, Albi, None
20, Oliver Bierhoff, F, 6'03", 14 02, 01-05-68, Karlsruhe, Milan
21, Pontus Farnerud, M, 5'10", 11 09, 04-06-80, Helsingborg, Landskrona BoIS
22, Djibril Sidibe, M, 5'10", 11 11, 23-03-82, Bamako, None
23, Bruno Irles, D, 6'01", 11 09, 16-08-75, Rochefort, None
24, Jose Karl Pierre-Fanfan, D, 6'02", 13 07, 26-07-75, Saint-Pol-sur-Mer, Lens
25, Souleymane Camara, F, 5'08", 11 04, 22-12-82, Dakar, None
27, Julien Rodriguez, D, 6'00", 12 08, 11-06-78, Béziers, Béziers
28, Wagneau Eloi, F, 6'01", 12 03, 11-09-73, Port-au-Prince, Lens
29, Tony Mario Sylva, G, 6'00", 12 01, 17-05-75, Guediawaye, None
30, Flavio Roma, G, 6'03", 13 07, 21-06-74, Rome, Piacenza
32, Gaël Givet, D, 5'11", 11 11, 09-10-81, Arles, None
33, Alex Nyarko, M, 6'00'', 12 00, 15-10-73, Accra, Everton
34, Jaroslav Plasil, M, 5'11", 11 04, 05-01-82, Opocno, None
36, Diego Quintero, F, 5'11", 12 01, 17-02-78, Salta, Gimnasia y Tiro (Salta)
37, Sébastien Carole, F, 5'06", 11 04, 08-09-82, Pintoise, None
38, Sebastien Grax, F, 5'10", 11 09, 23-06-84, Le Creusot, None

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
11, Marco Simone, F, 5'06", 10 09, 07-01-69, Castellanza, Milan (On Loan)
15, Franck Jurietti, D, 5'08", 11 02, 30-03-75, Valence, Marseille (On Loan)
26, Nicolas Bonnal, M, 5'11", 11 09, 16-10-76, Saint-Priest, Troyes
31, Moussa Saib, M, 5'09", 11 08, 05-03-69, Theniet-El-Had, Lorient
