=  Rennes - French Division 1 2001/02

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Fabien Debec, G, 6'02'', 14 00, 18-01-76, Lyon, Lyon
3, Grégory Paisley, D, 6'00", 12 12, 07-05-77, Paris, Paris St-Germain
4, Cesar, D, 6'00", 12 04, 16-11-75, Bebedouro, Paris St-Germain
5, Olivier Echouafni, M, 6'00", 11 02, 13-09-72, Menton, Strasbourg
6, Dominique Arribage, D, 6'01", 13 00, 11-05-71, Suresnes, Toulouse
7, Yoann Bigne, M, 5'06", 10 03, 23-08-77, Rennes, None
8, Christophe le Roux, M, 5'09", 11 06, 07-03-69, Lorient, Nantes
9, Frédéric Piquionne, F, 6'02", 12 01, 08-12-78, Nouméa, Nîmes
10, Jocelyn Gourvennec, M, 6'00", 12 08, 22-03-72, Brest, Marseille
11, Mario Hector Turdó, F, 6'01'', 12 13, 01-01-79, Rosario, Celta Vigo
12, Luís Fabiano, F, 6'00", 13 03, 08-11-80, Campinas, São Paulo
13, Lamine Diatta, D, 6'00", 11 13, 02-07-75, Dakar, Marseille
14, Philippe Delaye, M, 5'08", 10 05, 25-06-75, Montbrison, Montpellier
15, Stéphane Gregoire, M, 5'10", 12 01, 02-02-68, Thouars, None
16, Eric Durand, G, 5'10", 12 13, 13-05-65, Genelard, Bastia
17, Julien Escude, D, 6'00", 12 00, 17-08-79, Chartres, Cannes
18, Olivier Monterrubio, F, 5'06", 10 01, 08-08-76, Gaillac, Nantes
19, Lucas Sévérino, F, 6'00", 12 03, 03-01-79, Ribeiro Preto, Atlético Paranaense
20, Etienne Didot, M, 5'08", 10 03, 24-07-83, Paimpol, None
21, Anthony Reveillère, D, 5'11", 12 01, 10-11-79, Doué-la-Fontaine, None
22, Makhtar N'Diaye, M, 5'08", 10 03, 31-12-81, Dakar, None
23, Jean Felix Dorothée, D, 5'10'', 12 00, 02-10-81, Blanc-Mesnil, None
24, Olivier Sorin, M, 6'00", 11 11, 09-04-79, Saint- Etienne, Montpellier
25, Cyril Yapi, M, 5'09", 10 08, 18-02-80, Lorient, Laval
26, Gaël Danic, M, 5'09", 10 03, 19-11-81, Vannes, None
27, Steven Pele, D, 6'02", 11 11, 28-08-81, Brou-Chantereine, Clairefontaine
28, Toifilou Maoulida, F, 6'00", 12 01, 08-06-79, Dzaoudzi, None
29, Laurent Batlles, M, 5'08", 10 09, 23-09-75, Nantes, Bordeaux
30, Christophe Revel, G, 5'11", 11 07, 25-03-79, Dinan, None
31, Simon Pouplin, G, 6'01", 12 04, 28-05-85, Cholet, None
33, Barry Copa Boubacar, G, 5'10", 11 00, 30-12-79, Marcory, Abidjan

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
12, Mickaël Citony, F, 5'09'', 10 12, 21-08-80, Villiers-le-Bel, Laval (On Loan)
29, Marques Pereira Vander, M, 5'09", 10 10, 15-09-74, Figueira, 
20, Fabrice Fernandes, M, 5'08'', 10 07, 29-10-79, Aubervilliers, Southampton
28, Cyril Chapuis, F, 5'11", 11 06, 21-03-79, Lyon, Marseille
