=  Auxerre - French Ligue 1 2005/06

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Fabien Cool, G, 6'01", 11 13, 29-08-72, L'Isle-Adam, None
2, Johan Radet, D, 5'08", 11 11, 24-11-76, La Fere, None
3, Jean-Sébastien Jaures, D, 5'09", 11 13, 30-09-77, Tours, None
4, Stéphane Grichting, D, 6'01", 12 08, 30-03-79, Sierre, Sion
5, René Bolf, D, 6'02", 12 03, 25-02-74, Ostrava, Baník Ostrava
6, Philippe Violeau, M, 5'10", 11 04, 19-08-70, Challans, Lyon
7, Benoit Cheyrou, M, 5'11", 12 03, 03-05-81, Suresnes, Lille
8, Yann Lachuer, M, 5'08", 11 00, 05-08-72, Champigny-sur-Marne, Bastia
9, Luigi Pieroni, F, 6'02", 12 06, 08-09-80, Liege, Excelsior Mouscron
10, Thomas Kahlenberg, M, 6'00", 11 05, 20-03-83, Hvidovre, Brøndby
11, Kanga Gauthier Akale, F, 5'10", 10 12, 07-03-81, Costa Marfil, FC Zürich
12, Jean-Pascal Mignot, M, 6'00", 11 11, 26-02-81, Rouen, None
13, Mathieu Berson, M, 5'10", 11 09, 23-02-80, Vannes, Aston Villa
16, Sébastien Hamel, G, 5'11", 11 04, 20-11-75, Arpajon, Lorient
18, Lionel Mathis, M, 5'08", 10 12, 04-10-81, Montreuil-sous-Bois, None
19, Pierre Vignaud, D, 5'09", 10 01, 10-03-83, Semur, None
20, Peguy Luyindula, F, 5'10", 11 04, 25-05-79, Kinshasa, Marseille
22, Richard Suriano, D, 5'11", 10 03, 28-01-82, Grenoble, None
23, Krisztián Vadócz, M, 6'02", 11 11, 30-05-85, Budapest, Honved
25, Oumar Kalabane, D, 6'01", 12 06, 08-04-81, Conakry, Etoile du Sahel
26, Younes Kaboul, D, 6'03", 13 10, 04-01-86, St-Julien-en-Genevois, None
27, Mamoutou Coulibaly, D, 6'00", 12 08, 23-02-84, Bamako, None
28, Romain Poyet, F, 6'00", 11 13, 25-11-80, Le Coteau, Saint-Priest
29, Bakari Sagna, D, 5'09", 11 05, 14-02-83, Sens, None
30, Baptiste Chabert, G, 6'00", 12 03, 07-04-83, Beziers, None
31, Kevin Lejeune, F, 6'01", 12 00, 22-01-85, Cambrai, None
32, Garra Dembele, F, 6'00", 11 03, 21-02-86, Gennevilliers, None
33, Damien Dufour, M, 6'02", 12 11, 30-02-81, Migennes, None
34, Baptiste Martin, D, 6'00", 10 12, 14-05-85, Troyes, None
40, Ludovic Genest, F, 5'08", 10 01, 18-09-87, Thiers, None
41, David Dareglosse, M, , , 20-04-86, , None
42, Abdoul Diakite, D, , , , , None
43, Karim Hraiba, D, , , 15-07-86, , None
44, Jesse Londas, D, 5'11", 11 09, 12-01-85, Créteil, None
45, Alexis Lafon, M, 6'00", 11 11, 28-01-86, Versailles, None
46, Tomas Mourlon, F, 5'10", 11 03, 28-02-85, Auxerre, None
47, David Pierre, D, 6'00", 12 08, 27-02-86, Oullins, None
48, Stéphane Veron, G, , , 01-02-86, , None
49, Karim Ziouane, D, , , 11-06-86, , None
50, Mame Ousmane Cissoko, F, 5'09", 10 10, 14-01-87, Saint-Louis, None
51, Benoît Tardieu, G, 6'02", 13 03, 21-01-86, , None
52, Arnaud Sauvage, G, 6'01", 11 11, 01-02-84, Chaumont, None
53, Serge Akakpo, D, 5'10", 11 03, 15-10-87, Lomé, None
54, Irélé Apo, D, 5'06", 09 11, 16-01-87, Paris, None
, Alain Traoré, M, , , 31-12-88, Ouagadougou, None

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
21, Benjani Mwaruwari, F, 6'02", 12 03, 13-08-78, Bulawayo, Portsmouth
24, Vassiriki Diaby, M, 6'02", 11 11, 11-05-86, Paris, Arsenal
17, Hassan Yebda, M, 6'02", 12 01, 14-05-84, Saint-Maurice, Laval (On Loan)
