=  Nancy - French Ligue 1 2007/08

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Gennaro Bracigliano, G, 5'11", 12 03, 01-03-80, Forbach, None
2, Ludovic Guerriero, M, 5'09", 11 05, 05-01-85, Forbach, None
4, Cris Malonga, M, 6'00", 11 07, 11-07-87, Sens, Louhans-Cuiseaux
5, André Luiz, D, 6'01", 12 13, 27-01-80, São João del Rei, Atlético Mineiro
6, Pascal Berenguer, M, 5'10", 11 11, 20-05-81, Marseille, Istres
7, Emmanuel Duchemin, M, 5'08", 10 09, 14-03-79, Amiens, Ameins
8, Frédéric Biancalani, D, 5'11", 11 13, 21-07-74, Villerupt, Walsall
9, Kim, F, 5'10", 12 04, 22-06-80, Juiz de Fora, Al Ahli
10, Issiar Dia, F, 5'05", 09 06, 08-06-87, Sèvres, Amiens
11, Moncef Zerka, M, 5'10", 11 00, 31-08-81, Orléans, None
12, Yamoudou Camara, D, 6'02", 13 08, 12-08-87, Sèvres, Raon l'Etape
13, Damian Macaluso, D, 5'11", 12 08, 09-03-80, Montevideo, River Plate [URU]
14, Momar Faye, M, 5'09", 09 06, 21-12-87, Dakar, Génération Foot Dakar
15, Youssouf Hadji, M, 6'00", 11 00, 25-02-80, Ifrane, Rennes
16, Damien Gregorini, G, 6'04", 14 02, 02-03-79, Nice, Nice
17, Gaston Curbelo, F, 5'09", 11 13, 08-04-76, Nancy, Hurucan Buceo
18, Adrian Sarkisian, M, 5'10", 12 00, 13-02-79, Montevideo, River Plate [URU]
19, Basile Camerling, F, 6'01", 12 13, 19-04-87, Laxou, None
20, Michaël Chrétien, D, 5'10", 10 01, 10-07-84, Nancy, None
22, Marc-Antoine Fortuné, F, 6'00", 12 00, 02-07-81, Cayenne, FC Utrecht
23, Jonathan Brison, M, 5'10", 11 04, 07-02-82, Soissons, None
24, Benjamin Gavanon, M, 5'10", 11 04, 20-09-83, Marseille, Marseille
25, Adaílton, D, 5'07", 10 12, 26-12-79, Salvadoi, Criciúma
26, Landry N'Guemo, M, 5'08", 11 00, 28-11-85, Yaoundé, None
27, David Sauget, D, 5'08", 10 12, 23-11-79, Champagnole, Bastia
28, Sébastien Puygrenier, D, 6'01", 10 01, 28-01-82, Limoges, Rennes
30, Johan Lepeyre, G, 5'11", 12 06, 03-08-85, Le Plessis-Bouchard, None
