=  Tours - French Ligue 2 2008/09

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Peter Jehle, LIE, G, 1.87, 81, 22-01-82, Vaduz, Boavista
3, Gaëtan Englebert, BEL, M, 1.79, 68, 11-06-76, Liège, Club Brugge
4, Xavier Tomas, FRA, D, 1.93, 83, 04-01-86, Nantua, Gueugnon
5, Laurent Koscielny, FRA, D, 1.86, 75, 10-09-85, Tulle, Guingamp
6, Julien François, FRA, M, 1.92, 76, 21-09-79, Metz, Metz
7, Antony Robic, FRA, M, 1.81, 77, 05-03-86, Marseille, Toulouse
8, Antony Lopez-Peralta, FRA, M, 1.70, 69, 18-08-81, Royan, Laval
9, Maodomalick Faye, SEN, F, 1.79, 72, 13-12-87, Kahone, St-Etienne
10, Diego Gómez, ARG, M, 1.64, 68, 05-01-84, Rosario, Gueugnon
11, Sigamary Diarra, MLI, M, 1.74, 71, 10-01-84, Villepinte, Laval
12, Olivier Giroud, FRA, F, 1.92, 88, 30-09-86, Chambéry, Grenoble
13, Moktar Mangane, SEN, D, 1.86, 84, 15-11-82, Rufusque, Metz
16, Jérémy Deichelbohrer, FRA, G, 1.86, 83, 25-04-86, Belfort, Sochaux
17, Dramane Coulibaly, MLI, F, 1.80, 68, 18-03-79, Bamako, Gueugnon
18, Youssouf Touré, FRA, F, 1.83, 73, 14-03-86, Saint Denis, Rodez
19, Gaëtan Bong, CMR, D, 1.83, 74, 25-04-88, Sakbayeme, Metz
20, Alexandre Dujeux, FRA, D, 1.81, 77, 08-01-76, Villers Semeuse, Ajaccio
21, Evandro, BRA, F, 1.69, 71, 23-04-87, , Joinville
22, Fatih Atik, FRA, F, 1.75, 70, 25-06-84, Gleize, Montpellier
23, Bocundji Ca, GNB, M, 1.72, 69, 28-12-86, Biombo, Nantes
24, Claudiu Keserü, ROU, F, 1.78, 81, 02-12-86, Oradea, Nantes
25, Júlio Santos, BRA, D, 1.82, 78, 12-12-81, Osasco, Portuguesa
27, Tenema N'Diaye, MLI, F, 1.81, 70, 13-02-81, Bamako, Grenoble
28, Julien Cetout, FRA, M, 1.83, 74, 02-01-88, Chartres, None
29, Julien Deletraz, FRA, D, 1.81, 77, 09-12-85, La Tronche, Grenoble
30, Denis Ribeiro, FRA, G, 1.81, 86, 06-09-87, Tours, None
50, Romain Salin, FRA, G, 1.85, 70, 29-07-84, Mayenne, Lorient

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
2, Ibrahima Conte, GUI, D, 1.72, 73, 03-06-81, Conakry, 
